Summary Data Ver: 1.3
Source File: D:\20241203_NSK_IHNY_bleached_sds washed_old batch_batch 1_batch 2.uvc
Record	Sample	Description	Min. Diameter	Min. Diameter SD	Max. Diameter	Max. Diameter SD	Mean Cross-Section	Break Extension	Break Value
1	1	Slot 1 : MTT Extension Method, Cycle: 1	57.61	1.936	89.98	1.476	4069.81	40.39	84.15	
2		tag	
3	3	Slot 3 : MTT Extension Method, Cycle: 1	49.40	0.700	88.71	3.712	3442.70	4.32	60.10	
4	4	Slot 4 : MTT Extension Method, Cycle: 1	53.93	4.423	70.12	4.969	2958.67	41.39	59.75	
5	5	Slot 5 : MTT Extension Method, Cycle: 1	72.51	1.717	123.04	2.577	7005.42	46.29	150.00	
6	6	Slot 6 : MTT Extension Method, Cycle: 1	68.23	2.675	92.90	2.035	4980.01	46.20	111.95	
7	7	Slot 7 : MTT Extension Method, Cycle: 1	68.54	0.148	77.80	2.758	4188.21	49.34	89.15	
8	8	Slot 8 : MTT Extension Method, Cycle: 1	57.41	1.486	86.55	3.742	3899.69	45.80	82.60	
9	9	Slot 9 : MTT Extension Method, Cycle: 1	46.83	2.227	76.75	4.519	2827.81	7.97	47.95	
10	10	Slot 10 : MTT Extension Method, Cycle: 1	66.85	3.312	92.07	0.525	4832.73	40.60	102.50	
11	11	Slot 11 : MTT Extension Method, Cycle: 1	69.76	1.061	90.02	3.107	4932.15	42.90	108.70	
12	12	Slot 12 : MTT Extension Method, Cycle: 1	64.98	5.154	106.11	8.966	5393.04	44.64	113.70	
13	13	Slot 13 : MTT Extension Method, Cycle: 1	59.06	1.591	85.77	2.495	3976.52	50.91	91.75	
14	14	Slot 14 : MTT Extension Method, Cycle: 1	59.71	2.067	89.46	5.191	4190.11	29.91	74.35	
15	15	Slot 15 : MTT Extension Method, Cycle: 1	58.64	0.000	70.34	0.000	3239.56	42.01	66.30	
16	16	Slot 16 : MTT Extension Method, Cycle: 1	49.26	2.906	89.95	9.564	3493.39	33.53	65.35	
17	17	Slot 17 : MTT Extension Method, Cycle: 1	68.71	1.849	104.09	2.420	5615.39	40.23	112.35	
18	18	Slot 18 : MTT Extension Method, Cycle: 1	49.41	2.013	77.93	5.029	3019.17	49.77	69.95	
19		tag	
20		tag	
21	21	Slot 21 : MTT Extension Method, Cycle: 1	64.66	0.307	82.53	1.737	4191.10	37.41	82.15	
22	22	Slot 22 : MTT Extension Method, Cycle: 1	58.43	2.884	96.06	4.682	4401.64	41.31	89.05	
