Three Phase Analysis Version 6.0
Source File: D:\20241204_EN_IHNY_bleached_Olaplex AA control_0.01_0.03_0.05.uvc
RECORD	CROSS-SECTIONAL AREA	MEAN DIAMETER	MAX DIAMETER	MIN DIAMETER	ELASTIC EMOD	ELASTIC GRADIENT	ELASTIC EXT	ELASTIC STRESS	PLATEAU LOAD	PLATEAU STRESS	LOAD 15%	STRESS 15%	WORK 15%	LOAD 25%	STRESS 25%	WORK 25%	YIELD EXT	POSTYIELD GRADIENT	BREAK EXT	BREAK LOAD	BREAK STRESS	TOTAL WORK	TOUGHNESS
	  sq. microns	Microns	Microns	Microns	Pascals	gmf/mm	% Strain	gmf/sq micron	gmf	gmf/sq micron	gmf	gmf/sq micron	Joules	gmf	gmf/sq micron	Joules	% Strain	gmf/mm	% Strain	gmf	gmf/sq micron	Joules	Joules/m3
1	3455.8	69.3	80.9	54.5	3.707e+009	4.267e+001	3.33	1.385e-002	4.800e+001	1.389e-002	4.725e+001	1.367e-002	1.991e-003	4.895e+001	1.416e-002	3.416e-003	26.96	2.752e+000	51.18	6.795e+001	1.966e-002	7.942e-003	7.511e+007
2	6049.7	90.8	101.8	75.7	4.252e+009	8.576e+001	3.01	1.333e-002	8.275e+001	1.368e-002	8.200e+001	1.355e-002	3.420e-003	8.625e+001	1.426e-002	5.949e-003	24.80	5.290e+000	47.53	1.193e+002	1.972e-002	1.279e-002	6.916e+007
3	4438.2	78.6	94.5	59.8	4.174e+009	6.265e+001	2.85	1.230e-002	5.707e+001	1.286e-002	5.655e+001	1.274e-002	2.354e-003	5.820e+001	1.311e-002	4.018e-003	26.01	3.130e+000	50.80	7.970e+001	1.796e-002	9.222e-003	6.894e+007
4	4199.5	74.7	88.1	60.7	4.382e+009	6.199e+001	3.04	1.369e-002	5.923e+001	1.410e-002	5.855e+001	1.394e-002	2.435e-003	6.090e+001	1.450e-002	4.206e-003	24.36	4.030e+000	46.93	8.605e+001	2.049e-002	8.945e-003	7.039e+007
5	3652.8	71.3	83.4	55.8	4.165e+009	5.154e+001	3.06	1.335e-002	5.129e+001	1.404e-002	5.060e+001	1.385e-002	2.061e-003	5.315e+001	1.455e-002	3.593e-003	26.65	3.403e+000	52.04	7.885e+001	2.159e-002	8.849e-003	8.051e+007
6	3610.9	72.5	85.6	53.7	3.748e+009	4.588e+001	3.23	1.360e-002	4.988e+001	1.381e-002	4.980e+001	1.379e-002	2.012e-003	5.080e+001	1.407e-002	3.504e-003	24.18	2.639e+000	46.66	6.635e+001	1.838e-002	7.154e-003	6.589e+007
7	4779.0	81.2	97.6	62.3	4.226e+009	6.855e+001	2.86	1.239e-002	6.331e+001	1.325e-002	6.330e+001	1.325e-002	2.558e-003	6.775e+001	1.418e-002	4.483e-003	20.45	3.574e+000	40.06	8.530e+001	1.785e-002	7.807e-003	5.440e+007
8	3417.3	69.0	83.4	52.2	4.141e+009	4.792e+001	2.89	1.280e-002	4.596e+001	1.345e-002	4.595e+001	1.345e-002	1.895e-003	4.745e+001	1.389e-002	3.252e-003	21.56	2.720e+000	41.93	6.165e+001	1.804e-002	5.945e-003	5.779e+007
9
10	4739.2	83.1	101.3	59.6	4.201e+009	6.753e+001	3.03	1.349e-002	6.756e+001	1.426e-002	6.750e+001	1.424e-002	2.757e-003	7.095e+001	1.497e-002	4.762e-003	14.18	1.258e+000	26.96	7.250e+001	1.530e-002	5.171e-003	3.631e+007
11	3068.7	63.4	70.8	55.4	4.474e+009	4.613e+001	2.87	1.385e-002	4.381e+001	1.428e-002	4.285e+001	1.396e-002	1.808e-003	4.510e+001	1.470e-002	3.115e-003	28.44	2.439e+000	55.17	6.570e+001	2.141e-002	8.107e-003	8.707e+007
12	3409.4	67.5	79.3	54.7	4.182e+009	4.783e+001	3.00	1.324e-002	4.605e+001	1.351e-002	4.550e+001	1.335e-002	1.899e-003	4.675e+001	1.371e-002	3.271e-003	24.46	2.616e+000	46.91	6.270e+001	1.839e-002	6.800e-003	6.565e+007
13	2808.1	61.1	70.8	50.5	4.313e+009	4.061e+001	2.93	1.359e-002	3.869e+001	1.378e-002	3.815e+001	1.359e-002	1.620e-003	3.975e+001	1.416e-002	2.777e-003	21.28	2.163e+000	40.86	5.050e+001	1.798e-002	4.866e-003	5.700e+007
14	3999.6	72.8	83.7	60.8	4.212e+009	5.656e+001	3.06	1.358e-002	5.578e+001	1.395e-002	5.495e+001	1.374e-002	2.280e-003	5.660e+001	1.415e-002	3.947e-003	29.15	2.971e+000	56.23	7.890e+001	1.973e-002	1.046e-002	8.617e+007
15	2971.7	61.8	66.9	56.6	3.995e+009	3.988e+001	2.90	1.272e-002	3.947e+001	1.328e-002	4.060e+001	1.366e-002	1.615e-003	4.195e+001	1.412e-002	2.836e-003	20.76	1.122e+000	40.01	4.930e+001	1.659e-002	4.823e-003	5.349e+007
16	3418.7	67.4	77.0	56.5	4.021e+009	4.586e+001	3.24	1.384e-002	4.827e+001	1.412e-002	4.835e+001	1.414e-002	2.001e-003	4.870e+001	1.425e-002	3.431e-003	28.35	2.732e+000	54.11	7.070e+001	2.068e-002	8.617e-003	8.251e+007
17	3055.4	64.1	77.0	50.6	4.358e+009	4.476e+001	2.84	1.308e-002	4.297e+001	1.406e-002	4.270e+001	1.398e-002	1.768e-003	4.540e+001	1.486e-002	3.075e-003	20.84	2.888e+000	40.30	5.970e+001	1.954e-002	5.437e-003	5.869e+007
18	3991.4	72.1	83.8	60.6	4.176e+009	5.633e+001	2.92	1.303e-002	5.620e+001	1.408e-002	5.625e+001	1.409e-002	2.279e-003	5.980e+001	1.498e-002	3.959e-003	24.24	3.984e+000	47.05	8.500e+001	2.130e-002	8.674e-003	7.205e+007
19	3817.1	74.3	90.1	54.0	4.292e+009	5.501e+001	3.23	1.442e-002	5.687e+001	1.490e-002	5.665e+001	1.484e-002	2.312e-003	5.850e+001	1.533e-002	4.039e-003	24.37	3.476e+000	46.67	7.915e+001	2.074e-002	8.379e-003	7.231e+007
20	4921.3	82.1	95.8	65.4	4.157e+009	6.956e+001	3.64	1.374e-002	7.105e+001	1.444e-002	7.075e+001	1.438e-002	2.718e-003	7.370e+001	1.498e-002	4.865e-003	24.55	3.799e+000	46.93	9.735e+001	1.978e-002	1.028e-002	6.968e+007
21	4032.4	78.7	97.9	52.4	3.892e+009	5.298e+001	3.38	1.390e-002	5.748e+001	1.425e-002	5.720e+001	1.419e-002	2.318e-003	6.140e+001	1.523e-002	4.036e-003	23.84	3.281e+000	45.46	8.060e+001	1.999e-002	8.269e-003	6.790e+007
22	5366.5	84.7	98.5	69.4	3.981e+009	7.242e+001	3.23	1.326e-002	7.411e+001	1.381e-002	7.275e+001	1.356e-002	2.963e-003	7.650e+001	1.426e-002	5.181e-003	27.27	4.494e+000	52.88	1.107e+002	2.063e-002	1.282e-002	7.946e+007
23	4940.8	83.9	101.6	61.9	4.146e+009	6.914e+001	3.01	1.303e-002	6.800e+001	1.376e-002	6.785e+001	1.373e-002	2.777e-003	7.105e+001	1.438e-002	4.802e-003	21.89	4.149e+000	42.38	9.265e+001	1.875e-002	8.959e-003	6.004e+007
24	3108.2	62.8	68.2	57.9	3.976e+009	4.142e+001	2.80	1.224e-002	4.081e+001	1.313e-002	4.135e+001	1.330e-002	1.674e-003	4.445e+001	1.430e-002	2.947e-003	22.26	2.482e+000	42.98	5.770e+001	1.856e-002	5.626e-003	5.952e+007
25	4256.2	77.6	91.9	59.1	3.956e+009	5.690e+001	3.12	1.242e-002	5.590e+001	1.313e-002	5.515e+001	1.296e-002	2.238e-003	5.810e+001	1.365e-002	3.922e-003	27.69	3.345e+000	53.78	8.435e+001	1.982e-002	9.914e-003	7.723e+007
26	3176.6	64.7	73.0	55.4	4.032e+009	4.312e+001	3.10	1.374e-002	4.682e+001	1.474e-002	4.680e+001	1.473e-002	1.886e-003	4.970e+001	1.565e-002	3.319e-003	23.75	3.497e+000	45.71	7.040e+001	2.216e-002	6.988e-003	7.265e+007
27	5264.4	83.9	94.7	70.8	4.206e+009	7.476e+001	2.91	1.337e-002	7.327e+001	1.392e-002	7.245e+001	1.376e-002	2.998e-003	7.550e+001	1.434e-002	5.181e-003	19.44	3.600e+000	37.40	9.205e+001	1.749e-002	8.193e-003	5.155e+007
28	3589.5	74.6	90.7	50.4	3.938e+009	4.745e+001	3.19	1.387e-002	5.162e+001	1.438e-002	5.090e+001	1.418e-002	2.111e-003	5.320e+001	1.482e-002	3.657e-003	24.93	3.455e+000	47.60	7.510e+001	2.092e-002	7.964e-003	7.308e+007
29	3363.0	66.9	75.3	56.8	4.270e+009	4.818e+001	3.13	1.396e-002	4.790e+001	1.424e-002	4.725e+001	1.405e-002	1.955e-003	4.915e+001	1.461e-002	3.394e-003	23.30	2.937e+000	44.60	6.555e+001	1.949e-002	6.713e-003	6.570e+007
30	3425.8	69.9	80.5	54.2	4.146e+009	4.701e+001	3.12	1.368e-002	4.974e+001	1.452e-002	4.985e+001	1.455e-002	2.042e-003	5.330e+001	1.556e-002	3.591e-003	22.37	3.855e+000	42.27	7.395e+001	2.159e-002	6.901e-003	6.540e+007
31	4470.8	78.4	96.7	58.8	4.038e+009	6.117e+001	2.96	1.216e-002	5.677e+001	1.270e-002	5.585e+001	1.249e-002	2.298e-003	5.810e+001	1.300e-002	3.986e-003	25.90	2.781e+000	50.70	7.640e+001	1.709e-002	8.941e-003	6.649e+007
32	3039.2	62.5	65.5	59.1	4.297e+009	4.399e+001	2.81	1.305e-002	4.195e+001	1.380e-002	4.135e+001	1.361e-002	1.716e-003	4.335e+001	1.426e-002	2.977e-003	27.66	2.493e+000	54.06	6.345e+001	2.088e-002	7.581e-003	8.244e+007
33	4159.1	72.8	76.0	69.6	3.555e+009	4.964e+001	3.49	1.307e-002	5.743e+001	1.381e-002	5.595e+001	1.345e-002	2.306e-003	5.850e+001	1.407e-002	4.008e-003	29.91	3.602e+000	57.21	9.195e+001	2.211e-002	1.122e-002	8.883e+007
34	3030.8	66.1	80.9	47.7	4.295e+009	4.426e+001	4.37	1.457e-002	4.565e+001	1.506e-002	4.475e+001	1.477e-002	1.683e-003	4.665e+001	1.539e-002	3.039e-003	27.85	2.445e+000	52.57	6.425e+001	2.120e-002	7.460e-003	8.210e+007
35	4532.4	78.5	88.7	65.0	4.196e+009	6.318e+001	2.93	1.318e-002	6.352e+001	1.401e-002	6.350e+001	1.401e-002	2.636e-003	6.735e+001	1.486e-002	4.597e-003	21.32	4.518e+000	40.35	8.935e+001	1.971e-002	8.150e-003	5.861e+007
36	4227.5	74.9	90.1	59.8	4.096e+009	5.792e+001	2.82	1.249e-002	5.439e+001	1.287e-002	5.290e+001	1.251e-002	2.227e-003	5.565e+001	1.316e-002	3.846e-003	30.00	2.741e+000	58.35	8.255e+001	1.953e-002	1.074e-002	8.335e+007
37	4050.2	73.9	85.5	60.3	3.595e+009	4.879e+001	3.39	1.309e-002	5.662e+001	1.398e-002	5.535e+001	1.367e-002	2.259e-003	5.890e+001	1.454e-002	3.953e-003	27.74	4.023e+000	53.06	9.300e+001	2.296e-002	1.035e-002	8.402e+007
38	2763.0	59.8	65.0	54.1	4.663e+009	4.340e+001	2.58	1.292e-002	3.969e+001	1.437e-002	4.125e+001	1.493e-002	1.611e-003	4.335e+001	1.569e-002	2.872e-003	21.84	2.379e+000	42.86	5.635e+001	2.039e-002	5.456e-003	6.525e+007
39	4794.8	80.2	91.1	67.1	3.662e+009	5.947e+001	3.46	1.341e-002	6.898e+001	1.439e-002	6.970e+001	1.454e-002	2.709e-003	7.440e+001	1.552e-002	4.796e-003	24.25	5.246e+000	46.51	1.052e+002	2.194e-002	1.045e-002	7.243e+007
40	5557.2	84.4	91.0	77.8	3.949e+009	7.432e+001	2.99	1.207e-002	7.039e+001	1.267e-002	6.950e+001	1.251e-002	2.873e-003	7.250e+001	1.305e-002	4.924e-003	26.38	4.001e+000	51.56	1.026e+002	1.846e-002	1.177e-002	7.035e+007
41	3553.8	69.6	79.7	56.8	4.102e+009	4.895e+001	2.83	1.256e-002	4.629e+001	1.302e-002	4.550e+001	1.280e-002	1.917e-003	4.710e+001	1.325e-002	3.295e-003	26.45	2.685e+000	51.25	6.660e+001	1.874e-002	7.694e-003	7.131e+007
42	2289.5	54.5	60.6	48.1	4.215e+009	3.232e+001	2.96	1.319e-002	3.203e+001	1.399e-002	3.195e+001	1.395e-002	1.308e-003	3.405e+001	1.487e-002	2.286e-003	23.66	2.304e+000	45.51	4.775e+001	2.086e-002	4.778e-003	6.859e+007
43	3853.5	74.4	87.3	56.2	4.241e+009	5.484e+001	2.86	1.291e-002	5.241e+001	1.360e-002	5.270e+001	1.368e-002	2.142e-003	5.600e+001	1.453e-002	3.754e-003	21.20	2.576e+000	40.75	6.935e+001	1.800e-002	6.638e-003	5.670e+007
44	3577.4	69.3	80.8	56.4	4.581e+009	5.546e+001	2.92	1.379e-002	5.135e+001	1.435e-002	5.115e+001	1.430e-002	2.107e-003	5.405e+001	1.511e-002	3.663e-003	16.00	1.464e+000	30.94	5.850e+001	1.635e-002	4.622e-003	4.290e+007
45	2893.7	62.9	73.3	50.2	4.400e+009	4.297e+001	2.65	1.318e-002	4.023e+001	1.390e-002	4.180e+001	1.445e-002	1.686e-003				11.29	9.305e-001	21.52	4.305e+001	1.488e-002	2.497e-003	2.857e+007
46
47	4297.4	76.1	88.2	62.0	4.260e+009	6.147e+001	2.83	1.321e-002	5.909e+001	1.375e-002	5.770e+001	1.343e-002	2.429e-003	6.045e+001	1.407e-002	4.186e-003	29.12	3.261e+000	56.79	8.955e+001	2.084e-002	1.129e-002	8.652e+007
48	4697.6	86.5	110.8	54.0	4.568e+009	7.284e+001	2.96	1.408e-002	6.950e+001	1.479e-002	6.935e+001	1.476e-002	2.792e-003	7.225e+001	1.538e-002	4.889e-003	24.71	4.464e+000	48.45	1.007e+002	2.144e-002	1.083e-002	7.676e+007
49	3873.5	72.9	87.3	56.5	4.053e+009	5.281e+001	3.04	1.358e-002	5.355e+001	1.383e-002	5.250e+001	1.355e-002	2.230e-003	5.490e+001	1.417e-002	3.790e-003	25.02	3.446e+000	48.28	7.715e+001	1.992e-002	8.362e-003	7.125e+007
50	4655.8	78.1	88.5	67.0	4.081e+009	6.388e+001	2.97	1.281e-002			6.245e+001	1.341e-002	2.574e-003	6.580e+001	1.413e-002	4.481e-003							
51	3911.7	70.8	77.0	64.7	3.446e+009	4.584e+001	4.24	1.253e-002	5.086e+001	1.300e-002	4.960e+001	1.268e-002	1.881e-003	5.065e+001	1.295e-002	3.368e-003	33.89	2.458e+000	64.84	7.870e+001	2.012e-002	1.094e-002	9.331e+007
52	3612.9	70.2	81.6	56.4	4.000e+009	4.843e+001	2.99	1.305e-002	4.992e+001	1.382e-002	4.995e+001	1.383e-002	2.039e-003	5.170e+001	1.431e-002	3.556e-003	24.49	3.074e+000	47.11	7.110e+001	1.968e-002	7.579e-003	6.896e+007
