Record	Description	Slice No.	Slice Position	Start Angle	End Angle	Elapsed Time	Cross-Sectional Area	Mean Diameter	Max. Diameter	Min. Diameter	Std. Deviation	Measurements
1	Slot  : FDAS770 Double-Ended	1	24	0	360	0	2985.7	61.94	65.15	58.35	1.97	243
1	Slot  : FDAS770 Double-Ended	2	156	0	360	0	2651.1	59	64.8	52.09	3.955	244
1	Slot  : FDAS770 Double-Ended	3	288	0	360	0	2880.4	60.4	63.34	57.9	1.73	242
1	Slot  : FDAS770 Double-Ended	4	420	0	360	0	2648.8	60.95	71.09	47.44	8.565	241
1	Slot  : FDAS770 Double-Ended	5	552	0	360	0	2505.5	59.05	70.75	45.09	8.97	240
2	Slot  : FDAS770 Double-Ended	1	24	0	360	88	3186.3	66	80.59	50.34	10.295	242
2	Slot  : FDAS770 Double-Ended	2	156	0	360	88	3098.8	64.34	78.69	50.14	9.68	241
2	Slot  : FDAS770 Double-Ended	3	288	0	360	88	3261.6	67	77.84	53.35	7.875	241
2	Slot  : FDAS770 Double-Ended	4	420	0	360	88	3162	68.3	80.44	50.05	10.3949	240
2	Slot  : FDAS770 Double-Ended	5	552	0	360	88	3114.4	66.4	77.6	51.1	8.6549	239
3	Slot  : FDAS770 Double-Ended	1	24	0	360	158	3218.2	67.14	83.3	49.19	11.4249	242
3	Slot  : FDAS770 Double-Ended	2	200	0	360	158	3199.9	64.04	73.29	55.59	5.82	242
3	Slot  : FDAS770 Double-Ended	3	376	0	360	158	3126.6	67.19	79.3	50.2	10.265	239
3	Slot  : FDAS770 Double-Ended	4	552	0	360	158	3195.7	67.34	79.94	50.9	9.3299	237
4	Slot  : FDAS770 Double-Ended	1	24	0	360	243	2992.9	66.9	81.6	46.7	10.7749	242
4	Slot  : FDAS770 Double-Ended	2	288	0	360	243	3192.3	66.65	77.79	52.25	8.3149	242
4	Slot  : FDAS770 Double-Ended	3	552	0	360	243	3146.9	67.34	79.5	50.4	9.2799	238
5	Slot  : FDAS770 Double-Ended	1	201	0	360	309	3159.1	64.09	72.75	55.29	5.835	235
5	Slot  : FDAS770 Double-Ended	2	378	0	360	309	3167.2	67.69	78.84	51.15	9.585	238
6	Slot  : FDAS770 Double-Ended	1	201	0	360	407	3218.5	64.04	72.8	56.29	5.5999	238
6	Slot  : FDAS770 Double-Ended	2	378	0	360	407	3238.9	68.04	79.69	51.75	9.645	239
