Single Phase Analysis Version 11.0: Basic Format															
Source File: C:\Users\sunee\Desktop\Devora\20241126_DAN_IHNY_SDS_PYS_phos_0.01_0.03_0.05.uvc															
Operator:															
Sample ID:	1000														
Bar Code:	1000														
File Comments:	New File														
Lower Area Filter:	5														
Upper Area Filter:	2000														
(*)Gauge Force Correction To Strain Axis:	NO														
(#)Compliance (mm/N):	0														
RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	EMOD	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
	sq. micron	mm	N/mm	Pascals	GPa	Joules	Joules	% Strain	MPa	% Strain	MPa	Joules	% Strain	N	MPa
26	3339.7	30.33	0.5107	4638000000	4.638	0.00000004415	0.009112	0.2308	15.13	0.8902	45.53	0.00002056	66.963	0.6117	183.2
27	2814.2	30.12	0.4673	5002000000	5.002	0.0000002379	0.005489	0.2324	16.56	0.8632	47.41	0.00001757	49.934	0.4945	175.7
28	3102.4	30.14	0.5819	5653000000	5.653	0	0.005895	0.2654	22.61	0.8626	55.97	0.00002243	46.516	0.5587	180.1
29	3325.1	30.2	0.4452	4043000000	4.043	0.000000412	0.006463	0.2649	13.28	0.8278	35.7	0.0000138	53.179	0.5376	161.7
30	3363.2	30.15	0.6201	5559000000	5.559	0	0.007529	0.2322	21.59	0.8292	54.69	0.00002285	50.746	0.6897	205.1
31	4210.6	30.12	0.7142	5109000000	5.109	0	0.007792	0.2324	19.11	0.8632	51.73	0.00002848	45.651	0.7623	181
32	3519.7	30.22	0.559	4800000000	4.8	0.0000002306	0.005227	0.2647	17.14	0.8273	44.04	0.00001818	41.33	0.5288	150.2
33	3514	30.26	0.6869	5915000000	5.915	0.0000002968	0.005038	0.2644	22.34	0.8923	59.61	0.00002802	35.327	0.5842	166.3
34	3484.5	30.22	0.5982	5188000000	5.188	0.000000103	0.006633	0.2647	19.29	0.8273	48.99	0.00002046	45.566	0.6652	190.9
35	3273.5	30.22	0.5661	5226000000	5.226	0.0000002207	0.00754	0.2647	20.23	0.8273	50.5	0.00001973	51.754	0.6828	208.6
36	3916	30.24	0.7276	5619000000	5.619	0	0.005837	0.2315	21.55	0.8267	54.74	0.00002626	39.484	0.5828	148.8
37	3197.2	30.26	0.5648	5345000000	5.345	0	0.007174	0.2313	20.71	0.8592	54.16	0.00002234	51.718	0.5886	184.1
38	3242.1	30.3	0.5469	5112000000	5.112	0.0000001079	0.003531	0.264	20.73	0.8251	49.63	0.00001952	29.406	0.438	135.1
39	3620.9	30.24	0.6826	5701000000	5.701	0	0.0055	0.2646	21.68	0.8598	55.14	0.00002547	38.128	0.6019	166.2
40	2601.1	30.09	0.4646	5375000000	5.375	0	0.006736	0.2326	19.42	0.8973	54.5	0.00001985	59.953	0.5209	200.3
41	3655	30.34	0.612	5080000000	5.08	0	0.008061	0.2637	22.41	0.857	52.88	0.00002457	54.614	0.6509	178.1
42	5014.8	30.01	0.8521	5099000000	5.099	0.000000009811	0.01164	0.2333	16.34	0.8331	46.95	0.00002917	53.949	1.003	199.9
43	2852.3	30.21	0.5083	5384000000	5.384	-0.000000004905	0.005844	0.2317	20.64	0.8937	56.07	0.00002218	51.076	0.5023	176.1
44	4038.4	30.08	0.7031	5237000000	5.237	0.00000002943	0.007349	0.2327	16.4	0.8644	50.53	0.0000263	44.88	0.7353	182.1
45	3380.9	30.16	0.5568	4967000000	4.967	0.0000002306	0.006034	0.2653	19.59	0.8621	49.48	0.00002078	46.054	0.5675	167.9
46	4352.9	30.33	0.7298	5085000000	5.085	-0.00000002943	0.01007	0.2308	17.58	0.8902	50.94	0.00003006	54.27	0.854	196.2
47	4317.2	30.3	0.7032	4936000000	4.936	0.0000001177	0.008805	0.264	16.93	0.8251	44.88	0.00002296	50.561	0.7549	174.9
48	3087.9	29.97	0.6073	5894000000	5.894	0.000007228	0.006717	0.7341	15.57	1.435	57.51	0.00002392	48.549	0.6215	201.3
49	2129.5	30.34	0.3584	5106000000	5.106	0	0.003076	0.2637	25.34	0.857	55.05	0.00001546	37.475	0.3478	163.3
50															
Note 1: Columns marked (*) are affected if gauge force correction is applied															
															
Note 2: Columns marked (#) are affected if the compliance factor is > 0															
