Single Phase Analysis Version 11.0: Basic Format															
Source File: C:\Users\sunee\Desktop\Devora\20241126_DAN_IHNY_SDS_PYS_phos_0.01_0.03_0.05.uvc															
Operator:															
Sample ID:	1000														
Bar Code:	1000														
File Comments:	New File														
Lower Area Filter:	5														
Upper Area Filter:	2000														
(*)Gauge Force Correction To Strain Axis:	NO														
(#)Compliance (mm/N):	0														
RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	EMOD	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
	sq. micron	mm	N/mm	Pascals	GPa	Joules	Joules	% Strain	MPa	% Strain	MPa	Joules	% Strain	N	MPa
1	4542.1	30.44	0.7591	5087000000	5.087	0	0.01061	0.2628	20.2	0.887	51.51	0.00003081	51.216	0.9585	211
2	4985.1	30.13	0.8031	4854000000	4.854	0.0000007481	0.008765	0.2655	11.32	0.8297	39.16	0.00002096	45.669	0.8167	163.8
3	4069.4	30.4	0.6542	4887000000	4.887	0	0.009953	0.2303	19.41	0.8224	48.34	0.00002503	55.822	0.8236	202.4
4	3869.6	30.32	0.6129	4802000000	4.802	0.0000001153	0.008244	0.2639	19.14	0.8245	46.52	0.00002161	52.968	0.6917	178.7
5	3232.3	30.32	0.5755	5398000000	5.398	0	0.006735	0.2639	23.52	0.8575	55.24	0.00002312	49.703	0.6034	186.7
6	5809.6	30.26	0.9457	4926000000	4.926	0.0000000883	0.01358	0.2644	18.15	0.8592	47.87	0.00003478	54.627	1.131	194.6
7	3478.8	30.35	0.5936	5179000000	5.179	0	0.00607	0.2306	18.19	0.8237	49.07	0.00002097	44.942	0.5901	169.6
8	4925.3	30.28	0.7738	4757000000	4.757	0.00000001472	0.01049	0.2642	16.63	0.8917	46.61	0.00003019	51.816	0.9202	186.8
9	4315.1	30.45	0.7236	5106000000	5.106	0	0.01028	0.2299	18.76	0.8539	50.13	0.00002802	56.125	0.8324	192.9
10	3363.4	30.68	0.5907	5388000000	5.388	0	0.007027	0.2934	25.23	0.8149	52.94	0.00002138	53.455	0.5435	161.6
11	3262.7	30.36	0.5759	5359000000	5.359	0	0.008774	0.2964	24.66	0.8893	56.38	0.00002453	59.486	0.6706	205.5
12	4373.7	30.19	0.7323	5054000000	5.054	0.00000005151	0.01074	0.2319	17.5	0.8612	48.56	0.00002777	53.826	0.9546	218.3
13	5715.9	30.38	1.013	5386000000	5.386	0.000000103	0.01089	0.2304	14.5	0.8229	45.66	0.00003073	45.787	1.057	184.9
14	5235.8	30.4	0.9159	5318000000	5.318	0.000000004905	0.007091	0.2303	15.83	0.8224	47.5	0.00002955	35.855	0.8261	157.8
15	2957.4	30.3	0.5465	5599000000	5.599	0	0.005643	0.264	24.38	0.8251	55.9	0.00001991	43.861	0.5832	197.2
16	4619.1	30.22	0.7419	4854000000	4.854	0.00000006867	0.01066	0.2647	18.05	0.8273	46.2	0.00002531	54.434	0.9168	198.5
17	5037.7	30.42	0.9257	5590000000	5.59	0.0000004022	0.01271	0.263	17.92	0.8547	51.51	0.00003189	52.465	1.144	227.1
18	3896.8	29.97	0.6831	5254000000	5.254	0.000005052	0.004834	0.6673	13.09	1.368	49.72	0.00002565	32.566	0.6063	155.6
19	4807.6	30.22	0.8252	5187000000	5.187	0.0000007162	0.01159	0.2647	13.57	0.8273	42.96	0.00002324	55.791	0.9556	198.8
20	7310.4	30.13	1.172	4829000000	4.829	0.0000008167	0.01224	0.2655	13.35	0.8297	41.6	0.00003426	45.636	1.166	159.4
21	4004.9	29.97	0.6575	4920000000	4.92	0.0000004954	0.009168	0.2002	8.941	0.8342	39.68	0.00001829	52.586	0.8045	200.9
22	6007.5	30.08	0.9532	4773000000	4.773	0.0000002134	0.00913	0.266	16.41	0.8311	43.93	0.00003077	39.628	1.004	167.1
23	4323.1	30.14	0.7418	5172000000	5.172	0.0000001815	0.006621	0.2654	17.25	0.8626	48.22	0.00002556	41.705	0.6661	154.1
24	3310.3	30.15	0.5654	5150000000	5.15	0.00000002943	0.007488	0.2653	19.71	0.8624	50.23	0.00002128	50.216	0.7	211.5
25	4882.4	30.02	0.7703	4736000000	4.736	0.00000007849	0.01122	0.2332	16.28	0.8328	45.81	0.00002673	57.229	0.8888	182.1
Note 1: Columns marked (*) are affected if gauge force correction is applied															
															
Note 2: Columns marked (#) are affected if the compliance factor is > 0															
