Three Phase Analysis Version 6.0																								
Source File: C:\Users\sunee\Desktop\Devora\20241126_DAN_IHNY_SDS_PYS_phos_0.01_0.03_0.05.uvc																								
RECORD	CROSS-SECTIONAL AREA	MEAN DIAMETER	MAX DIAMETER	MIN DIAMETER	ELASTIC EMOD	ELASTIC GRADIENT	ELASTIC EXT	ELASTIC STRESS	PLATEAU LOAD	PLATEAU STRESS	LOAD 15%	STRESS 15%	WORK 15%	LOAD 25%	STRESS 25%	WORK 25%	YIELD EXT	POSTYIELD GRADIENT	BREAK EXT	BREAK LOAD	BREAK STRESS	Break Stress	TOTAL WORK	TOUGHNESS
																								
	sq. microns	Microns	Microns	Microns	Pascals	gmf/mm	% Strain	gmf/sq micron	gmf	gmf/sq micron	gmf	gmf/sq micron	Joules	gmf	gmf/sq micron	Joules	% Strain	gmf/mm	% Strain	gmf	gmf/sq micron	MPa	Joules	Joules/m3
51	4690	81.5	95.8	62.3	3841000000	60.78	2.95	0.01217	59.55	0.0127	58.9	0.01256	0.002396	62.05	0.01323	0.004201	27.84	3.955	54.32	94.2	0.02009	197.0155985	0.01094	77200000
52	2476.2	59.5	72.2	43.7	4240000000	35.23	2.63	0.01212	31.19	0.0126	31.15	0.01258	0.001279	32.2	0.013	0.002219	25.77	1.564	50.16	43.25	0.01747	171.3221755	0.005009	66590000
53	4928.7	82.4	98.7	63.6	3583000000	59.74	3.12	0.01229	61.11	0.0124	60.25	0.01222	0.002478	63.05	0.01279	0.004299	23.33	4.299	45	87.55	0.01776	174.166104	0.008698	58570000
54	3175	64	70.4	57.5	4073000000	43.32	3.12	0.01271	42.53	0.01339	41.85	0.01318	0.001705	44.7	0.01408	0.002994	25.44	3.078	48.83	65.3	0.02057	201.7227905	0.006877	71180000
55	2942.6	64.8	75.7	49.5	4083000000	40.75	1.96	0.009549	33.34	0.01133	36.05	0.01225	0.001399	37.5	0.01274	0.002481	16.43	0.9999	33.7	41	0.01393	136.6066345	0.003461	39120000
56	5405	86.9	102.8	67.2	3873000000	70.82	2.99	0.01205	66.05	0.01222	66.15	0.01224	0.002677	67.45	0.01248	0.004656	24.29	3.902	47.13	90.8	0.0168	164.75172	0.009704	59590000
57	2657	57.5	61.8	54.8	3956000000	35.37	2.67	0.0118	32.66	0.01229	32.4	0.01219	0.001369	34.75	0.01308	0.002344	18.26	2.155	35.19	43.55	0.01639	160.7309935	0.003518	43720000
58	3777.2	70.3	74	65	3890000000	49.49	3.04	0.01226	47.47	0.01257	46.65	0.01235	0.001941	49.45	0.01309	0.003361	26.67	3.577	51.75	77.3	0.02046	200.644059	0.008384	73350000
59	4581.4	80.2	96.4	60.6	4155000000	64.53	2.83	0.01251	59.21	0.01292	58.75	0.01282	0.002391	61.45	0.01341	0.004182	25.91	4.325	50.95	93.15	0.02033	199.3691945	0.01009	73210000
60	4979.9	90.3	112.6	56.3	4495000000	75.28	2.87	0.01348	69.13	0.01388	69.25	0.01391	0.002824	73.15	0.01469	0.004944	23	4.599	44.54	98.95	0.01987	194.8581355	0.009825	65090000
61	3942.8	76.2	95	52.9	4318000000	57.9	4.04	0.01342	56.43	0.01431	56.55	0.01434	0.002103	58.25	0.01477	0.003805	20.32	2.111	38	69.3	0.01758	172.400907	0.006155	52080000
62	3881.5	71.9	83.7	59	4078000000	52.81	2.68	0.01132	45.56	0.01174	44.65	0.0115	0.001861	49.55	0.01277	0.003248	26.42	1.912	51.06	63.75	0.01642	161.025193	0.007552	63680000
63	4506.5	76	80.3	71.5	3732000000	56.72	2.95	0.01179			54.75	0.01215	0.002248	59	0.01309	0.003927								
64	5820.5	89.5	103.5	71.7	3547000000	69.89	3.09	0.01242	71.47	0.01228	70.1	0.01204	0.002925	72.4	0.01244	0.005033	28.26	4.475	55	109	0.01873	183.6785545	0.013	74160000
65	4238.9	73.7	80.3	67.2	4089000000	58.92	3.64	0.01387	61.56	0.01452	61.65	0.01454	0.002372	65.1	0.01536	0.004256	23.38	4.551	44.8	90.75	0.02141	209.9603765	0.008708	68520000
66	2377.3	57	61.9	48.9	4222000000	33.7	2.83	0.01277	30.69	0.01291	30.25	0.01272	0.001271	31.7	0.01333	0.002189	26.65	2.072	51.81	47.3	0.0199	195.152335	0.005326	73790000
67	5289.6	87.6	107.9	62.4	3583000000	63.5	3.12	0.01163	62.93	0.0119	62.5	0.01182	0.002547	63.6	0.01202	0.004436	27.91	3.606	53.62	89.85	0.01699	166.6149835	0.01088	67590000
68	3242.7	66.2	75.8	54.5	4032000000	43.66	2.92	0.0124	39.64	0.01222	39.15	0.01207	0.001646	40.85	0.0126	0.002824	26.54	2.207	51.18	57.15	0.01762	172.793173	0.006623	66920000
69																								
70	2847.4	64.1	78.1	46.4	4487000000	43.34	2.9	0.01329	38.49	0.01352	38.3	0.01345	0.001588	39.2	0.01377	0.002715	20.17	1.943	39.4	49.25	0.0173	169.655045	0.004548	53160000
71	5864.8	93.9	119.7	62.4	4080000000	81.14	2.99	0.01259	73.46	0.01253	72.2	0.01231	0.003011	75.55	0.01288	0.005196	24.22	4.605	47.27	103.6	0.01766	173.185439	0.01097	62220000
72	3423.3	66.6	72	60.5	3876000000	44.38	2.95	0.01201	41.07	0.012	40.2	0.01174	0.001698	41.5	0.01212	0.002914	30.19	2.288	58.32	62	0.01811	177.5984315	0.00804	77080000
73	3001.9	62.6	66.5	57.5	3815000000	38.31	2.82	0.01189	36.84	0.01227	35.9	0.01196	0.001507	37.55	0.01251	0.002596	30.78	2.319	59.7	61.75	0.02057	201.7227905	0.007787	85130000
74																								
75	4631.1	84.6	105.2	56.2	4308000000	67.74	3.16	0.01413	67.79	0.01464	68.3	0.01475	0.002743	72.05	0.01556	0.004817	19.35	4.637	37.24	92.7	0.02002	196.329133	0.007721	55530000
																								
Min:	2129.5	52	55.4	43.7	3298000000	28.82	1.96	0.009549	26.69	0.01133	27.1	0.01129	0.001109	28.35	0.01154	0.001923	11.69	0.6324	21.17	35.45	0.01216	119.248864	0.003076	22720000
Max:	7310.4	97.9	120.7	83	4547000000	90	4.04	0.01413	84.81	0.01464	85.3	0.01475	0.003406	90.35	0.01556	0.006009	34.45	5.494	66.96	118.8	0.02315	227.0239475	0.01358	89960000
Median:	3942.8	72.7	0	60.2	3956000000	53.11	2.92	0.01227	49.46	0.01253	49.6	0.01244	0.002024	53.05	0.01304	0.003528	25.65	3.146	49.85	70.4	0.0185	181.423025	0.007754	67120000
Mean:	4087.9	73.9	85.5	60.2	3967000000	54.31	2.96	0.01227	51.46	0.01262	51.15	0.01253	0.002094	53.31	0.01315	0.003623	24.81	3.105	48.13	74.86	0.01835	179.9520275	0.008055	65330000
Std. Dev.:	1031.2	9.9	14.1	7.4	276200000	12.63	0.27	0.0006932	12.9	0.0006557	12.77	0.0006702	0.0005142	13.14	0.0007608	0.0008831	3.98	1.126	7.86	20.23	0.002069	20.28995885	0.002535	12980000
% Premature Failure:	0																							
