Three Phase Analysis Version 6.0																								
Source File: C:\Users\sunee\Desktop\Devora\20241126_DAN_IHNY_SDS_PYS_phos_0.01_0.03_0.05.uvc																								
RECORD	CROSS-SECTIONAL AREA	MEAN DIAMETER	MAX DIAMETER	MIN DIAMETER	ELASTIC EMOD	ELASTIC GRADIENT	ELASTIC EXT	ELASTIC STRESS	PLATEAU LOAD	PLATEAU STRESS	LOAD 15%	STRESS 15%	WORK 15%	LOAD 25%	STRESS 25%	WORK 25%	YIELD EXT	POSTYIELD GRADIENT	BREAK EXT	BREAK LOAD	BREAK STRESS	Break Stress	TOTAL WORK	TOUGHNESS
																								
	sq. microns	Microns	Microns	Microns	Pascals	gmf/mm	% Strain	gmf/sq micron	gmf	gmf/sq micron	gmf	gmf/sq micron	Joules	gmf	gmf/sq micron	Joules	% Strain	gmf/mm	% Strain	gmf	gmf/sq micron	MPa	Joules	Joules/m3
1	4542.1	79.8	96	60.2	3911000000	59.49	2.92	0.01254	61.08	0.01345	61	0.01343	0.002472	63.85	0.01406	0.004348	26.51	4.69	51.22	97.7	0.02151	210.9410415	0.01061	76740000
2	4985.1	84.1	100.5	63.2	3630000000	61.22	3.39	0.01275	62.02	0.01244	61	0.01224	0.002513	63.45	0.01273	0.00435	23.76	3.412	45.67	83.25	0.0167	163.771055	0.008766	58360000
3	4069.4	77.9	95.3	54.4	3907000000	53.31	3.06	0.01256	51.81	0.01273	50.6	0.01243	0.002134	52.75	0.01296	0.003669	28.95	3.592	55.82	83.95	0.02063	202.3111895	0.009953	80450000
4	3869.6	70.9	79	62.4	3630000000	47.22	3.2	0.01237	47.67	0.01232	46.7	0.01207	0.001958	48.25	0.01247	0.003366	27.57	2.903	52.97	70.5	0.01822	178.677163	0.008244	70260000
5	3232.3	65	70.9	58	4263000000	46.33	2.7	0.01236	41.23	0.01275	40.85	0.01264	0.001701	42.4	0.01312	0.002937	25.46	2.802	49.7	61.5	0.01903	186.6205495	0.006735	68730000
6	5809.6	86.8	94.8	78.1	3594000000	70.34	3.3	0.01257	74.26	0.01278	73.7	0.01269	0.003004	76.05	0.01309	0.005233	28.39	4.872	54.63	115.3	0.01984	194.563936	0.01358	77240000
7	3478.8	66.7	72.6	61	3958000000	46.25	2.87	0.01184	42.39	0.01218	42.1	0.0121	0.001756	44.15	0.01269	0.003035	23.23	2.753	44.94	60.15	0.01729	169.5569785	0.00607	57490000
8	4925.3	79.7	85.9	73.1	3854000000	63.89	2.97	0.01179	60.65	0.01231	60	0.01218	0.002444	63.5	0.01289	0.004267	26.78	4.041	51.82	93.8	0.01904	186.718616	0.01049	70340000
9	4315.1	76.1	85.4	64.3	3820000000	55.18	2.89	0.01216	53.62	0.01243	52.7	0.01221	0.00221	54.8	0.0127	0.003813	28.93	3.508	56.12	84.85	0.01966	192.798739	0.01028	78230000
10	3363.4	66.3	72.1	59.3	3948000000	44.12	2.67	0.01197	40.7	0.0121	40.35	0.012	0.001677	42.6	0.01267	0.002939	27.61	1.601	53.46	55.4	0.01647	161.5155255	0.007027	68090000
11	3262.7	66.2	75.5	55	4201000000	46.02	2.96	0.01295	42.79	0.01312	41.6	0.01275	0.00175	43.65	0.01338	0.003021	30.67	2.515	59.49	68.35	0.02095	205.4493175	0.008774	88580000
12	4373.7	76.3	85.1	65.4	3564000000	52.63	3.15	0.0125	57.02	0.01304	55.65	0.01272	0.002304	59.9	0.0137	0.003974	27.76	4.461	53.83	97.3	0.02225	218.1979625	0.01074	81370000
13	5715.9	90.8	110.3	66	3815000000	73.16	3.16	0.01271	73.68	0.01289	72.75	0.01273	0.003012	76.45	0.01337	0.005225	23.9	5.272	45.79	107.7	0.01884	184.757286	0.01089	62720000
14	5235.8	84.2	101.8	65.5	3854000000	67.67	2.93	0.01203	64.86	0.01239	64.55	0.01233	0.002689	68.6	0.0131	0.00466	18.78	3.848	35.86	84.2	0.01608	157.690932	0.007091	44550000
15	2957.4	61.9	67.6	55.7	4252000000	42.3	2.9	0.01298	39.72	0.01343	40.25	0.01361	0.001643	41.65	0.01408	0.002829	22.71	3.217	43.86	59.45	0.0201	197.113665	0.005642	62970000
16	4619.1	79.2	96.8	60.7	3818000000	59.49	2.95	0.01155	56.96	0.01233	57.3	0.0124	0.002271	59.95	0.01298	0.004005	27.99	4.159	54.43	93.45	0.02023	198.3885295	0.01066	76350000
17	5037.7	83.5	100.6	63.7	4109000000	69.35	2.99	0.01298	69.27	0.01375	68.4	0.01358	0.0028	72.45	0.01438	0.004888	27.15	5.494	52.47	116.6	0.02315	227.0239475	0.01271	82940000
18	3896.8	74.1	88.8	55.9	3992000000	52.9	3.44	0.01251	51.58	0.01324	51.9	0.01332	0.002018	54.35	0.01395	0.003586	17.18	1.982	32.57	61.8	0.01586	155.533469	0.004839	41430000
19	4807.6	79.1	89.5	68.4	3930000000	63.73	3.04	0.01228	61.07	0.0127	60.75	0.01264	0.002451	62.45	0.01299	0.004289	28.76	4.03	55.79	97.4	0.02026	198.682729	0.01159	79770000
20	7310.4	97.9	112.3	83	3560000000	88.03	2.89	0.01103	84.81	0.0116	85.3	0.01167	0.003406	90.35	0.01236	0.006009	23.37	4.772	45.64	118.8	0.01625	159.3580625	0.01224	55560000
21	4004.9	73.5	83.3	61.2	3899000000	53.11	3.44	0.01307	52.75	0.01317	51.7	0.01291	0.002098	53.9	0.01346	0.00366	27.13	3.596	52.59	82	0.02048	200.840192	0.009169	76390000
22	6007.5	88.9	101.3	75.5	3491000000	71.08	3.29	0.01246	75.47	0.01256	74.9	0.01247	0.003051	78.15	0.01301	0.005309	20.64	4.985	39.63	102.4	0.01704	167.105316	0.00913	50520000
23	4323.1	74.6	81.7	67.3	3892000000	56.9	2.85	0.01175	51.87	0.012	52.15	0.01206	0.00213	54.65	0.01264	0.003678	21.37	2.449	41.71	67.9	0.01571	154.0624715	0.006621	50820000
24	3310.3	66	72.5	58.1	3791000000	42.43	3.08	0.01291	44.23	0.01336	43.8	0.01323	0.001808	45.95	0.01388	0.003105	25.84	3.569	50.22	71.35	0.02155	211.3333075	0.007488	75030000
25	4882.4	81.9	94.1	66.1	3614000000	59.91	2.9	0.01184	58.7	0.01202	57.9	0.01186	0.002371	59.85	0.01226	0.004115	29.05	3.416	57.23	90.6	0.01856	182.011424	0.01122	76550000
																								
Min:	2129.5	52	55.4	43.7	3298000000	28.82	1.96	0.009549	26.69	0.01133	27.1	0.01129	0.001109	28.35	0.01154	0.001923	11.69	0.6324	21.17	35.45	0.01216	119.248864	0.003076	22720000
Max:	7310.4	97.9	120.7	83	4547000000	90	4.04	0.01413	84.81	0.01464	85.3	0.01475	0.003406	90.35	0.01556	0.006009	34.45	5.494	66.96	118.8	0.02315	227.0239475	0.01358	89960000
Median:	3942.8	72.7	0	60.2	3956000000	53.11	2.92	0.01227	49.46	0.01253	49.6	0.01244	0.002024	53.05	0.01304	0.003528	25.65	3.146	49.85	70.4	0.0185	181.423025	0.007754	67120000
Mean:	4087.9	73.9	85.5	60.2	3967000000	54.31	2.96	0.01227	51.46	0.01262	51.15	0.01253	0.002094	53.31	0.01315	0.003623	24.81	3.105	48.13	74.86	0.01835	179.9520275	0.008055	65330000
Std. Dev.:	1031.2	9.9	14.1	7.4	276200000	12.63	0.27	0.0006932	12.9	0.0006557	12.77	0.0006702	0.0005142	13.14	0.0007608	0.0008831	3.98	1.126	7.86	20.23	0.002069	20.28995885	0.002535	12980000
% Premature Failure:	0																							
																						186.6009362		
