Single Phase Analysis Version 11.0: Basic Format															
Source File: C:\Users\sunee\Desktop\Devora\20241126_DAN_IHNY_SDS_WAX7_phos_0.01_0.02_0.04.uvc															
Operator:															
Sample ID:	1000														
Bar Code:	1000														
File Comments:	New File														
Lower Area Filter:	5														
Upper Area Filter:	2000														
(*)Gauge Force Correction To Strain Axis:	NO														
(#)Compliance (mm/N):	0														
RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	EMOD	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
	sq. micron	mm	N/mm	Pascals	GPa	Joules	Joules	% Strain	MPa	% Strain	MPa	Joules	% Strain	N	MPa
51	4100.1	30.52	0.7026	5230000000	5.23	0.000000007358	0.003368	0.2621	19.86	0.8191	48.93	0.00002384	23.493	0.4945	120.6
52	2406.7	30.77	0.433	5536000000	5.536	0	0.005545	0.2925	26.9	0.845	58.09	0.00001743	52.616	0.467	194
53	3910	30.05	0.7596	5838000000	5.838	0.0000002551	0.006983	0.2329	18.32	0.8652	55.58	0.00002792	42.496	0.726	185.7
54	5308.4	30.65	0.9706	5604000000	5.604	0.0000004341	0.01078	0.2936	19.87	0.8809	52.4	0.00003451	49.788	0.9237	174
55	3767.8	30.17	0.6744	5400000000	5.4	-0.000000004905	0.009091	0.232	19.14	0.8286	51.69	0.00002429	56.248	0.7343	194.9
56					0										
57					0										
58	2013.9	30.28	0.3592	5400000000	5.4	0	0.00411	0.2642	26.55	0.8917	60.16	0.00001674	49.703	0.3674	182.4
59	3156.1	30.35	0.5822	5599000000	5.599	0	0.007877	0.2306	19.74	0.8237	52.69	0.00002068	55.717	0.6382	202.2
60	2164.1	30.86	0.3758	5359000000	5.359	0.0000000932	0.00564	0.2268	21.76	0.8101	53.04	0.00001498	60.693	0.4125	190.6
61	4447.8	30.63	0.7714	5312000000	5.312	0.0000003262	0.01024	0.2612	16.65	0.8488	47.64	0.00002579	55.991	0.8069	181.4
62	5744.1	30.28	0.9856	5195000000	5.195	0	0.01459	0.2312	16.91	0.8917	50.47	0.00003855	55.68	1.233	214.7
63	3989.8	30.63	0.6988	5365000000	5.365	0.0000005224	0.009767	0.2938	16.6	0.8815	47.95	0.00002298	54.326	0.8354	209.4
64	5636.1	30.04	0.9118	4860000000	4.86	0.0000002796	0.01237	0.233	13.84	0.8655	44.91	0.00003211	53.429	1.05	186.3
65	5914.6	30.08	1.021	5192000000	5.192	0.000000412	0.01101	0.266	15.84	0.8311	45.61	0.0000312	46.809	1.079	182.4
66	6549.9	30.43	1.12	5201000000	5.201	0	0.01593	0.23	15.05	0.8544	47.33	0.00003933	56.096	1.302	198.8
67	3451	30.26	0.5637	4943000000	4.943	0.00000006377	0.005192	0.2644	17.91	0.8592	47.76	0.00002049	38.83	0.5602	162.3
68	3303.8	30.55	0.5515	5100000000	5.1	-0.000000007358	0.005965	0.2619	19.3	0.8511	49	0.00002047	43.863	0.5965	180.5
69	5102.4	30.22	0.8852	5243000000	5.243	0	0.01179	0.2316	18.17	0.8273	49.41	0.00003051	53.077	1.033	202.4
70	2307.6	30.3	0.4388	5762000000	5.762	0	0.004398	0.264	25.72	0.8251	57.82	0.00001628	45.05	0.4405	190.9
71	6688.1	30.68	1.162	5329000000	5.329	0.00000002207	0.01203	0.2934	19.8	0.8149	47.16	0.00003638	44.492	1.166	174.4
72	4830.6	30.55	0.8612	5446000000	5.446	-0.00000003679	0.01101	0.2619	20.82	0.8183	50.57	0.00002944	53.748	0.9207	190.6
73	4800.5	30.45	0.7725	4900000000	4.9	0	0.00522	0.2299	19.52	0.8539	49.66	0.00003157	30.279	0.6627	138
74	4836.3	30.2	0.7876	4918000000	4.918	0.0000004905	0.01107	0.2318	10.35	0.8278	38.75	0.0000208	55.695	0.8785	181.7
75	2971.8	30.26	0.5938	6046000000	6.046	0	0.008424	0.2313	23.27	0.8592	61.4	0.00002379	55.981	0.7029	236.5
Note 1: Columns marked (*) are affected if gauge force correction is applied					0										
															
Note 2: Columns marked (#) are affected if the compliance factor is > 0															
