Single Phase Analysis Version 11.0: Basic Format															
Source File: C:\Users\sunee\Desktop\Devora\20241126_DAN_IHNY_SDS_WAX7_phos_0.01_0.02_0.04.uvc															
Operator:															
Sample ID:	1000														
Bar Code:	1000														
File Comments:	New File														
Lower Area Filter:	5														
Upper Area Filter:	2000														
(*)Gauge Force Correction To Strain Axis:	NO														
(#)Compliance (mm/N):	0														
RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	EMOD	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
	sq. micron	mm	N/mm	Pascals	GPa	Joules	Joules	% Strain	MPa	% Strain	MPa	Joules	% Strain	N	MPa
1	3506.9	29.97	0.3361	2872000000	2.872	0.0000006328	0.007232	0.2002	6.574	0.8008	24.06	0.000007434	48.549	0.6863	195.7
2	3659.9	30.12	0.6637	5462000000	5.462	0	0.007579	0.2324	19.84	0.8632	53.21	0.00002587	51.461	0.6612	180.7
3	4797.7	30.28	0.8589	5421000000	5.421	0.0000005052	0.009019	0.2642	17.99	0.8917	51.84	0.00003231	47.226	0.8329	173.6
4	2934.4	30.29	0.5544	5723000000	5.723	0.0000002379	0.005849	0.2311	19.22	0.8584	55.33	0.00002124	48.894	0.5249	178.9
5	2078.4	30.19	0.3509	5098000000	5.098	0	0.005058	0.265	26.67	0.8612	56.88	0.00001577	51.507	0.4586	220.7
6	3829.4	30.21	0.6965	5495000000	5.495	0.0000003875	0.005443	0.2317	17.55	0.8606	52.65	0.00002585	36.147	0.6215	162.3
7	4240.9	30.42	0.748	5365000000	5.365	0.00000002207	0.009227	0.263	19.89	0.8547	51.82	0.00002797	52.465	0.7893	186.1
8	2615.3	30.4	0.4694	5456000000	5.456	0.00000003679	0.00655	0.2632	24.01	0.8553	56.46	0.00001928	58.75	0.4984	190.6
9	4104	30.06	0.7206	5278000000	5.278	0.00000001226	0.006617	0.2329	17.93	0.8317	50.92	0.00002518	41.683	0.6882	167.7
10	3711.2	30.17	0.6058	4925000000	4.925	0.0000002992	0.008314	0.232	14.28	0.8286	44.15	0.00001945	50.05	0.7711	207.8
11	3378.9	30.33	0.6329	5681000000	5.681	0.0000001006	0.009189	0.2308	19.16	0.8902	56.47	0.00002604	60.798	0.6858	203
12	3630.8	30.24	0.6514	5425000000	5.425	0.0000002453	0.007291	0.2646	17.29	0.8598	49.58	0.00002237	45.668	0.7255	199.8
13	5945.5	30.31	0.9515	4851000000	4.851	0.0000003287	0.01247	0.2309	15.26	0.8578	45.71	0.00003478	48.994	1.192	200.5
14	6161.4	30.31	1.095	5387000000	5.387	0.00000008094	0.01463	0.2309	15.6	0.8578	49.68	0.00003861	55.922	1.212	196.7
15	2262.7	30.32	0.3636	4872000000	4.872	0.00000002943	0.005296	0.2639	22.76	0.8245	50.29	0.00001399	55.673	0.439	194
16	4498.4	30.36	0.7741	5224000000	5.224	0.0000002919	0.008154	0.2964	18.76	0.8564	47.98	0.00002547	47.596	0.7422	165
17	3046.7	30.2	0.5107	5063000000	5.063	0.0000002109	0.006996	0.2649	18.68	0.8278	47.17	0.00001733	55.132	0.5607	184
18					0										
19	4633.8	30.06	0.8122	5269000000	5.269	0.00000008584	0.009252	0.2329	16.73	0.8649	49.75	0.00002918	46.341	0.9016	194.6
20	3060.1	30.16	0.5455	5377000000	5.377	0.0000001349	0.005319	0.2653	23.08	0.8621	55.62	0.00002177	41.412	0.5587	182.6
21	3413.4	30.83	0.645	5826000000	5.826	0	0.008219	0.2919	25.44	0.8758	59.35	0.00002588	51.768	0.7113	208.4
22	4000.1	30.27	0.6534	4944000000	4.944	0.00000004415	0.008108	0.2643	17.9	0.8259	45.5	0.00002139	50.149	0.7172	179.3
23	3473.1	30.45	0.5722	5017000000	5.017	0.000000007358	0.008311	0.2627	19.91	0.8867	51.55	0.00002414	54.45	0.6917	199.1
24	3091.4	30.17	0.5327	5198000000	5.198	0.00000006867	0.008708	0.232	17.93	0.8286	49.19	0.00001872	66.888	0.6034	195.2
25	3329.4	30.4	0.5698	5202000000	5.202	0	0.005354	0.2303	17.97	0.8224	48.77	0.00001987	38.388	0.6019	180.8
Note 1: Columns marked (*) are affected if gauge force correction is applied					0										
													50.15866667		
Note 2: Columns marked (#) are affected if the compliance factor is > 0															
