Three Phase Analysis Version 6.0																								
Source File: C:\Users\sunee\Desktop\Devora\20241126_DAN_IHNY_SDS_WAX7_phos_0.01_0.02_0.04.uvc																								
RECORD	CROSS-SECTIONAL AREA	MEAN DIAMETER	MAX DIAMETER	MIN DIAMETER	ELASTIC EMOD	ELASTIC GRADIENT	ELASTIC EXT	ELASTIC STRESS	PLATEAU LOAD	PLATEAU STRESS	LOAD 15%	STRESS 15%	WORK 15%	LOAD 25%	STRESS 25%	WORK 25%	YIELD EXT	POSTYIELD GRADIENT	BREAK EXT	BREAK LOAD	BREAK STRESS	Break Stress	TOTAL WORK	TOUGHNESS
																								
	sq. microns	Microns	Microns	Microns	Pascals	gmf/mm	% Strain	gmf/sq micron	gmf	gmf/sq micron	gmf	gmf/sq micron	Joules	gmf	gmf/sq micron	Joules	% Strain	gmf/mm	% Strain	gmf	gmf/sq micron	MPa	Joules	Joules/m3
51	4100.1	74.8	82.3	63.4	3808000000	52.14	2.65	0.01184	50.54	0.01233	49.8	0.01215	0.002108				12.58	0.09857	23.49	50.4	0.01229	120.5237285	0.003368	26910000
52	2406.7	55.8	61	50.3	4365000000	34.8	2.63	0.01251	31.16	0.01295	31	0.01288	0.001308	32	0.0133	0.002259	27.23	2.064	52.62	47.6	0.01978	193.975537	0.005545	74870000
53	3910	72.9	86.9	57.4	4284000000	56.82	2.9	0.01311	52.52	0.01343	52.15	0.01334	0.002163	53.85	0.01377	0.003697	21.73	3.81	42.5	74	0.01893	185.6398845	0.006983	59440000
54	5308.4	88.1	108.4	62.4	4047000000	71.44	2.9	0.01258	66.82	0.01259	66.05	0.01244	0.002808	68.45	0.01289	0.004796	26.04	3.886	49.79	94.15	0.01774	173.969971	0.01078	66250000
55	3767.8	70.9	80.4	59.7	3956000000	50.36	2.85	0.01233	47.63	0.01264	46.8	0.01242	0.001932	49.2	0.01306	0.003355	28.77	3.04	56.25	74.85	0.01987	194.8581355	0.009091	79970000
56																								
57																								
58	2013.9	50.6	54	47.5	3998000000	27.1	2.84	0.01249	25.48	0.01265	25.25	0.01254	0.001051	26.3	0.01306	0.001815	25.63	1.719	49.7	37.45	0.0186	182.40369	0.00411	67400000
59	3156.1	66.8	80.6	49.8	4367000000	46.29	2.73	0.01253	41.9	0.01328	40.75	0.01291	0.001677	44.55	0.01412	0.002964	28.6	2.622	55.72	65.05	0.02061	202.1150565	0.007877	82240000
60	2164.1	52.5	54.8	50.3	4242000000	30.32	2.46	0.01164	26.59	0.01229	25.95	0.01199	0.001102	27.5	0.01271	0.001908	31.21	1.427	60.69	42.05	0.01943	190.5432095	0.00564	84460000
61	4447.8	77.2	87.8	64.5	3849000000	56.98	2.97	0.01216	54.67	0.01229	54.1	0.01216	0.002256	55.75	0.01253	0.003909	29.12	3.144	55.99	82.25	0.01849	181.3249585	0.01024	75190000
62	5744.1	87.3	100	73.2	3674000000	71.04	3.1	0.01224	74.45	0.01296	72.75	0.01267	0.002964	78.1	0.0136	0.005192	28.7	5.275	55.68	125.7	0.02188	214.569502	0.01459	83890000
63	3989.8	71.8	81	62.8	4065000000	53.98	3	0.01244	51.39	0.01288	49.9	0.01251	0.002089	54.1	0.01356	0.003656	28.24	3.722	54.33	85.15	0.02134	209.273911	0.009767	79920000
64	5636.1	85.5	93.8	76.5	3878000000	74.17	3.06	0.01214	70.18	0.01245	69.5	0.01233	0.002849	72.05	0.01278	0.004899	27.4	4.63	53.43	107.1	0.01899	186.2282835	0.01237	73050000
65	5914.6	87.8	93.9	80.2	3497000000	70.09	3.06	0.01175	71.94	0.01216	71.3	0.01205	0.002886	76.2	0.01288	0.005065	24.14	5.435	46.81	110	0.01859	182.3056235	0.01101	61880000
66	6549.9	93	105.6	79.4	3935000000	86.33	2.99	0.01231	82	0.01252	79.55	0.01215	0.003359	83.45	0.01274	0.005777	29.05	5.354	56.1	132.8	0.02027	198.7807955	0.01593	79930000
67	3451	71	87.4	50.3	3912000000	45.48	3.27	0.01316	44.6	0.01292	43.65	0.01265	0.001835	45.4	0.01316	0.003156	20.52	2.367	38.83	57.1	0.01655	162.3000575	0.005192	49720000
68	3303.8	67.4	80.6	52.1	3973000000	43.79	2.85	0.01221	41.64	0.0126	41.4	0.01253	0.001706	46.7	0.01414	0.00301	22.82	2.571	43.86	60.8	0.0184	180.44236	0.005965	59100000
69	5102.4	84.4	100.4	64.7	4018000000	69.14	2.91	0.01205	64.65	0.01267	63.5	0.01245	0.002619	67.35	0.0132	0.004558	27.23	4.664	53.08	105.3	0.02063	202.3111895	0.01179	76480000
70	2307.6	56.1	64.9	45.2	3934000000	30.54	2.67	0.01242	29.95	0.01298	29.95	0.01298	0.001242	31.9	0.01382	0.002141	23.07	2.235	45.05	44.9	0.01946	190.837409	0.004398	62900000
71	6688.1	98	116.5	73	3996000000	88.8	2.8	0.01192	83.01	0.01241	83.3	0.01245	0.003392	91.2	0.01364	0.006027	23.24	4.837	44.49	118.9	0.01778	174.362237	0.01203	58640000
72	4830.6	83.3	99.2	62	3875000000	62.46	2.85	0.01223	60.43	0.01251	60.4	0.0125	0.002538	61.3	0.01269	0.004324	27.79	4.025	53.75	93.85	0.01943	190.5432095	0.01101	74580000
73	4800.5	80.2	91.8	66.8	3352000000	53.86	3.15	0.01183	58.79	0.01225	58.75	0.01224	0.002444	61.65	0.01284	0.004229	16.29	1.672	30.28	67.55	0.01407	137.9795655	0.00522	35710000
74	4836.3	83	99.2	62.1	3929000000	64.14	2.98	0.01222	60.93	0.0126	60.1	0.01243	0.002474	61.75	0.01277	0.004252	28.64	3.447	55.7	89.55	0.01852	181.619158	0.01107	75810000
75	2971.8	63.8	70.2	53.9	4650000000	46.55	2.91	0.01402	42.9	0.01444	42.45	0.01428	0.001747	43.95	0.01479	0.003029	28.78	2.958	55.98	71.65	0.02411	236.4383315	0.008424	93670000
																								
Min:	1561.3	45	51.7	38.5	0	20.03	2.46	0	20.84	0	20.55	0	0.0008767	21.45	0	0.001506	11.54	0.09857	21.99	34.05	0		0.003368	24470000
Max:	6688.1	98	116.5	80.2	4890000000	88.8	4.3	0.01521	83.01	0.01539	83.3	0.01509	0.003392	91.2	0.01574	0.006027	34.01	6.132	66.89	132.8	0.0249	244.185585	0.01593	1.#IOe+000
Median:	3896.1	72.9	83.5	59.7	3959000000	51.8	2.91	0.01244	50.29	0.01268	0	0.01257	0.002056	51.7	0.01318	0.003548	26.41	3.17	51.46	73.1	0.01939	190.1509435	0.008311	71520000
Mean:	4061.3	73.4	84.7	60	3920000000	53.14	2.95	0.01228	51.29	0.01263	50.85	0.01252	0.002092	53.21	0.01313	0.003625	25.83	3.27	50.02	76.99	0.01898	186.130217	0.008479	1.#IOe+000
Std. Dev.:	1184.3	11.3	14.6	9	492800000	14.2	0.24	0.001396	14.64	0.001411	14.58	0.001397	0.000585	15.42	0.001493	0.001034	3.57	1.175	7.08	23.17	0.002745	26.91925425	0.002866	-1.#IOe+000
% Premature Failure:	0																					0		
