Single Phase Analysis Version 11.0: Basic Format															
Source File: D:\20241125_DAN_SDS_CYPS_phos_0.01_0.03_0.05.uvc															
Operator:															
Sample ID:	1000														
Bar Code:	1000														
File Comments:	New File														
Lower Area Filter:	5														
Upper Area Filter:	2000														
(*)Gauge Force Correction To Strain Axis:	NO														
(#)Compliance (mm/N):	0														
RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	EMOD	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
	sq. micron	mm	N/mm	Pascals	GPa	Joules	Joules	% Strain	MPa	% Strain	MPa	Joules	% Strain	N	MPa
26	4397.6	30.33	0.7704	5313000000	5.313	0.000000233	0.008349	0.2308	17.74	0.8902	52.87	0.00003165	45.401	0.8501	193.3
27	2531.5	30.35	0.4237	5080000000	5.08	0.00000003679	0.005799	0.2306	18.99	0.8237	48.64	0.00001569	52.982	0.4871	192.4
28	5444.7	30.47	0.9187	5141000000	5.141	0	0.009497	0.2626	20.09	0.8861	52.61	0.0000384	43.19	0.9776	179.6
29	2901.3	30.53	0.517	5440000000	5.44	0	0.007692	0.2293	22.82	0.8844	57.82	0.00002345	60.17	0.5764	198.7
30	2881.5	30.02	0.5309	5531000000	5.531	0.0000001055	0.007472	0.2332	20.6	0.8328	53.97	0.00001946	58.195	0.5857	203.3
31	3191.6	30.4	0.5568	5303000000	5.303	0	0.006213	0.2303	18.9	0.8224	49.8	0.00001981	47.928	0.5788	181.4
32	4153.2	30.27	0.7029	5123000000	5.123	0	0.007762	0.2643	18.66	0.8259	47.83	0.00002357	47.836	0.7108	171.1
33	4805.5	30.32	0.8573	5409000000	5.409	0.0000001594	0.01114	0.2639	17.97	0.8245	49	0.00002748	54.518	0.933	194.2
34															
35	5142.5	30.4	0.9602	5676000000	5.676	0.0000001202	0.01054	0.2303	16.6	0.8224	49.7	0.0000311	49.309	0.9394	182.7
36	3930.7	30.5	0.7212	5596000000	5.596	0	0.0102	0.2623	22.59	0.8852	58.28	0.00003091	55.705	0.8261	210.2
37	2182.6	30.26	0.4098	5681000000	5.681	0	0.004198	0.2313	22.02	0.8592	57.08	0.00001619	42.3	0.4395	201.4
38	5613.6	30.65	1.034	5647000000	5.647	0.0000006917	0.01263	0.2936	19.05	0.8809	52.08	0.00003564	53.214	1.039	185.2
39	4260.4	30.52	0.6986	5005000000	5.005	0	0.01184	0.2621	21.65	0.8191	50.2	0.00002643	62.09	0.8687	203.9
40	5077.4	30.11	0.8557	5075000000	5.075	-0.000000004905	0.01129	0.2325	15.07	0.8635	46.76	0.00002968	55.563	0.934	183.9
41	3954.5	30.35	0.6712	5151000000	5.151	0	0.009492	0.2306	19.47	0.8237	49.49	0.00002512	50.313	0.9041	228.6
42	4601.4	29.97	0.697	4540000000	4.54	0.000007679	0.0108	1.268	7.356	1.768	29.53	0.00001258	56.49	0.8947	194.4
43	1888.1	30.5	0.3135	5063000000	5.063	0	0.003433	0.2295	24.42	0.8852	57.42	0.00001546	46.328	0.311	164.7
44	3008.9	30.52	0.5406	5483000000	5.483	0	0.005382	0.2621	23.15	0.8191	54.29	0.00002002	45.249	0.4989	165.8
45	3303.6	30.5	0.6033	5570000000	5.57	0	0.008007	0.2295	23.16	0.8852	59.24	0.00002721	55.508	0.6392	193.5
46															
47	3800.1	30.17	0.6874	5458000000	5.458	-0.00000001472	0.01027	0.232	18.33	0.8286	50.6	0.00002404	60.491	0.7799	205.2
48	2914.1	30.13	0.5442	5626000000	5.626	0	0.007225	0.2323	23.06	0.8961	59.25	0.00002445	53.535	0.6146	210.9
49	3640.6	30.47	0.6546	5479000000	5.479	0	0.008075	0.2626	24.25	0.8861	59.02	0.00002907	51.067	0.6951	190.9
50	7004.9	30.35	1.23	5329000000	5.329	0.0000003532	0.009656	0.2306	15.76	0.8237	47.2	0.0000403	38.023	1.032	147.3
Note 1: Columns marked (*) are affected if gauge force correction is applied															
															
Note 2: Columns marked (#) are affected if the compliance factor is > 0															
