Single Phase Analysis Version 11.0: Basic Format															
Source File: D:\20241125_DAN_SDS_CYPS_phos_0.01_0.03_0.05.uvc															
Operator:															
Sample ID:	1000														
Bar Code:	1000														
File Comments:	New File														
Lower Area Filter:	5														
Upper Area Filter:	2000														
(*)Gauge Force Correction To Strain Axis:	NO														
(#)Compliance (mm/N):	0														
RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	EMOD	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
	sq. micron	mm	N/mm	Pascals	GPa	Joules	Joules	% Strain	MPa	% Strain	MPa	Joules	% Strain	N	MPa
76	6105.3	30.07	1.116	5494000000	5.494	0	0.01732	0.2328	17.44	0.8646	51.5	0.0000396	60.825	1.336	218.8
77	3689	30.2	0.5889	4821000000	4.821	9.811E-09	0.005238	0.2649	19.41	0.8278	47.07	0.00002144	40.662	0.5067	137.4
78	3877.1	30.19	0.7642	5951000000	5.951	0	0.007223	0.2319	20.75	0.8612	58.45	0.00002949	42.994	0.7289	188
79	2264.3	30.32	0.4273	5722000000	5.722	-9.811E-09	0.005178	0.2639	24.26	0.8245	56.54	0.00001539	50.858	0.4449	196.5
80	3180.5	30.1	0.5389	5100000000	5.1	0	0.007317	0.2326	19.12	0.8306	49.35	0.00001955	55.05	0.5901	185.5
81	3546.2	30.11	0.6096	5176000000	5.176	0	0.008262	0.2657	22.13	0.8967	54.22	0.0000262	50.149	0.728	205.3
82	4181.6	30.12	0.7125	5132000000	5.132	1.643E-07	0.003228	0.2324	16.89	0.8632	49.27	0.00002678	21.448	0.5528	132.2
83	4203.6	30.07	0.8434	6033000000	6.033	0	0.008281	0.2328	21.47	0.8646	59.4	0.00003186	43.964	0.7981	189.9
84	2849	30.12	0.5057	5346000000	5.346	0	0.004207	0.2324	20.32	0.8632	54.24	0.00002038	36.155	0.4493	157.7
85	4151.9	30.24	0.7175	5226000000	5.226	0	0.006882	0.2315	20.79	0.8598	52.34	0.00002865	42.163	0.7103	171.1
86	2610.4	29.97	0.5273	6054000000	6.054	0.000002355	0.005023	0.4338	9.208	1.435	66.33	0.00002838	43.243	0.5057	193.7
87															
88	5647.5	30.12	1.016	5417000000	5.417	0	0.0107	0.2324	16.5	0.8632	50.12	0.00003653	44.489	1.064	188.5
89	3827.3	30.26	0.7535	5957000000	5.957	0	0.008716	0.2313	23.45	0.8592	59.73	0.00002988	51.157	0.7461	194.9
90	3321.7	30.12	0.605	5486000000	5.486	4.66E-08	0.00829	0.2324	19.64	0.8632	54.05	0.00002344	51.096	0.7471	224.9
91	5207.8	30.02	0.9106	5249000000	5.249	0.000000103	0.01023	0.2332	14.88	0.8661	47.94	0.00003161	46.536	1.004	192.8
92	6937.5	30.19	1.26	5482000000	5.482	0.000000233	0.01258	0.2319	16.97	0.8612	51.4	0.00004564	44.551	1.23	177.3
93	4363.2	30.47	0.7464	5212000000	5.212	3.753E-07	0.01031	0.2626	18.1	0.8861	50.93	0.00002889	52.609	0.8908	204.2
94	3021.6	30.42	0.548	5517000000	5.517	-2.207E-08	0.006467	0.2301	19.64	0.8547	53.57	0.00002073	47.107	0.6171	204.2
95	3336.1	30.47	0.6202	5665000000	5.665	3.679E-08	0.007756	0.2626	21.76	0.8861	57.34	0.00002537	54.119	0.6352	190.4
96															
97	3358.4	30.68	0.6053	5530000000	5.53	0	0.007348	0.2934	25.71	0.9126	59.15	0.00002755	48.305	0.6848	203.9
98	5150.9	30.02	0.7794	4542000000	4.542	1.349E-07	0.01149	0.2332	14.09	0.8661	43.04	0.000028	51.366	1.012	196.6
99	4605	30.32	0.7498	4937000000	4.937	0	0.007394	0.2639	17.68	0.8575	46.87	0.00002688	41.623	0.7358	159.8
100	4858	30.45	0.7799	4889000000	4.889	0.00000013	0.009827	0.2299	16.66	0.8539	46.75	0.00002942	46.568	0.9369	192.9
Note 1: Columns marked (*) are affected if gauge force correction is applied															192.8
															
Note 2: Columns marked (#) are affected if the compliance factor is > 0															
