Single Phase Analysis Version 11.0: Basic Format															
Source File: D:\20241125_DAN_SDS_CYPS_phos_0.01_0.03_0.05.uvc															
Operator:															
Sample ID:	1000														
Bar Code:	1000														
File Comments:	New File														
Lower Area Filter:	5														
Upper Area Filter:	2000														
(*)Gauge Force Correction To Strain Axis:	NO														
(#)Compliance (mm/N):	0														
RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	EMOD	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
	sq. micron	mm	N/mm	Pascals	GPa	Joules	Joules	% Strain	MPa	% Strain	MPa	Joules	% Strain	N	MPa
1	4933	30.17	0.8799	5381000000	5.381	4.415E-08	0.01144	0.232	18	0.8286	50.81	0.00003148	51.011	1.058	214.4
2	4892	30.24	0.8355	5164000000	5.164	1.766E-07	0.01066	0.2315	16.54	0.8267	47.23	0.00002826	52.216	0.9055	185.1
3	5743.5	30.08	0.9509	4980000000	4.98	0.000000623	0.01565	0.266	15.71	0.8311	44.58	0.00002956	60.206	1.222	212.8
4	4965.6	30.2	0.7788	4737000000	4.737	-4.905E-09	0.01016	0.2318	16	0.894	47.42	0.00003185	47.98	0.9433	190
5	3133.1	30.38	0.528	5120000000	5.12	1.643E-07	0.008149	0.2304	17.85	0.8229	48.38	0.00001901	56.912	0.6514	207.9
6	2855.7	30.35	0.4973	5285000000	5.285	0	0.006734	0.2306	19.75	0.8237	50.85	0.0000184	53.18	0.5881	206
7	3534	30.35	0.6757	5803000000	5.803	-7.358E-09	0.00934	0.2306	19.85	0.8237	54.27	0.00002375	56.079	0.7672	217.1
8	2478.4	30.33	0.4604	5634000000	5.634	1.668E-07	0.003639	0.2308	21.97	0.8902	59.18	0.00002049	36.762	0.413	166.7
9	3963.6	30.01	0.724	5482000000	5.482	0	0.008952	0.2333	19.31	0.8331	50.99	0.00002492	51.083	0.8099	204.3
10	3653.3	30.47	0.6456	5384000000	5.384	0	0.01056	0.2626	23.77	0.8861	56.66	0.00002818	58.91	0.8378	229.3
11	4107.2	30.13	0.6759	4958000000	4.958	0	0.01089	0.2323	18.03	0.8961	50.16	0.00002851	58.181	0.8731	212.6
12	3990.4	30.27	0.7316	5550000000	5.55	0	0.008798	0.2643	21.27	0.8259	52.49	0.00002519	49.356	0.8207	205.7
13															
14	6109.8	30.36	1.046	5195000000	5.195	2.943E-08	0.01327	0.2964	19.03	0.8893	49.86	0.00003861	54.15	1.085	177.5
15	2028.1	29.97	0.362	5350000000	5.35	0.000005271	0.005539	1.134	19.59	1.935	62.4	0.00002003	59.226	0.4371	215.5
16	5192.2	30.42	0.8312	4870000000	4.87	6.009E-07	0.01072	0.263	13.89	0.8547	42.99	0.00002694	49.408	0.9781	188.4
17	2591.6	30.35	0.5264	6165000000	6.165	3.679E-08	0.006077	0.2306	21.39	0.8237	57.73	0.00001879	50.115	0.5509	212.6
18	3509.5	30.07	0.6441	5518000000	5.518	0.000004368	0.008711	0.8646	6.709	1.663	49.76	0.00002271	55.77	0.7123	202.9
19	5016.3	30.27	0.8329	5026000000	5.026	0	0.01136	0.2643	19.66	0.8259	47.43	0.00002904	51.867	1.011	201.6
20	3595.9	30.52	0.5744	4875000000	4.875	2.821E-07	0.00891	0.2621	20.05	0.8191	47.61	0.00002117	50.426	0.8182	227.5
21	2695.2	30.44	0.5026	5676000000	5.676	0	0.008012	0.2628	26.21	0.887	61.52	0.00002263	59.067	0.6377	236.6
22	2751.5	30.52	0.5225	5796000000	5.796	2.281E-07	0.005247	0.2621	19.43	0.8191	50.81	0.00001622	45.708	0.4842	176
23	3286.1	30.25	0.5474	5039000000	5.039	0	0.00801	0.2645	23.14	0.8264	51.2	0.00002102	54.876	0.6706	204.1
24	2890.7	30.25	0.5628	5889000000	5.889	0	0.007318	0.2645	26.64	0.8926	63.47	0.00002496	52.727	0.6333	219.1
25	5685.9	30.25	0.9687	5153000000	5.153	5.396E-08	0.01464	0.2645	17.94	0.8264	46.5	0.00003109	54.876	1.233	216.9
Note 1: Columns marked (*) are affected if gauge force correction is applied															206.95
															
Note 2: Columns marked (#) are affected if the compliance factor is > 0															
