Three Phase Analysis Version 6.0																								
Source File: D:\20241125_DAN_SDS_CYPS_phos_0.01_0.03_0.05.uvc																								
RECORD	CROSS-SECTIONAL AREA	MEAN DIAMETER	MAX DIAMETER	MIN DIAMETER	ELASTIC EMOD	ELASTIC GRADIENT	ELASTIC EXT	ELASTIC STRESS	PLATEAU LOAD	PLATEAU STRESS	LOAD 15%	STRESS 15%	WORK 15%	LOAD 25%	STRESS 25%	WORK 25%	YIELD EXT	POSTYIELD GRADIENT	BREAK EXT	BREAK LOAD	BREAK STRESS	Break Stress	TOTAL WORK	TOUGHNESS
																								
	sq. microns	Microns	Microns	Microns	Pascals	gmf/mm	% Strain	gmf/sq micron	gmf	gmf/sq micron	gmf	gmf/sq micron	Joules	gmf	gmf/sq micron	Joules	% Strain	gmf/mm	% Strain	gmf	gmf/sq micron	MPa	Joules	Joules/m3
26	4397.6	75.1	82.5	68	3552000000	52.49	2.9	0.01179	55	0.01251	54.3	0.01235	0.002233	59.45	0.01352	0.003918	23.48	4.6	45.4	86.65	0.0197	193.191005	0.008349	62600000
27	2531.5	59.9	68.8	46.9	3786000000	32.19	3.1	0.01292	33.2	0.01312	32.5	0.01284	0.001361	34.25	0.01353	0.002352	27.45	2.053	52.98	49.65	0.01961	192.3084065	0.005799	75480000
28	5444.7	83.8	91.7	75.6	4011000000	73.05	2.82	0.01177	67.85	0.01246	68.5	0.01258	0.002783	71.8	0.01319	0.004859	22.55	5.016	43.19	99.65	0.0183	179.461695	0.009497	57250000
29	2901.3	61.4	64.7	57.1	3748000000	36.31	2.78	0.01222	36.82	0.01269	35.9	0.01237	0.001521	37.35	0.01287	0.002626	30.95	2.103	60.17	58.75	0.02025	198.5846625	0.007692	86840000
30	2881.5	65.4	81.3	45.1	3937000000	38.52	3	0.01294	37.91	0.01316	37.7	0.01308	0.001518	38.85	0.01348	0.002656	29.61	2.235	58.19	59.7	0.02072	203.193788	0.007472	86380000
31	3191.6	65.3	73.3	55.4	3621000000	38.75	2.93	0.01195	39.21	0.01229	38.5	0.01206	0.001615	41.3	0.01294	0.002802	24.93	2.743	47.93	59	0.01849	181.3249585	0.006213	64030000
32	4153.2	77.9	97.8	54.1	4047000000	56.61	2.74	0.01144	50.27	0.0121	50.3	0.01211	0.002035	52.9	0.01274	0.003581	24.48	3.134	47.84	72.45	0.01744	171.027976	0.007762	61740000
33	4805.5	78.8	88.7	68.9	3999000000	64.6	2.84	0.01172	59.9	0.01247	59.35	0.01235	0.002429	62.2	0.01294	0.004228	27.94	3.912	54.52	95.1	0.01979	194.0736035	0.01114	76450000
34																								
35	5142.5	85.4	97.4	67.2	3984000000	68.7	2.93	0.01238	65.62	0.01276	64.7	0.01258	0.002709	67.7	0.01316	0.00468	25.49	4.147	49.31	95.75	0.01862	182.599823	0.01054	67410000
36	3930.7	72.8	79.8	62.7	4223000000	55.48	2.85	0.01304	53.41	0.01359	52.55	0.01337	0.002205	55.1	0.01402	0.003794	28.72	3.383	55.7	84.2	0.02142	210.058443	0.0102	85080000
37	2182.6	53.9	61.3	45.4	4242000000	31.19	2.94	0.01356	31.15	0.01427	31.1	0.01425	0.001281	33.2	0.01521	0.002231	21.88	2.209	42.3	44.8	0.02053	201.3305245	0.004198	63560000
38	5613.6	93	112.9	63.4	3860000000	72.06	2.9	0.01233	71	0.01265	69.8	0.01243	0.002965	73.1	0.01302	0.00507	27.7	4.196	53.21	106	0.01887	185.0514855	0.01263	73390000
39	4260.4	76.1	90.1	60.1	3919000000	55.76	2.92	0.01211	54.07	0.01269	51.9	0.01218	0.002171	56.1	0.01317	0.003775	32.08	2.985	62.09	88.55	0.02078	203.782187	0.01184	91070000
40	5077.4	81.5	91.8	70.5	3685000000	63.34	2.79	0.01105	59.95	0.01181	58.9	0.0116	0.002414	62.35	0.01228	0.004202	28.26	3.709	55.56	95.2	0.01875	183.8746875	0.01129	73830000
41	3954.5	72.7	86.2	58.4	3868000000	51.37	2.7	0.01182	53.39	0.0135	52.9	0.01338	0.002133	59.65	0.01508	0.003793	25.9	4.573	50.31	92.15	0.0233	228.494945	0.009492	79080000
42	4601.4	77.7	83.8	69.8	3664000000	57.33	4.14	0.01158	58.39	0.01269	58.75	0.01277	0.002076	60.7	0.01319	0.003856	29.63	3.693	56.49	91.2	0.01982	194.367803	0.0108	78340000
43	1888.1	50.7	56.7	42.4	4482000000	28.28	2.33	0.01163	23.35	0.01237	23.2	0.01229	0.0009763	24.5	0.01298	0.001686	23.77	1.12	46.33	31.7	0.01679	164.6536535	0.003433	59620000
44	3008.9	66.9	78.9	48.7	4392000000	44.13	2.65	0.01231	37.75	0.01255	37.85	0.01258	0.001576	38.75	0.01288	0.002711	23.46	2.062	45.25	50.85	0.0169	165.732385	0.005382	58610000
45	3303.6	67.4	78.4	53.7	4549000000	50.22	2.46	0.01196	42.43	0.01284	41.9	0.01268	0.001744	44.7	0.01353	0.003027	28.33	2.491	55.51	65.15	0.01972	193.387138	0.008007	79470000
46																								
47	3800.1	71.1	82.4	58.7	3902000000	50.1	2.85	0.0121	48.59	0.01279	47.45	0.01249	0.00196	49.8	0.0131	0.003392	30.92	2.805	60.49	79.5	0.02092	205.155118	0.01027	89570000
48	2914.1	62.8	70.1	52.9	4092000000	40.34	2.85	0.01321	39.95	0.01371	39.15	0.01343	0.001623	41.4	0.01421	0.002807	27.41	2.601	53.53	62.65	0.0215	210.842975	0.007225	82280000
49	3640.6	73.2	89.8	51.6	4320000000	52.61	2.82	0.0129	47.9	0.01316	46.95	0.0129	0.001973	49.5	0.0136	0.003419	26.39	2.971	51.07	70.85	0.01946	190.837409	0.008075	72800000
50	7004.9	97.6	112.3	79.4	3785000000	89.04	2.83	0.01176	84.02	0.01199	83.9	0.01198	0.003477	88.05	0.01257	0.006041	19.74	3.212	38.02	105.2	0.01501	147.1978165	0.009656	45420000
																								
Min:	1787.6	48.4	51.6	40.9	3398000000	26.55	2.15	0.01055	23.35	0.01131	23.2	0.01151	0.0009763	24.5	0.01216	0.001686	11.19	0.7456	21.45	31.7	0.01348	132.193642	0.003228	25630000
Max:	7004.9	99.6	119.8	79.4	5162000000	98.53	4.14	0.01473	89.24	0.01484	88.6	0.0152	0.003672	93.05	0.01543	0.006317	32.32	5.743	63.32	136.2	0.02412	236.536398	0.01732	98660000
Median:	3697.4	72.7	83.8	56.9	4103000000	52.56	2.86	0.01268	49.99	0.01324	49.2	0.01308	0.002035	51.78	0.01369	0.003534	26.27	3.161	51.08	76.05	0.02004	196.525266	0.00829	75230000
Mean:	3914.4	73.1	85.3	57.6	4122000000	53.84	2.92	0.01268	51.54	0.01324	51.08	0.01312	0.00209	53.68	0.01379	0.003637	25.99	3.223	50.49	77.44	0.01987	194.8581355	0.008631	73260000
Std. Dev.:	1144.9	11.4	15.6	8.7	327100000	14.5	0.31	0.0007685	14.3	0.0006703	14.27	0.0006981	0.0005775	15.04	0.0007327	0.001012	3.43	1.101	6.72	22.53	0.002025	19.85846625	0.002783	12920000
% Premature Failure:	0																							
																								
	3940.447826	72.62608696	83.50869565	58.95652174	3985565217	52.28130435	2.872608696	0.01219521739	50.04913043	0.01279	49.48043478	0.01263695652	0.00203383913	52.29130435	0.01335695652	0.00354373913	26.56826087	3.128391304	51.53869565	75.85652174	0.01942130435	190.4579343	0.008563565217	72621739.13
	1228.790518	11.48133732	14.26600897	10.19892267	275803755.3	15.15834883	0.3216465789	0.0006346643319	14.44728975	0.0005825804665	14.43557584	0.0005800974431	0.0005908727249	15.20853268	0.0007120357166	0.001027410258	3.182717038	0.9848793991	6.314715357	21.02744583	0.001805809575	17.70894247	0.002453364625	11979672.42
																								
								0.01219521739			0.01255705873			0.01327039632										
