Three Phase Analysis Version 6.0																								
Source File: D:\20241125_DAN_SDS_CYPS_phos_0.01_0.03_0.05.uvc																								
RECORD	CROSS-SECTIONAL AREA	MEAN DIAMETER	MAX DIAMETER	MIN DIAMETER	ELASTIC EMOD	ELASTIC GRADIENT	ELASTIC EXT	ELASTIC STRESS	PLATEAU LOAD	PLATEAU STRESS	LOAD 15%	STRESS 15%	WORK 15%	LOAD 25%	STRESS 25%	WORK 25%	YIELD EXT	POSTYIELD GRADIENT	BREAK EXT	BREAK LOAD	BREAK STRESS	Break Stress	TOTAL WORK	TOUGHNESS
																								
	sq. microns	Microns	Microns	Microns	Pascals	gmf/mm	% Strain	gmf/sq micron	gmf	gmf/sq micron	gmf	gmf/sq micron	Joules	gmf	gmf/sq micron	Joules	% Strain	gmf/mm	% Strain	gmf	gmf/sq micron	MPa	Joules	Joules/m3
1	4933	83.5	98.9	63.5	4086000000	68.1	2.82	0.01223	64.84	0.01314	64.5	0.01308	0.002608	69.2	0.01403	0.004575	26.09	5.138	51.01	107.8	0.02185	214.2753025	0.01144	76880000
2	4892	83.9	102.3	61	4131000000	68.11	2.84	0.01226	62.12	0.0127	61.9	0.01265	0.002522	65.35	0.01336	0.00437	26.75	3.776	52.22	92.3	0.01887	185.0514855	0.01066	72040000
3	5743.5	92	115.8	63.2	3744000000	72.87	3.03	0.01184	73.63	0.01282	71.5	0.01245	0.00289	76	0.01323	0.005067	30.72	4.594	60.21	124.6	0.02169	212.7062385	0.01565	90580000
4	4965.6	80.2	91.8	68.7	4011000000	67.22	2.75	0.01136	63.93	0.01287	65.5	0.01319	0.002475	72.75	0.01465	0.004525	24.57	3.64	47.98	96.15	0.01936	189.856744	0.01016	67770000
5	3133.1	63.9	70.5	56.6	3398000000	35.72	3.03	0.01269	41.28	0.01318	40.25	0.01285	0.001675	42.3	0.0135	0.002896	29.46	2.495	56.91	66.4	0.02119	207.8029135	0.008149	85610000
6	2855.7	60.8	63.2	57.5	3957000000	37.95	2.83	0.01208	36.99	0.01295	36.2	0.01268	0.001508	38.85	0.0136	0.002622	27.45	2.63	53.18	59.95	0.02099	205.8415835	0.006734	77700000
7	3534	71.2	86	52.4	4064000000	48.23	2.83	0.01289	47.72	0.0135	46.4	0.01313	0.001951	49.5	0.01401	0.003372	28.8	3.082	56.08	78.2	0.02213	217.0211645	0.00934	87080000
8	2478.4	62.5	77.1	40.9	4253000000	35.42	2.67	0.01251	32.44	0.01309	32.35	0.01305	0.001344	34.05	0.01374	0.002327	19.06	1.776	36.76	42.1	0.01699	166.6149835	0.003639	48410000
9	3963.6	78.7	98	51.5	3818000000	51.4	3.07	0.01279	52.49	0.01324	51.8	0.01307	0.002128	54.6	0.01378	0.003668	26.22	3.782	51.08	82.55	0.02083	204.2725195	0.008952	75260000
10	3653.3	71.3	83.8	55.5	4022000000	49.15	2.82	0.01278	49.94	0.01367	48.2	0.01319	0.002016	51.65	0.01414	0.003497	30.39	3.231	58.91	85.4	0.02338	229.279477	0.01056	94910000
11	4107.2	81.8	104.2	50.3	3886000000	54	2.99	0.01237	53.98	0.01314	53.05	0.01292	0.002145	55.65	0.01355	0.003753	29.7	3.48	58.18	89	0.02167	212.5101055	0.01089	88030000
12	3990.4	76.2	93.4	54.4	4320000000	58.05	2.74	0.01247	52.76	0.01322	52.25	0.01309	0.002145	56.1	0.01406	0.00375	25.27	3.986	49.36	83.65	0.02096	205.547384	0.008798	72840000
13																								
14	6109.8	94	114.1	68.3	3724000000	76.38	2.96	0.01183	74.09	0.01213	72.85	0.01192	0.003052	75.8	0.01241	0.005258	28	4.424	54.15	110.6	0.01809	177.4022985	0.01327	71530000
15	2028.1	51.6	57	45.3	4032000000	27.81	3.8	0.01292	28.01	0.01381	27.55	0.01358	0.001043	28.75	0.01418	0.001877	30.8	1.696	59.23	44.55	0.02197	215.4521005	0.005544	91220000
16	5192.2	82.9	90.2	73.3	3595000000	62.55	3.25	0.01201	65.38	0.01259	65	0.01252	0.002631	68.55	0.0132	0.00461	25.81	4.52	49.41	99.7	0.0192	188.28768	0.01072	67880000
17	2591.6	57.9	61.1	54	4358000000	37.93	2.6	0.01296	35.82	0.01382	35.25	0.0136	0.00148	37.6	0.01451	0.002561	25.7	2.591	50.12	56.15	0.02167	212.5101055	0.006077	77260000
18	3509.5	73	88.9	50.3	4325000000	51.45	3.79	0.01325	48.15	0.01372	47.45	0.01352	0.001798	49.25	0.01403	0.003253	29.2	2.884	55.77	72.6	0.02069	202.8995885	0.008715	82580000
19	5016.3	86.5	104.7	61.1	3991000000	67.41	2.64	0.01157	64.32	0.01282	63.8	0.01272	0.002606	68.05	0.01357	0.004551	26.4	4.592	51.87	103.1	0.02055	201.5266575	0.01136	74830000
20	3595.9	72.6	91.9	49.8	3790000000	45.52	3.05	0.01304	51.56	0.01434	51.45	0.01431	0.002072	54.5	0.01516	0.003641	26.34	3.991	50.43	83.4	0.02319	227.4162135	0.008911	81190000
21	2695.2	59.4	64.9	52.9	4343000000	39.2	2.66	0.01263	37.36	0.01386	36.3	0.01347	0.001513	39.15	0.01453	0.002625	30.32	2.442	59.07	65	0.02412	236.536398	0.008012	97660000
22	2751.5	63.4	74.9	46.8	4248000000	39.04	2.95	0.01336	36.52	0.01327	35.85	0.01303	0.001529	36.85	0.01339	0.002605	23.92	2.082	45.71	49.35	0.01794	175.931301	0.005247	62490000
23	3286.1	69	83.2	50.3	3918000000	43.38	2.94	0.01239	42.55	0.01295	42.05	0.0128	0.001738	44.15	0.01344	0.003007	28.23	2.851	54.88	68.35	0.0208	203.97832	0.00801	80580000
24	2890.7	66.8	85	43.3	4526000000	44.08	2.71	0.01332	40.98	0.01418	40.85	0.01413	0.001678	43.1	0.01491	0.002917	26.91	2.853	52.73	64.55	0.02233	218.9824945	0.007318	83690000
25	5685.9	95.8	119.3	60.7	3736000000	71.58	3.07	0.01295	77.62	0.01365	76.1	0.01338	0.003131	80.9	0.01423	0.005454	28.23	5.311	54.88	125.7	0.02211	216.8250315	0.01464	85090000
																								
Min:	1787.6	48.4	51.6	40.9	3398000000	26.55	2.15	0.01055	23.35	0.01131	23.2	0.01151	0.0009763	24.5	0.01216	0.001686	11.19	0.7456	21.45	31.7	0.01348	132.193642	0.003228	25630000
Max:	7004.9	99.6	119.8	79.4	5162000000	98.53	4.14	0.01473	89.24	0.01484	88.6	0.0152	0.003672	93.05	0.01543	0.006317	32.32	5.743	63.32	136.2	0.02412	236.536398	0.01732	98660000
Median:	3697.4	72.7	83.8	56.9	4103000000	52.56	2.86	0.01268	49.99	0.01324	49.2	0.01308	0.002035	51.78	0.01369	0.003534	26.27	3.161	51.08	76.05	0.02004	196.525266	0.00829	75230000
Mean:	3914.4	73.1	85.3	57.6	4122000000	53.84	2.92	0.01268	51.54	0.01324	51.08	0.01312	0.00209	53.68	0.01379	0.003637	25.99	3.223	50.49	77.44	0.01987	194.8581355	0.008631	73260000
Std. Dev.:	1144.9	11.4	15.6	8.7	327100000	14.5	0.31	0.0007685	14.3	0.0006703	14.27	0.0006981	0.0005775	15.04	0.0007327	0.001012	3.43	1.101	6.72	22.53	0.002025	19.85846625	0.002783	12920000
% Premature Failure:	0																							
																								
	3900.108333	74.12083333	88.34166667	55.48333333	4011500000	52.18958333	2.951666667	0.01252083333	51.43666667	0.0132775	50.76666667	0.01309708333	0.002069916667	53.86041667	0.01388375	0.003615875	27.26416667	3.410291667	52.92208333	81.29791667	0.02094041667	205.3553371	0.009283166667	78879583.33
	1163.771277	12.04834389	17.37519263	8.244189873	273451847.8	14.15212028	0.3070854104	0.0005453273183	14.1607979	0.0005278360253	14.07258101	0.0005226311291	0.0005670865985	15.12326871	0.0006147803602	0.0009950061093	2.650714287	1.024107521	5.203893174	23.46831573	0.001771863375	17.37604396	0.002882740795	11023660.51
																								
								0.01252083333			0.01301673244			0.01380997964										
