RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
1	4069.8	3.0080e+001	8.684e-001	6.418e+009	2.453e-008	8.159e-003	2.660e-001	2.206e+001	8.311e-001	5.797e+001	2.785e-005	40.392	8.256e-001	2.029e+002
2														
3	3442.7	3.0110e+001	6.714e-001	5.872e+009	2.281e-007	4.899e-004	2.657e-001	1.895e+001	8.635e-001	5.471e+001	2.300e-005	4.318	5.896e-001	1.713e+002
4	2958.7	3.0080e+001	5.918e-001	6.017e+009	6.622e-008	6.187e-003	2.660e-001	2.371e+001	8.311e-001	5.770e+001	2.061e-005	41.39	5.862e-001	1.981e+002
5	7005.4	3.0070e+001	1.421e+000	6.098e+009	1.987e-007	1.604e-002	2.328e-001	1.281e+001	8.646e-001	5.091e+001	4.178e-005	46.292	1.472e+000	2.101e+002
6	4980	3.0130e+001	9.032e-001	5.465e+009	0.000e+000	1.181e-002	2.323e-001	1.694e+001	8.297e-001	4.846e+001	2.968e-005	46.2	1.098e+000	2.205e+002
7	4188.2	3.0080e+001	7.785e-001	5.591e+009	2.207e-007	1.021e-002	2.660e-001	1.757e+001	8.311e-001	4.919e+001	2.382e-005	49.335	8.746e-001	2.088e+002
8	3899.7	3.0130e+001	6.688e-001	5.167e+009	5.420e-007	8.792e-003	2.655e-001	1.673e+001	8.297e-001	4.667e+001	2.146e-005	45.802	8.104e-001	2.078e+002
9	2827.8	3.0220e+001	5.891e-001	6.295e+009	1.177e-007	9.190e-004	2.647e-001	2.290e+001	8.273e-001	5.846e+001	1.943e-005	7.975	4.704e-001	1.664e+002
10	4832.7	3.0120e+001	9.145e-001	5.700e+009	1.006e-007	9.819e-003	2.324e-001	1.746e+001	8.632e-001	5.278e+001	3.304e-005	40.604	1.006e+000	2.081e+002
11	4932.2	3.0090e+001	9.021e-001	5.504e+009	1.055e-007	1.075e-002	2.326e-001	1.552e+001	8.308e-001	4.913e+001	2.812e-005	42.905	1.066e+000	2.162e+002
12	5393	3.0130e+001	9.105e-001	5.087e+009	5.396e-008	1.168e-002	2.323e-001	1.437e+001	8.961e-001	4.675e+001	3.274e-005	44.64	1.115e+000	2.068e+002
