Three Phase Analysis Version 6.0
Source File: D:\20241203_NSK_IHNY_bleached_sds washed_old batch_batch 1_batch 2.uvc
RECORD	CROSS-SECTIONAL AREA	MEAN DIAMETER	MAX DIAMETER	MIN DIAMETER	ELASTIC EMOD	ELASTIC GRADIENT	ELASTIC EXT	ELASTIC STRESS	PLATEAU LOAD	PLATEAU STRESS	LOAD 15%	STRESS 15%	WORK 15%	LOAD 25%	STRESS 25%	WORK 25%	YIELD EXT	POSTYIELD GRADIENT	BREAK EXT	BREAK LOAD	BREAK STRESS	TOTAL WORK	TOUGHNESS
	  sq. microns	Microns	Microns	Microns	Pascals	gmf/mm	% Strain	gmf/sq micron	gmf	gmf/sq micron	gmf	gmf/sq micron	Joules	gmf	gmf/sq micron	Joules	% Strain	gmf/mm	% Strain	gmf	gmf/sq micron	Joules	Joules/m3
1	4069.8	75.6	90.0	57.6	4.633e+009	6.390e+001	3.29	1.555e-002	6.761e+001	1.661e-002	6.810e+001	1.673e-002	2.715e-003	6.960e+001	1.710e-002	4.750e-003	21.04	2.793e+000	40.39	8.415e+001	2.068e-002	8.159e-003	6.664e+007
2
3	3442.7	71.8	88.7	49.4	4.548e+009	5.300e+001	3.55	1.664e-002	5.808e+001	1.687e-002							3.92	1.025e+001	4.32	6.010e+001	1.746e-002	4.901e-004	4.728e+006
4	2958.7	63.2	70.1	53.9	4.077e+009	4.088e+001	3.39	1.567e-002	4.990e+001	1.687e-002	5.030e+001	1.700e-002	1.984e-003	5.225e+001	1.766e-002	3.508e-003	21.61	1.366e+000	41.39	5.975e+001	2.019e-002	6.187e-003	6.952e+007
5	7005.4	99.2	123.0	72.5	4.243e+009	1.007e+002	3.56	1.521e-002	1.129e+002	1.612e-002	1.128e+002	1.610e-002	4.488e-003	1.155e+002	1.648e-002	7.868e-003	24.18	5.967e+000	46.29	1.500e+002	2.141e-002	1.604e-002	7.614e+007
6	4980.0	81.6	92.9	68.2	3.897e+009	6.565e+001	3.72	1.526e-002	8.221e+001	1.651e-002	8.440e+001	1.695e-002	3.217e-003	8.480e+001	1.703e-002	5.723e-003	24.29	4.750e+000	46.20	1.120e+002	2.248e-002	1.181e-002	7.872e+007
7	4188.2	72.8	77.8	68.5	3.856e+009	5.473e+001	3.66	1.514e-002	6.687e+001	1.597e-002	6.655e+001	1.589e-002	2.623e-003	6.865e+001	1.639e-002	4.634e-003	25.86	3.215e+000	49.34	8.915e+001	2.129e-002	1.021e-002	8.103e+007
8	3899.7	72.2	86.5	57.4	3.710e+009	4.894e+001	3.58	1.480e-002	6.233e+001	1.598e-002	6.245e+001	1.601e-002	2.426e-003	6.585e+001	1.689e-002	4.347e-003	24.13	2.762e+000	45.80	8.260e+001	2.118e-002	8.793e-003	7.484e+007
9	2827.8	63.8	76.7	46.8	4.583e+009	4.371e+001	3.21	1.568e-002	4.586e+001	1.622e-002							5.26	2.092e+000	7.97	4.795e+001	1.696e-002	9.191e-004	1.076e+007
