RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
1	3455.8	3.0600e+001	5.992e-001	5.305e+009	2.060e-007	7.942e-003	2.614e-001	2.030e+001	8.497e-001	5.153e+001	2.210e-005	51.176	6.666e-001	1.929e+002
2	6049.7	3.0570e+001	1.100e+000	5.556e+009	0.000e+000	1.279e-002	2.617e-001	2.100e+001	8.505e-001	5.352e+001	4.065e-005	47.53	1.170e+000	1.935e+002
3	4438.2	3.0140e+001	8.011e-001	5.440e+009	2.306e-007	9.222e-003	2.322e-001	1.702e+001	8.626e-001	5.195e+001	2.941e-005	50.796	7.819e-001	1.762e+002
4	4199.5	3.0260e+001	8.044e-001	5.796e+009	2.894e-007	8.945e-003	2.644e-001	1.927e+001	8.592e-001	5.431e+001	2.770e-005	46.927	8.442e-001	2.010e+002
5	3652.8	3.0090e+001	6.713e-001	5.530e+009	4.905e-009	8.849e-003	2.326e-001	1.813e+001	8.308e-001	5.090e+001	2.268e-005	52.044	7.736e-001	2.118e+002
6	3610.9	3.0070e+001	6.209e-001	5.171e+009	8.830e-008	7.154e-003	2.328e-001	1.630e+001	8.314e-001	4.632e+001	2.022e-005	46.658	6.509e-001	1.803e+002
7	4779	3.0030e+001	8.663e-001	5.444e+009	5.837e-007	7.806e-003	2.331e-001	1.437e+001	8.325e-001	4.711e+001	2.726e-005	40.06	8.368e-001	1.751e+002
8	3417.3	3.0100e+001	6.302e-001	5.551e+009	0.000e+000	5.945e-003	2.658e-001	2.096e+001	8.638e-001	5.483e+001	2.356e-005	41.927	6.048e-001	1.770e+002
9														
10	4739.2	3.0050e+001	8.965e-001	5.684e+009	2.134e-007	5.171e-003	2.329e-001	1.729e+001	8.319e-001	5.123e+001	2.988e-005	26.955	7.113e-001	1.501e+002
11	3068.7	3.0340e+001	6.133e-001	6.063e+009	0.000e+000	8.107e-003	2.966e-001	2.638e+001	8.570e-001	6.074e+001	2.317e-005	55.175	6.446e-001	2.100e+002
12	3409.4	3.0380e+001	6.339e-001	5.649e+009	-1.23E-08	6.800e-003	2.304e-001	1.957e+001	8.229e-001	5.266e+001	2.249e-005	46.906	6.151e-001	1.804e+002
13	2808.1	3.0400e+001	5.480e-001	5.932e+009	0.000e+000	4.866e-003	2.303e-001	2.376e+001	8.224e-001	5.939e+001	2.089e-005	40.855	4.954e-001	1.764e+002
14	3999.6	3.0360e+001	7.350e-001	5.579e+009	9.320e-008	1.046e-002	2.306e-001	2.036e+001	8.893e-001	5.728e+001	3.163e-005	56.225	7.741e-001	1.935e+002
15	2971.7	3.0340e+001	5.411e-001	5.525e+009	2.085e-007	4.823e-003	2.966e-001	2.360e+001	8.570e-001	5.513e+001	2.029e-005	40.013	4.837e-001	1.628e+002
16	3418.7	3.0550e+001	5.951e-001	5.318e+009	1.839e-007	8.617e-003	2.619e-001	2.109e+001	8.183e-001	5.151e+001	2.150e-005	54.108	6.936e-001	2.029e+002
17	3055.4	3.0320e+001	5.435e-001	5.393e+009	0.000e+000	5.437e-003	2.639e-001	2.505e+001	8.575e-001	5.651e+001	2.269e-005	40.303	5.857e-001	1.917e+002
18	3991.4	3.0160e+001	7.729e-001	5.840e+009	4.905e-009	8.674e-003	2.321e-001	1.831e+001	8.289e-001	5.248e+001	2.633e-005	47.049	8.339e-001	2.089e+002
19	3817.1	3.0360e+001	7.240e-001	5.759e+009	2.158e-007	8.379e-003	2.306e-001	1.645e+001	8.235e-001	4.973e+001	2.287e-005	46.673	7.765e-001	2.034e+002
20	4921.3	2.9980e+001	9.335e-001	5.687e+009	7.866e-006	1.027e-002	8.005e-001	1.585e+001	1.568e+000	5.911e+001	4.184e-005	46.931	9.551e-001	1.941e+002
21	4032.4	3.0200e+001	7.246e-001	5.427e+009	4.170e-007	8.269e-003	2.649e-001	1.679e+001	8.278e-001	4.769e+001	2.221e-005	45.464	7.907e-001	1.961e+002
22	5366.5	3.0070e+001	9.048e-001	5.070e+009	2.526e-007	1.282e-002	2.660e-001	1.773e+001	8.314e-001	4.735e+001	3.043e-005	52.877	1.086e+000	2.024e+002
23	4940.8	3.0200e+001	9.657e-001	5.903e+009	3.188e-007	8.959e-003	2.649e-001	1.718e+001	8.278e-001	4.984e+001	2.823e-005	42.384	9.090e-001	1.840e+002
24	3108.2	3.0410e+001	5.683e-001	5.560e+009	0.000e+000	5.626e-003	2.302e-001	2.115e+001	8.221e-001	5.382e+001	2.098e-005	42.979	5.661e-001	1.821e+002
25	4256.2	3.0160e+001	6.561e-001	4.649e+009	0.000e+000	9.914e-003	2.653e-001	1.821e+001	8.952e-001	4.691e+001	2.659e-005	53.78	8.275e-001	1.944e+002
26	3176.6	3.0280e+001	5.958e-001	5.680e+009	0.000e+000	6.988e-003	2.642e-001	2.085e+001	8.256e-001	5.219e+001	1.973e-005	45.707	6.907e-001	2.174e+002
27	5264.4	3.0190e+001	9.990e-001	5.729e+009	0.000e+000	8.193e-003	2.319e-001	1.975e+001	8.612e-001	5.553e+001	3.763e-005	37.396	9.031e-001	1.715e+002
28	3589.5	3.0360e+001	6.506e-001	5.503e+009	1.055e-007	7.964e-003	2.306e-001	1.913e+001	8.893e-001	5.548e+001	2.731e-005	47.596	7.368e-001	2.053e+002
29	3363	3.0380e+001	6.152e-001	5.557e+009	6.622e-008	6.713e-003	2.304e-001	1.882e+001	8.229e-001	5.178e+001	2.166e-005	44.602	6.431e-001	1.912e+002
30	3425.8	3.0800e+001	6.009e-001	5.402e+009	0.000e+000	6.901e-003	2.922e-001	2.606e+001	8.766e-001	5.742e+001	2.553e-005	42.273	7.255e-001	2.118e+002
