RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
1	4815.4	3.0300e+001	7.959e-001	5.008e+009	0.000e+000	1.019e-002	2.640e-001	1.966e+001	8.251e-001	4.818e+001	2.745e-005	51.551	8.756e-001	1.818e+002
2	2482.1	3.0710e+001	4.345e-001	5.376e+009	0.000e+000	5.619e-003	2.931e-001	2.470e+001	8.141e-001	5.237e+001	1.545e-005	50.44	5.111e-001	2.059e+002
3	3421.1	3.0470e+001	5.598e-001	4.985e+009	2.207e-008	8.220e-003	2.626e-001	1.878e+001	8.861e-001	5.004e+001	2.250e-005	51.821	7.510e-001	2.195e+002
4	4307.3	2.9980e+001	-6.61E-04	-4.60E+06	0.000e+000	9.736e-003	2.001e-001	5.922e+000	8.005e-001	5.922e+000	4.648e-006	56.071	8.015e-001	1.861e+002
5														
6	4806.3	3.0180e+001	8.928e-001	5.606e+009	0.000e+000	9.337e-003	2.651e-001	2.215e+001	8.284e-001	5.348e+001	3.104e-005	47.747	8.491e-001	1.767e+002
7	5296.9	3.0130e+001	9.537e-001	5.425e+009	7.849e-008	1.056e-002	2.655e-001	1.889e+001	8.297e-001	4.992e+001	3.066e-005	44.275	1.092e+000	2.062e+002
8	4092.8	2.9970e+001	5.383e-004	3.942e+006	0.000e+000	8.302e-003	2.002e-001	6.592e+000	8.008e-001	6.472e+000	4.910e-006	46.046	8.545e-001	2.088e+002
9	3623.1	3.0690e+001	6.687e-001	5.664e+009	0.000e+000	7.753e-003	2.607e-001	2.369e+001	9.123e-001	6.025e+001	3.033e-005	47.735	7.230e-001	1.996e+002
10	7192.3	3.0140e+001	1.165e+000	4.881e+009	4.317e-007	1.365e-002	2.654e-001	1.296e+001	8.626e-001	4.235e+001	3.533e-005	44.194	1.370e+000	1.904e+002
11	3628.8	3.0500e+001	5.940e-001	4.993e+009	2.158e-007	7.423e-003	2.295e-001	1.460e+001	8.852e-001	4.650e+001	2.229e-005	50.164	6.254e-001	1.724e+002
12	3436.6	3.0550e+001	6.177e-001	5.491e+009	4.783e-007	8.791e-003	2.619e-001	1.684e+001	8.183e-001	4.796e+001	1.935e-005	57.545	6.794e-001	1.977e+002
13	3508.3	3.0070e+001	6.646e-001	5.697e+009	3.139e-007	6.815e-003	2.660e-001	1.916e+001	8.646e-001	5.383e+001	2.354e-005	46.857	6.416e-001	1.829e+002
14	3631.3	3.0470e+001	6.821e-001	5.723e+009	7.358e-009	7.806e-003	2.626e-001	2.067e+001	8.861e-001	5.674e+001	2.718e-005	47.621	7.373e-001	2.030e+002
15	2897.6	3.0740e+001	5.587e-001	5.927e+009	0.000e+000	6.005e-003	2.928e-001	2.506e+001	8.458e-001	5.773e+001	2.079e-005	47.105	5.548e-001	1.915e+002
16	4826.8	3.0630e+001	9.113e-001	5.783e+009	0.000e+000	1.265e-002	2.938e-001	2.388e+001	8.815e-001	5.884e+001	3.663e-005	54.522	1.043e+000	2.162e+002
17	3460.4	3.0340e+001	6.608e-001	5.794e+009	0.000e+000	8.700e-003	2.966e-001	2.594e+001	8.570e-001	5.869e+001	2.547e-005	53.823	7.368e-001	2.129e+002
18	3342.2	3.0140e+001	4.950e-001	4.464e+009	4.905e-008	5.665e-003	2.654e-001	1.703e+001	8.626e-001	4.359e+001	1.805e-005	42.07	5.832e-001	1.745e+002
19	4545.2	3.0430e+001	8.558e-001	5.729e+009	0.000e+000	8.679e-003	2.300e-001	2.007e+001	8.216e-001	5.429e+001	3.065e-005	44.2	8.678e-001	1.909e+002
20														
21	3428.5	3.0430e+001	6.442e-001	5.718e+009	0.000e+000	5.812e-003	2.300e-001	2.490e+001	8.216e-001	5.909e+001	2.615e-005	40.716	6.009e-001	1.753e+002
22	3440.6	3.0610e+001	6.509e-001	5.791e+009	0.000e+000	7.972e-003	2.614e-001	2.424e+001	8.494e-001	5.788e+001	2.594e-005	51.16	6.720e-001	1.953e+002
23	1523.6	3.0360e+001	2.983e-001	5.943e+009	0.000e+000	3.272e-003	2.964e-001	3.445e+001	8.893e-001	6.922e+001	1.460e-005	44.895	3.296e-001	2.164e+002
24	1654.7	2.9980e+001	-9.90E-05	-1.79E+06	3.679e-008	2.663e-003	2.001e-001	1.126e+001	8.339e-001	1.156e+001	3.615e-006	36.858	2.963e-001	1.791e+002
25	3675.7	3.0200e+001	6.520e-001	5.357e+009	3.188e-007	7.973e-003	2.649e-001	1.802e+001	8.278e-001	4.871e+001	2.117e-005	48.377	7.240e-001	1.970e+002
26	1703.2	2.9980e+001	4.180e-003	7.358e+007	0.000e+000	3.424e-003	2.001e-001	2.333e+001	8.005e-001	2.304e+001	7.120e-006	39.526	3.802e-001	2.232e+002
27	4213.1	3.0280e+001	7.975e-001	5.732e+009	0.000e+000	7.515e-003	2.642e-001	2.166e+001	8.256e-001	5.344e+001	2.732e-005	41.413	7.902e-001	1.876e+002
28	3348.5	3.0360e+001	6.235e-001	5.653e+009	0.000e+000	8.402e-003	2.964e-001	2.329e+001	8.893e-001	5.669e+001	2.443e-005	53.722	7.152e-001	2.136e+002
