Summary Data Ver: 1.3
Source File: D:\20241204_EN_IHNY_bleached_Olaplex Phos control_0.01_0.03_0.05.uvc
Record	Sample	Description	Min. Diameter	Min. Diameter SD	Max. Diameter	Max. Diameter SD	Mean Cross-Section	Break Extension	Break Value
1	1	Slot 1 : MTT Extension Method, Cycle: 1	64.13	3.095	95.70	2.931	4815.36	51.55	89.25	
2	2	Slot 2 : MTT Extension Method, Cycle: 1	51.75	2.475	61.10	1.054	2482.14	50.44	52.10	
3	3	Slot 3 : MTT Extension Method, Cycle: 1	58.06	0.598	75.03	1.370	3421.15	51.82	76.55	
4	4	Slot 4 : MTT Extension Method, Cycle: 1	64.44	2.609	85.14	2.270	4307.29	56.07	81.70	
5		tag	
6	6	Slot 6 : MTT Extension Method, Cycle: 1	59.68	1.892	102.51	1.384	4806.27	47.75	86.55	
7	7	Slot 7 : MTT Extension Method, Cycle: 1	62.86	1.190	107.30	2.025	5296.88	44.27	111.35	
8	8	Slot 8 : MTT Extension Method, Cycle: 1	63.10	2.669	82.66	2.731	4092.82	46.05	87.10	
9	9	Slot 9 : MTT Extension Method, Cycle: 1	63.15	0.000	73.05	0.000	3623.13	47.74	73.70	
10	10	Slot 10 : MTT Extension Method, Cycle: 1	69.26	6.015	132.01	5.514	7192.31	44.19	139.60	
11	11	Slot 11 : MTT Extension Method, Cycle: 1	55.52	5.448	83.51	4.610	3628.77	50.16	63.75	
12	12	Slot 12 : MTT Extension Method, Cycle: 1	51.20	1.587	85.55	4.130	3436.62	57.55	69.25	
13	13	Slot 13 : MTT Extension Method, Cycle: 1	52.59	2.325	84.98	1.582	3508.30	46.86	65.40	
14	14	Slot 14 : MTT Extension Method, Cycle: 1	53.53	1.145	86.36	1.451	3631.26	47.62	75.15	
15	15	Slot 15 : MTT Extension Method, Cycle: 1	54.44	2.333	67.85	3.818	2897.57	47.10	56.55	
16	16	Slot 16 : MTT Extension Method, Cycle: 1	63.94	0.830	96.10	4.262	4826.83	54.52	106.35	
17	17	Slot 17 : MTT Extension Method, Cycle: 1	50.90	4.560	86.53	1.223	3460.37	53.82	75.10	
18	18	Slot 18 : MTT Extension Method, Cycle: 1	61.45	0.000	69.25	0.000	3342.19	42.07	59.45	
19	19	Slot 19 : MTT Extension Method, Cycle: 1	66.98	2.331	86.45	2.486	4545.23	44.20	88.45	
20		tag	
21	21	Slot 21 : MTT Extension Method, Cycle: 1	61.03	1.237	71.50	3.182	3428.46	40.72	61.25	
22	22	Slot 22 : MTT Extension Method, Cycle: 1	49.86	2.518	87.75	5.778	3440.64	51.16	68.50	
23	23	Slot 23 : MTT Extension Method, Cycle: 1	38.91	0.590	49.85	1.559	1523.63	44.89	33.60	
24	24	Slot 24 : MTT Extension Method, Cycle: 1	39.96	2.085	52.73	1.778	1654.71	36.86	30.20	
25	25	Slot 25 : MTT Extension Method, Cycle: 1	54.58	2.706	85.77	4.588	3675.71	48.38	73.80	
26	26	Slot 26 : MTT Extension Method, Cycle: 1	43.20	0.000	50.20	0.000	1703.25	39.53	38.75	
27	27	Slot 27 : MTT Extension Method, Cycle: 1	55.35	1.833	96.96	2.315	4213.15	41.41	80.55	
28	28	Slot 28 : MTT Extension Method, Cycle: 1	57.25	2.425	74.47	1.581	3348.55	53.72	72.90	
29	29	Slot 29 : MTT Extension Method, Cycle: 1	54.63	0.281	75.71	1.359	3248.77	37.28	62.25	
30	30	Slot 30 : MTT Extension Method, Cycle: 1	52.94	0.000	58.95	0.000	2451.08	34.91	38.35	
31	31	Slot 31 : MTT Extension Method, Cycle: 1	57.35	3.890	86.40	2.097	3895.46	47.06	77.05	
32	32	Slot 32 : MTT Extension Method, Cycle: 1	54.91	1.145	81.51	1.693	3514.07	36.89	56.40	
33	33	Slot 33 : MTT Extension Method, Cycle: 1	59.08	1.676	86.16	3.639	3994.82	56.26	86.15	
34	34	Slot 34 : MTT Extension Method, Cycle: 1	60.29	4.306	71.95	0.283	3406.76	49.23	60.30	
35	35	Slot 35 : MTT Extension Method, Cycle: 1	59.66	2.217	85.44	4.034	3999.25	46.15	82.50	
36	36	Slot 36 : MTT Extension Method, Cycle: 1	79.69	0.919	93.45	0.636	5849.11	62.08	133.80	
37	37	Slot 37 : MTT Extension Method, Cycle: 1	87.00	0.000	94.59	0.000	6463.30	30.70	99.70	
38	38	Slot 38 : MTT Extension Method, Cycle: 1	56.11	0.258	79.70	0.373	3512.37	49.46	71.15	
39	39	Slot 39 : MTT Extension Method, Cycle: 1	49.67	0.594	72.14	0.983	2814.66	50.76	58.05	
