RECORD	CROSS-SECTIONAL AREA	MEAN DIAMETER	MAX DIAMETER	MIN DIAMETER	ELASTIC EMOD	ELASTIC GRADIENT	ELASTIC EXT	ELASTIC STRESS	PLATEAU LOAD	PLATEAU STRESS	LOAD 15%	STRESS 15%	WORK 15%	LOAD 25%	STRESS 25%	WORK 25%	YIELD EXT	POSTYIELD GRADIENT	BREAK EXT	BREAK LOAD	BREAK STRESS	TOTAL WORK	TOUGHNESS
1	4815.4	82.1	95.7	64.1	3.904e+009	6.323e+001	3.14	1.275e-002	6.088e+001	1.264e-002	5.970e+001	1.240e-002	2.525e-003	6.170e+001	1.281e-002	4.320e-003	26.7	3.836e+000	51.55	8.925e+001	1.853e-002	1.019e-002	6.983e+007
2	2482.1	56.7	61.1	51.8	3.920e+009	3.229e+001	2.83	1.225e-002	3.219e+001	1.297e-002	3.175e+001	1.279e-002	1.336e-003	3.405e+001	1.372e-002	2.304e-003	26.34	2.443e+000	50.44	5.210e+001	2.099e-002	5.619e-003	7.371e+007
3	3421.1	67.3	75	58.1	3.662e+009	4.191e+001	3.22	1.253e-002	4.520e+001	1.321e-002	4.410e+001	1.289e-002	1.827e-003	4.760e+001	1.391e-002	3.181e-003	27.14	3.602e+000	51.82	7.655e+001	2.238e-002	8.220e-003	7.886e+007
4	4307.3	75.8	85.1	64.4	3.824e+009	5.600e+001	5.34	1.265e-002	5.576e+001	1.295e-002	5.530e+001	1.284e-002	1.912e-003	5.560e+001	1.291e-002	3.552e-003	30.39	3.342e+000	56.07	8.170e+001	1.897e-002	9.736e-003	7.539e+007
5																							
6	4806.3	83.1	102.5	59.7	4.353e+009	7.066e+001	2.85	1.281e-002	6.172e+001	1.284e-002	6.110e+001	1.271e-002	2.545e-003	6.330e+001	1.317e-002	4.383e-003	24.52	3.729e+000	47.75	8.655e+001	1.801e-002	9.337e-003	6.437e+007
7	5296.9	87.2	107.3	62.9	3.920e+009	7.024e+001	3.02	1.326e-002	7.343e+001	1.386e-002	7.250e+001	1.369e-002	2.986e-003	7.715e+001	1.457e-002	5.189e-003	22.8	6.083e+000	44.27	1.114e+002	2.102e-002	1.056e-002	6.616e+007
8	4092.8	73.6	82.7	63.1	4.036e+009	5.617e+001	4.7	1.336e-002	5.794e+001	1.416e-002	5.735e+001	1.401e-002	2.076e-003	6.105e+001	1.492e-002	3.791e-003	24.82	4.559e+000	46.05	8.710e+001	2.128e-002	8.302e-003	6.768e+007
9	3623.1	68.3	73.1	63.2	4.423e+009	5.322e+001	2.8	1.290e-002	4.861e+001	1.342e-002	4.810e+001	1.328e-002	2.014e-003	5.135e+001	1.417e-002	3.511e-003	24.93	3.558e+000	47.74	7.370e+001	2.034e-002	7.753e-003	6.973e+007
10	7192.3	105.2	132	69.3	3.782e+009	9.199e+001	3.19	1.270e-002	9.679e+001	1.346e-002	9.720e+001	1.351e-002	3.846e-003	1.050e+002	1.459e-002	6.808e-003	22.89	6.260e+000	44.19	1.396e+002	1.941e-002	1.365e-002	6.298e+007
11	3628.8	70	83.5	55.5	3.691e+009	4.476e+001	2.98	1.254e-002	4.629e+001	1.276e-002	4.620e+001	1.273e-002	1.885e-003	4.845e+001	1.335e-002	3.292e-003	26.07	2.132e+000	50.16	6.375e+001	1.757e-002	7.423e-003	6.707e+007
12	3436.6	72	85.5	51.2	4.281e+009	4.909e+001	2.95	1.296e-002	4.523e+001	1.316e-002	4.440e+001	1.292e-002	1.872e-003	4.595e+001	1.337e-002	3.208e-003	29.85	2.588e+000	57.55	6.925e+001	2.015e-002	8.791e-003	8.374e+007
13	3508.3	69.9	85	52.6	4.237e+009	5.038e+001	2.86	1.254e-002	4.553e+001	1.298e-002	4.490e+001	1.280e-002	1.855e-003	4.750e+001	1.354e-002	3.223e-003	23.98	2.930e+000	46.86	6.540e+001	1.864e-002	6.815e-003	6.460e+007
14	3631.3	71.6	86.4	53.5	4.357e+009	5.292e+001	2.82	1.287e-002	4.913e+001	1.353e-002	4.875e+001	1.343e-002	2.026e-003	5.125e+001	1.411e-002	3.506e-003	24.65	3.667e+000	47.62	7.515e+001	2.070e-002	7.806e-003	7.055e+007
15	2897.6	61	67.8	54.4	4.234e+009	4.068e+001	2.73	1.275e-002	3.860e+001	1.332e-002	3.840e+001	1.325e-002	1.634e-003	3.995e+001	1.379e-002	2.792e-003	24.5	2.603e+000	47.1	5.655e+001	1.952e-002	6.005e-003	6.741e+007
16	4826.8	81.2	96.1	63.9	4.415e+009	7.091e+001	2.87	1.335e-002	6.717e+001	1.392e-002	6.590e+001	1.365e-002	2.760e-003	6.960e+001	1.442e-002	4.822e-003	28.21	4.215e+000	54.52	1.064e+002	2.203e-002	1.265e-002	8.558e+007
17	3460.4	71.1	86.5	50.9	4.088e+009	4.752e+001	2.77	1.273e-002	4.726e+001	1.366e-002	4.685e+001	1.354e-002	1.934e-003	4.955e+001	1.432e-002	3.365e-003	27.69	3.136e+000	53.82	7.510e+001	2.170e-002	8.700e-003	8.287e+007
