RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
1	2963.2	3.0360e+001	3.875e-001	3.970e+009	2.796e-007	7.514e-003	2.306e-001	1.424e+001	8.893e-001	3.956e+001	1.703e-005	59.289	5.759e-001	1.943e+002
2	4200.6	3.0360e+001	7.290e-001	5.269e+009	1.324e-007	1.020e-002	2.306e-001	1.787e+001	8.893e-001	5.290e+001	3.073e-005	53.162	9.050e-001	2.155e+002
3	2919.4	3.0520e+001	5.234e-001	5.472e+009	1.987e-007	6.378e-003	2.621e-001	1.983e+001	8.191e-001	5.024e+001	1.756e-005	52.359	5.347e-001	1.831e+002
4	4667.4	3.0240e+001	6.884e-001	4.460e+009	5.102e-007	8.310e-003	2.646e-001	7.777e+000	8.598e-001	3.079e+001	1.375e-005	42.956	8.633e-001	1.850e+002
5	3832.7	3.0340e+001	6.628e-001	5.247e+009	1.398e-007	8.010e-003	2.966e-001	2.201e+001	8.570e-001	5.119e+001	2.417e-005	50	7.250e-001	1.892e+002
6	3286.1	3.0600e+001	5.875e-001	5.471e+009	0.000e+000	6.319e-003	2.614e-001	2.179e+001	8.497e-001	5.404e+001	2.237e-005	46.797	5.720e-001	1.741e+002
7	4112.2	3.0270e+001	7.486e-001	5.510e+009	1.251e-007	7.083e-003	2.313e-001	1.777e+001	8.259e-001	5.117e+001	2.564e-005	43.211	7.020e-001	1.707e+002
8	3155	3.0340e+001	5.934e-001	5.707e+009	4.905e-009	6.115e-003	2.966e-001	2.410e+001	8.570e-001	5.644e+001	2.163e-005	45.386	5.955e-001	1.888e+002
9	4021.1	3.0090e+001	7.384e-001	5.525e+009	6.867e-008	8.398e-003	2.326e-001	1.696e+001	8.308e-001	5.014e+001	2.455e-005	49.452	7.539e-001	1.875e+002
10	3281	3.0740e+001	5.986e-001	5.608e+009	0.000e+000	7.696e-003	2.928e-001	2.557e+001	8.458e-001	5.636e+001	2.296e-005	53.936	6.294e-001	1.918e+002
11	2597.6	3.0520e+001	4.717e-001	5.542e+009	1.275e-007	7.042e-003	2.621e-001	2.077e+001	8.191e-001	5.155e+001	1.611e-005	58.453	5.705e-001	2.196e+002
12	3008	3.0340e+001	5.244e-001	5.290e+009	0.000e+000	3.919e-004	2.966e-001	2.511e+001	8.570e-001	5.447e+001	2.054e-005	4.68	3.542e-001	1.177e+002
13	3970.7	3.0310e+001	6.344e-001	4.843e+009	4.170e-007	4.615e-004	2.309e-001	1.322e+001	8.578e-001	4.386e+001	2.092e-005	4.322	5.415e-001	1.364e+002
14	2602.6	3.0300e+001	4.782e-001	5.567e+009	0.000e+000	5.856e-003	2.640e-001	2.601e+001	8.251e-001	5.730e+001	1.850e-005	51.551	4.959e-001	1.906e+002
15	2892.9	3.0300e+001	5.230e-001	5.478e+009	0.000e+000	7.602e-003	2.640e-001	2.340e+001	8.251e-001	5.426e+001	1.924e-005	59.637	5.798e-001	2.004e+002
16	3119.6	3.0260e+001	5.505e-001	5.340e+009	1.472e-008	6.799e-003	2.644e-001	2.154e+001	8.592e-001	5.346e+001	2.111e-005	53.47	5.690e-001	1.824e+002
17	3207.8	3.0070e+001	5.850e-001	5.484e+009	1.447e-007	7.304e-003	2.660e-001	2.095e+001	8.314e-001	5.214e+001	2.030e-005	52.112	6.406e-001	1.997e+002
18	3923.9	3.0210e+001	7.274e-001	5.600e+009	5.151e-007	9.241e-003	2.979e-001	2.188e+001	8.606e-001	5.438e+001	2.566e-005	57.961	7.010e-001	1.786e+002
19	3313.4	3.0480e+001	5.979e-001	5.500e+009	0.000e+000	8.328e-003	2.297e-001	2.221e+001	8.530e-001	5.626e+001	2.504e-005	57.152	6.470e-001	1.953e+002
20	2197.8	2.9980e+001	6.586e-003	8.983e+007	1.006e-007	5.064e-003	2.335e-001	8.258e+000	8.339e-001	9.151e+000	3.431e-006	54.303	4.287e-001	1.951e+002
21	2417.4	3.0150e+001	4.213e-001	5.254e+009	1.202e-007	3.209e-003	2.653e-001	2.354e+001	8.292e-001	5.398e+001	1.604e-005	37.015	3.620e-001	1.498e+002
22	1535.5	3.0410e+001	2.752e-001	5.450e+009	0.000e+000	3.304e-003	2.302e-001	2.715e+001	8.221e-001	5.942e+001	1.211e-005	49.885	2.904e-001	1.891e+002
23	2537.1	3.0370e+001	4.518e-001	5.409e+009	0.000e+000	3.883e-003	2.963e-001	2.784e+001	8.561e-001	5.897e+001	1.882e-005	40.105	3.880e-001	1.529e+002
24	5335.3	3.0280e+001	8.728e-001	4.953e+009	2.698e-007	1.133e-002	2.642e-001	1.554e+001	8.917e-001	4.634e+001	3.141e-005	53.567	8.908e-001	1.670e+002
25	5731	3.0190e+001	6.459e-001	3.402e+009	1.084e-006	3.360e-003	2.319e-001	5.478e+000	8.943e-001	2.730e+001	1.741e-005	17.92	6.877e-001	1.200e+002
26	4865.4	3.0360e+001	8.401e-001	5.242e+009	3.679e-007	1.173e-002	2.306e-001	1.543e+001	8.893e-001	4.981e+001	3.170e-005	56.818	9.330e-001	1.918e+002
