RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
1	4828.3	3.0140e+001	7.358e-001	4.593e+009	9.320e-007	1.302e-002	2.654e-001	7.213e+000	8.626e-001	3.424e+001	1.770e-005	59.124	1.034e+000	2.142e+002
2	3954.2	3.0260e+001	7.544e-001	5.773e+009	1.766e-007	5.959e-003	2.644e-001	2.270e+001	8.592e-001	5.768e+001	2.886e-005	36.88	6.779e-001	1.714e+002
3	3592	3.0060e+001	6.557e-001	5.488e+009	5.641e-008	7.961e-003	2.329e-001	1.789e+001	8.649e-001	5.271e+001	2.428e-005	51.198	6.887e-001	1.917e+002
4	4177.7	3.0600e+001	6.938e-001	5.081e+009	0.000e+000	7.190e-003	2.614e-001	2.031e+001	8.497e-001	5.037e+001	2.674e-005	45.098	6.750e-001	1.616e+002
5	3738	3.0100e+001	6.328e-001	5.096e+009	0.000e+000	7.240e-003	2.326e-001	1.890e+001	8.638e-001	5.105e+001	2.470e-005	49.435	6.465e-001	1.730e+002
6	3957.9	3.0100e+001	6.800e-001	5.172e+009	2.453e-008	8.092e-003	2.326e-001	1.549e+001	8.638e-001	4.809e+001	2.398e-005	48.671	7.417e-001	1.874e+002
7	2980.7	3.0470e+001	5.298e-001	5.416e+009	1.668e-007	6.005e-004	2.626e-001	2.255e+001	8.861e-001	5.628e+001	2.265e-005	6.17	3.934e-001	1.320e+002
8	4008	3.0000e+001	7.078e-001	5.298e+009	8.991e-006	7.724e-003	1.433e+000	2.790e+001	2.000e+000	5.777e+001	2.946e-005	44.5	7.814e-001	1.950e+002
9	2491	2.9980e+001	3.816e-001	4.592e+009	6.745e-007	5.606e-003	2.001e-001	1.378e+001	8.005e-001	3.958e+001	1.070e-005	48.866	5.023e-001	2.016e+002
10	4644.2	3.0110e+001	7.938e-001	5.147e+009	0.000e+000	8.384e-003	2.657e-001	1.922e+001	8.303e-001	4.806e+001	2.662e-005	42.411	8.957e-001	1.929e+002
11	2911.9	3.0080e+001	5.160e-001	5.330e+009	4.905e-008	5.040e-003	2.327e-001	1.904e+001	8.644e-001	5.273e+001	2.011e-005	43.717	4.896e-001	1.681e+002
12	4493.5	3.0160e+001	7.315e-001	4.910e+009	1.962e-007	9.503e-003	2.321e-001	1.637e+001	8.952e-001	4.891e+001	2.970e-005	50.099	8.491e-001	1.890e+002
13	3363.9	3.0260e+001	6.044e-001	5.437e+009	-4.91E-09	8.666e-003	2.644e-001	2.231e+001	8.592e-001	5.468e+001	2.369e-005	60.212	6.328e-001	1.881e+002
