Summary Data Ver: 1.3
Source File: D:\20241205_EN_IHNY_bleached_ELI-1 AA control_0.01_0.03_0.05.uvc
Record	Sample	Description	Min. Diameter	Min. Diameter SD	Max. Diameter	Max. Diameter SD	Mean Cross-Section	Break Extension	Break Value
1	1	Slot 1 : MTT Extension Method, Cycle: 1	51.53	0.601	73.25	3.613	2963.20	59.29	58.70	
2	2	Slot 2 : MTT Extension Method, Cycle: 1	66.17	5.339	80.97	3.366	4200.62	53.16	92.25	
3	3	Slot 3 : MTT Extension Method, Cycle: 1	52.13	2.888	71.18	3.476	2919.41	52.36	54.50	
4	4	Slot 4 : MTT Extension Method, Cycle: 1	61.22	1.975	97.01	3.120	4667.41	42.96	88.00	
5	5	Slot 5 : MTT Extension Method, Cycle: 1	62.83	1.105	77.68	3.388	3832.71	50.00	73.90	
6	6	Slot 6 : MTT Extension Method, Cycle: 1	59.10	3.083	70.55	8.115	3286.08	46.80	58.30	
7	7	Slot 7 : MTT Extension Method, Cycle: 1	61.90	3.593	84.54	7.425	4112.23	43.21	71.55	
8	8	Slot 8 : MTT Extension Method, Cycle: 1	55.23	2.286	72.68	2.249	3154.97	45.39	60.70	
9	9	Slot 9 : MTT Extension Method, Cycle: 1	55.45	3.251	92.37	1.013	4021.13	49.45	76.85	
10	10	Slot 10 : MTT Extension Method, Cycle: 1	50.13	0.828	83.36	3.202	3281.03	53.94	64.15	
11	11	Slot 11 : MTT Extension Method, Cycle: 1	52.14	0.284	63.43	0.600	2597.56	58.45	58.15	
12	12	Slot 12 : MTT Extension Method, Cycle: 1	57.81	0.035	66.25	0.219	3008.04	4.68	36.10	
13	13	Slot 13 : MTT Extension Method, Cycle: 1	55.40	1.348	91.30	2.758	3970.67	4.32	55.20	
14	14	Slot 14 : MTT Extension Method, Cycle: 1	48.07	0.202	68.94	1.635	2602.57	51.55	50.55	
15	15	Slot 15 : MTT Extension Method, Cycle: 1	52.89	1.511	69.66	1.433	2892.87	59.64	59.10	
16	16	Slot 16 : MTT Extension Method, Cycle: 1	54.01	2.936	73.61	2.418	3119.62	53.47	58.00	
17	17	Slot 17 : MTT Extension Method, Cycle: 1	59.43	2.500	68.69	1.635	3207.83	52.11	65.30	
18	18	Slot 18 : MTT Extension Method, Cycle: 1	63.61	2.716	78.66	6.201	3923.88	57.96	71.45	
19	19	Slot 19 : MTT Extension Method, Cycle: 1	54.46	1.443	77.50	1.552	3313.40	57.15	65.95	
20	20	Slot 20 : MTT Extension Method, Cycle: 1	47.56	2.875	58.93	2.663	2197.84	54.30	43.70	
21	21	Slot 21 : MTT Extension Method, Cycle: 1	50.50	0.000	60.95	0.000	2417.44	37.01	36.90	
22	22	Slot 22 : MTT Extension Method, Cycle: 1	41.29	0.000	47.35	0.000	1535.52	49.88	29.60	
23	23	Slot 23 : MTT Extension Method, Cycle: 1	47.51	1.721	68.05	2.590	2537.08	40.11	39.55	
24	24	Slot 24 : MTT Extension Method, Cycle: 1	62.35	3.205	108.97	1.010	5335.34	53.57	90.80	
25	25	Slot 25 : MTT Extension Method, Cycle: 1	73.56	5.734	99.38	7.047	5731.04	17.92	70.10	
26	26	Slot 26 : MTT Extension Method, Cycle: 1	66.88	2.462	92.71	3.410	4865.37	56.82	95.10	
27	27	Slot 27 : MTT Extension Method, Cycle: 1	73.00	5.087	99.51	6.571	5694.40	44.87	95.35	
28	28	Slot 28 : MTT Extension Method, Cycle: 1	71.84	0.000	77.29	0.000	4360.93	18.57	52.35	
29	29	Slot 29 : MTT Extension Method, Cycle: 1	64.33	2.124	93.02	4.591	4700.80	43.25	83.05	
