RECORD	CROSS-SECTIONAL AREA	MEAN DIAMETER	MAX DIAMETER	MIN DIAMETER	ELASTIC EMOD	ELASTIC GRADIENT	ELASTIC EXT	ELASTIC STRESS	PLATEAU LOAD	PLATEAU STRESS	LOAD 15%	STRESS 15%	WORK 15%	LOAD 25%	STRESS 25%	WORK 25%	YIELD EXT	POSTYIELD GRADIENT	BREAK EXT	BREAK LOAD	BREAK STRESS	TOTAL WORK	TOUGHNESS
1	2963.2	63.9	73.2	51.5	3.826e+009	3.806e+001	3.06	1.244e-002	3.735e+001	1.260e-002	3.645e+001	1.230e-002	1.516e-003	3.750e+001	1.266e-002	2.622e-003	30.67	2.154e+000	59.29	5.870e+001	1.981e-002	7.514e-003	8.353e+007
2	4200.6	73.7	81	66.2	3.823e+009	5.391e+001	3.06	1.262e-002	5.499e+001	1.309e-002	5.360e+001	1.276e-002	2.243e-003	5.735e+001	1.365e-002	3.881e-003	27.6	4.250e+000	53.16	9.225e+001	2.196e-002	1.020e-002	8.001e+007
3	2919.4	62.8	71.2	52.1	4.400e+009	4.290e+001	2.56	1.187e-002	3.708e+001	1.270e-002	3.680e+001	1.261e-002	1.516e-003	3.915e+001	1.341e-002	2.643e-003	26.93	2.198e+000	52.36	5.450e+001	1.867e-002	6.378e-003	7.158e+007
4	4667.4	79.4	97	61.2	3.758e+009	5.913e+001	3.47	1.254e-002	6.167e+001	1.321e-002	6.195e+001	1.327e-002	2.447e-003	6.555e+001	1.404e-002	4.303e-003	22.69	4.212e+000	42.96	8.800e+001	1.885e-002	8.311e-003	5.888e+007
5	3832.7	70	77.7	62.8	3.676e+009	4.733e+001	3	1.241e-002	4.835e+001	1.262e-002	4.800e+001	1.252e-002	1.985e-003	5.025e+001	1.311e-002	3.450e-003	25.94	3.404e+000	50	7.390e+001	1.928e-002	8.010e-003	6.889e+007
6	3286.1	64.6	70.5	59.1	4.223e+009	4.622e+001	2.39	1.156e-002	4.201e+001	1.278e-002	4.250e+001	1.293e-002	1.761e-003	4.445e+001	1.353e-002	3.037e-003	24.12	2.372e+000	46.8	5.830e+001	1.774e-002	6.319e-003	6.284e+007
7	4112.2	72.7	84.5	61.9	4.252e+009	5.887e+001	2.64	1.187e-002	5.170e+001	1.257e-002	5.275e+001	1.283e-002	2.063e-003	5.595e+001	1.361e-002	3.725e-003	22.2	2.820e+000	43.21	7.155e+001	1.740e-002	7.083e-003	5.690e+007
8	3155	64	72.7	55.2	4.291e+009	4.548e+001	2.64	1.249e-002	4.137e+001	1.311e-002	4.110e+001	1.303e-002	1.712e-003	4.465e+001	1.415e-002	2.962e-003	23.27	2.798e+000	45.39	6.070e+001	1.924e-002	6.115e-003	6.388e+007
9	4021.1	75.5	92.4	55.4	4.438e+009	6.046e+001	2.76	1.266e-002	5.260e+001	1.308e-002	5.160e+001	1.283e-002	2.157e-003	5.460e+001	1.358e-002	3.707e-003	25.26	3.314e+000	49.45	7.685e+001	1.911e-002	8.398e-003	6.941e+007
10	3281	68.5	83.4	50.1	4.275e+009	4.651e+001	2.73	1.259e-002	4.224e+001	1.287e-002	4.195e+001	1.279e-002	1.763e-003	4.320e+001	1.317e-002	3.045e-003	27.91	2.641e+000	53.94	6.415e+001	1.955e-002	7.695e-003	7.630e+007
