RECORD	CROSS-SECTIONAL AREA	MEAN DIAMETER	MAX DIAMETER	MIN DIAMETER	ELASTIC EMOD	ELASTIC GRADIENT	ELASTIC EXT	ELASTIC STRESS	PLATEAU LOAD	PLATEAU STRESS	LOAD 15%	STRESS 15%	WORK 15%	LOAD 25%	STRESS 25%	WORK 25%	YIELD EXT	POSTYIELD GRADIENT	BREAK EXT	BREAK LOAD	BREAK STRESS	TOTAL WORK	TOUGHNESS
1	4828.3	80.5	95.7	64.2	3.617e+009	5.907e+001	3.58	1.242e-002	6.339e+001	1.313e-002	6.165e+001	1.277e-002	2.468e-003	6.575e+001	1.362e-002	4.322e-003	30.66	4.059e+000	59.12	1.054e+002	2.183e-002	1.302e-002	8.949e+007
2	3954.2	76.8	94.8	53.1	4.387e+009	5.843e+001	2.58	1.228e-002	5.206e+001	1.317e-002	5.360e+001	1.356e-002	2.139e-003	5.715e+001	1.445e-002	3.823e-003	18.97	1.925e+000	36.88	6.910e+001	1.747e-002	5.959e-003	4.980e+007
3	3592	76	97.1	47.1	4.339e+009	5.285e+001	3.03	1.350e-002	4.842e+001	1.348e-002	4.760e+001	1.325e-002	1.984e-003	4.890e+001	1.361e-002	3.415e-003	26.15	3.057e+000	51.2	7.020e+001	1.954e-002	7.961e-003	7.373e+007
4	4177.7	73.9	82.1	64.8	4.079e+009	5.676e+001	2.78	1.179e-002	5.015e+001	1.200e-002	4.990e+001	1.194e-002	2.079e-003	5.230e+001	1.252e-002	3.610e-003	23.56	2.845e+000	45.1	6.880e+001	1.647e-002	7.189e-003	5.624e+007
5	3738	70.2	78.4	60.7	4.130e+009	5.228e+001	2.86	1.219e-002	4.581e+001	1.225e-002	4.520e+001	1.209e-002	1.888e-003	4.640e+001	1.241e-002	3.225e-003	25.22	2.976e+000	49.44	6.590e+001	1.763e-002	7.240e-003	6.435e+007
6	3957.9	76.6	92.8	54.3	4.059e+009	5.441e+001	3.12	1.287e-002	5.168e+001	1.306e-002	5.135e+001	1.297e-002	2.097e-003	5.395e+001	1.363e-002	3.624e-003	25.02	3.454e+000	48.67	7.560e+001	1.910e-002	8.092e-003	6.792e+007
7	2980.7	65.5	76.7	49.5	3.854e+009	3.843e+001	2.95	1.290e-002	4.021e+001	1.349e-002							4.4	-2.28E+00	6.17	4.010e+001	1.345e-002	6.007e-004	6.614e+006
8	4008	72.9	84.7	60.3	3.932e+009	5.354e+001	4.3	1.366e-002	5.709e+001	1.424e-002	5.660e+001	1.412e-002	2.138e-003	5.920e+001	1.477e-002	3.821e-003	23.87	3.705e+000	44.5	7.965e+001	1.987e-002	7.733e-003	6.431e+007
9	2491	57.7	67	47.3	4.333e+009	3.670e+001	3.17	1.351e-002	3.636e+001	1.460e-002	3.715e+001	1.491e-002	1.401e-003	3.860e+001	1.550e-002	2.535e-003	25.12	1.951e+000	48.87	5.120e+001	2.055e-002	5.606e-003	7.507e+007
10	4644.2	80.2	96.7	61.2	4.035e+009	6.344e+001	3.09	1.269e-002	6.207e+001	1.336e-002	6.195e+001	1.334e-002	2.497e-003	6.570e+001	1.415e-002	4.408e-003	21.89	4.875e+000	42.41	9.130e+001	1.966e-002	8.384e-003	5.995e+007
11	2911.9	62.6	70.1	52.9	3.962e+009	3.909e+001	2.83	1.214e-002	3.690e+001	1.267e-002	3.750e+001	1.288e-002	1.501e-003	3.830e+001	1.315e-002	2.618e-003	22.41	2.339e+000	43.72	4.990e+001	1.714e-002	5.040e-003	5.754e+007
12	4493.5	77	88	65.1	3.614e+009	5.489e+001	3.12	1.250e-002	5.851e+001	1.302e-002	5.770e+001	1.284e-002	2.340e-003	6.090e+001	1.355e-002	4.126e-003	25.93	3.871e+000	50.1	8.655e+001	1.926e-002	9.503e-003	7.012e+007
13	3363.9	66.5	74.6	57.5	4.079e+009	4.622e+001	2.68	1.197e-002	4.271e+001	1.270e-002	4.275e+001	1.271e-002	1.741e-003	4.375e+001	1.301e-002	3.025e-003	30.7	2.080e+000	60.21	6.450e+001	1.917e-002	8.666e-003	8.514e+007
14	3237.5	69.9	86.6	47.6	4.850e+009	5.271e+001	2.11	1.141e-002	4.168e+001	1.287e-002	4.220e+001	1.303e-002	1.761e-003				12.62	2.191e-001	24.74	4.340e+001	1.341e-002	2.990e-003	3.042e+007
15	2616.9	57.6	60.1	55.5	4.049e+009	3.590e+001	3.02	1.278e-002	3.449e+001	1.318e-002	3.405e+001	1.301e-002	1.409e-003	3.530e+001	1.349e-002	2.418e-003	27.98	2.179e+000	54.54	5.425e+001	2.073e-002	6.357e-003	8.073e+007
16	3589.6	70	80.6	56.7	3.523e+009	4.265e+001	3.28	1.240e-002	4.438e+001	1.236e-002	4.350e+001	1.212e-002	1.783e-003	4.540e+001	1.265e-002	3.111e-003	28.76	2.616e+000	55.59	6.610e+001	1.841e-002	8.082e-003	7.450e+007
17	4322.2	75	83.7	65.7	3.387e+009	4.942e+001	3.28	1.266e-002	5.635e+001	1.304e-002	5.610e+001	1.298e-002	2.264e-003	5.965e+001	1.380e-002	3.973e-003	22.72	4.498e+000	43.39	8.425e+001	1.949e-002	7.861e-003	6.024e+007
18	3986.5	72.4	80.4	63.2	4.008e+009	5.375e+001	2.81	1.195e-002	5.100e+001	1.279e-002	5.195e+001	1.303e-002	2.099e-003	5.640e+001	1.415e-002	3.697e-003	19.6	2.994e+000	37.72	7.105e+001	1.782e-002	6.053e-003	5.011e+007
19	3717.8	71.3	83	57.1	4.153e+009	5.201e+001	2.91	1.296e-002	4.872e+001	1.310e-002	4.770e+001	1.283e-002	2.029e-003	4.915e+001	1.322e-002	3.472e-003	19.33	2.236e+000	37.08	5.945e+001	1.599e-002	5.371e-003	4.775e+007
20	2688.3	58.7	62.3	54.9	4.035e+009	3.678e+001	2.89	1.294e-002	3.493e+001	1.299e-002	3.460e+001	1.287e-002	1.433e-003	3.640e+001	1.354e-002	2.484e-003	22.65	2.141e+000	44.41	4.830e+001	1.797e-002	4.857e-003	6.011e+007
21	4866.9	78.7	85.7	72.3	3.911e+009	6.429e+001	3.08	1.254e-002	6.234e+001	1.281e-002	6.180e+001	1.270e-002	2.555e-003	6.475e+001	1.330e-002	4.425e-003	19.52	3.278e+000	37.28	7.970e+001	1.638e-002	6.975e-003	4.749e+007
