RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
1	4174.7	3.02E+01	8.67E-01	6.26E+09	3.68E-08	8.67E-03	2.65E-01	2.22E+01	8.95E-01	6.10E+01	3.32E-05	42.772	8.57E-01	2.05E+02
2	5508.4	3.07E+01	1.03E+00	5.72E+09	7.73E-07	1.39E-02	2.94E-01	1.51E+01	9.14E-01	4.99E+01	3.46E-05	53.409	1.11E+00	2.01E+02
3	5029.6	3.00E+01	1.14E-03	6.79E+06	0.00E+00	1.20E-02	2.00E-01	4.00E+00	8.01E-01	4.10E+00	3.52E-06	49.466	1.12E+00	2.23E+02
4	4505.9	3.02E+01	7.66E-01	5.13E+09	5.42E-07	1.31E-03	2.32E-01	1.29E+01	8.61E-01	4.51E+01	2.41E-05	8.176	6.58E-01	1.46E+02
5	3441.1	3.04E+01	6.19E-01	5.46E+09	9.81E-09	8.31E-03	2.30E-01	1.95E+01	8.23E-01	5.20E+01	2.24E-05	49.967	7.16E-01	2.08E+02
6	3898.5	3.03E+01	6.88E-01	5.36E+09	1.20E-07	6.87E-03	2.97E-01	2.05E+01	8.57E-01	5.11E+01	2.37E-05	38.266	7.61E-01	1.95E+02
7	5084.8	3.03E+01	1.00E+00	5.97E+09	0.00E+00	9.78E-03	2.64E-01	2.27E+01	8.92E-01	5.96E+01	4.00E-05	40.654	1.05E+00	2.07E+02
8														
9	3008.3	3.02E+01	5.94E-01	5.97E+09	1.57E-07	5.27E-03	2.65E-01	2.33E+01	8.60E-01	5.85E+01	2.22E-05	37.731	5.74E-01	1.91E+02
10	6883	3.02E+01	1.22E+00	5.36E+09	3.43E-07	1.37E-02	2.32E-01	1.40E+01	8.94E-01	4.91E+01	4.38E-05	44.455	1.35E+00	1.96E+02
11	5073.2	3.03E+01	9.01E-01	5.39E+09	5.20E-07	1.19E-02	2.64E-01	1.40E+01	8.25E-01	4.40E+01	2.46E-05	50.66	1.02E+00	2.00E+02
12	3697	3.01E+01	7.11E-01	5.79E+09	0.00E+00	7.96E-03	2.33E-01	2.12E+01	8.64E-01	5.73E+01	2.73E-05	45.183	7.80E-01	2.11E+02
13	4632	3.06E+01	8.53E-01	5.63E+09	4.17E-07	1.16E-02	2.62E-01	1.63E+01	8.18E-01	4.82E+01	2.60E-05	54.108	9.38E-01	2.03E+02
14	4435.1	3.01E+01	8.13E-01	5.51E+09	0.00E+00	1.27E-02	2.33E-01	2.04E+01	8.31E-01	5.30E+01	2.92E-05	55.932	1.06E+00	2.39E+02
15	2683.6	3.03E+01	5.33E-01	6.02E+09	2.23E-07	5.68E-03	2.31E-01	2.10E+01	8.90E-01	6.01E+01	2.21E-05	42.518	5.95E-01	2.22E+02
16	4687.3	3.01E+01	7.67E-01	4.92E+09	1.13E-07	1.12E-02	2.33E-01	1.52E+01	8.65E-01	4.59E+01	2.71E-05	51.564	9.90E-01	2.11E+02
17	5140.2	3.03E+01	1.01E+00	5.94E+09	4.42E-08	1.47E-02	2.64E-01	1.84E+01	8.25E-01	5.18E+01	3.04E-05	57.223	1.15E+00	2.24E+02
18														
19	5784.8	3.01E+01	1.04E+00	5.41E+09	8.76E-07	3.03E-03	2.66E-01	1.44E+01	8.30E-01	4.57E+01	2.99E-05	14.271	7.96E-01	1.38E+02
20	2570.1	3.01E+01	5.54E-01	6.48E+09	6.38E-08	5.08E-03	2.66E-01	2.54E+01	8.31E-01	6.26E+01	1.97E-05	42.035	5.01E-01	1.95E+02
21	3614.9	3.05E+01	5.65E-01	4.77E+09	1.20E-07	9.09E-03	2.30E-01	1.49E+01	8.85E-01	4.56E+01	2.19E-05	55.902	7.05E-01	1.95E+02
22	3313	3.04E+01	5.97E-01	5.48E+09	1.47E-08	7.98E-03	2.30E-01	1.91E+01	8.23E-01	5.12E+01	2.13E-05	50.955	7.11E-01	2.15E+02
23	5287.9	3.01E+01	9.57E-01	5.45E+09	0.00E+00	9.52E-03	2.66E-01	1.98E+01	8.30E-01	5.07E+01	3.19E-05	40.485	1.04E+00	1.97E+02
24	3589.4	3.04E+01	6.85E-01	5.80E+09	4.91E-09	8.15E-03	2.31E-01	2.01E+01	8.89E-01	5.81E+01	2.87E-05	49.506	7.48E-01	2.08E+02
25	4169	3.04E+01	7.04E-01	5.13E+09	1.91E-07	1.05E-02	2.31E-01	1.48E+01	8.24E-01	4.45E+01	2.24E-05	51.647	9.60E-01	2.30E+02
26	5328.9	3.03E+01	9.75E-01	5.54E+09	1.23E-07	1.11E-02	2.64E-01	1.73E+01	8.26E-01	4.88E+01	3.00E-05	45.145	1.09E+00	2.05E+02
27														
28	3590	3.06E+01	6.02E-01	5.12E+09	1.10E-07	8.15E-03	2.94E-01	2.19E+01	8.51E-01	5.08E+01	2.25E-05	50.572	6.98E-01	1.94E+02
29	4188.6	3.03E+01	8.52E-01	6.16E+09	4.91E-09	1.05E-02	2.64E-01	2.23E+01	8.25E-01	5.72E+01	2.81E-05	51.649	9.15E-01	2.18E+02
30	3060	3.05E+01	5.89E-01	5.87E+09	0.00E+00	6.17E-03	2.30E-01	2.23E+01	8.54E-01	5.85E+01	2.34E-05	44.072	6.21E-01	2.03E+02
31	2312.9	3.06E+01	4.58E-01	6.07E+09	0.00E+00	5.66E-03	2.94E-01	3.16E+01	8.82E-01	6.72E+01	2.06E-05	49.771	5.21E-01	2.25E+02
32	4598.5	3.01E+01	7.79E-01	5.10E+09	0.00E+00	8.62E-03	2.66E-01	2.00E+01	8.30E-01	4.82E+01	2.66E-05	44.736	8.59E-01	1.87E+02
33	2292.2	3.03E+01	3.89E-01	5.14E+09	0.00E+00	5.54E-03	2.64E-01	2.55E+01	8.25E-01	5.31E+01	1.53E-05	51.353	4.95E-01	2.16E+02
34	2967.4	3.08E+01	5.37E-01	5.57E+09	3.68E-07	7.94E-03	2.93E-01	2.13E+01	8.46E-01	5.19E+01	1.82E-05	55.057	6.37E-01	2.15E+02
35	5965.7	3.04E+01	1.07E+00	5.46E+09	5.72E-07	9.79E-03	2.30E-01	1.57E+01	8.22E-01	4.76E+01	3.44E-05	40.645	1.01E+00	1.69E+02
36	3246.1	3.03E+01	6.23E-01	5.82E+09	9.81E-09	5.68E-03	2.31E-01	2.18E+01	8.57E-01	5.91E+01	2.53E-05	40.211	6.04E-01	1.86E+02
