RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
1	4385.4	3.00E+01	-7.09E-04	-4.85E+06	0.00E+00	1.23E-02	2.00E-01	6.49E+00	8.01E-01	6.49E+00	5.07E-06	63.276	9.08E-01	2.07E+02
2	3868.2	3.03E+01	6.69E-01	5.24E+09	3.12E-07	7.98E-03	2.64E-01	1.93E+01	8.59E-01	5.11E+01	2.43E-05	47.323	7.57E-01	1.96E+02
3	4399.2	3.06E+01	7.03E-01	4.88E+09	4.22E-07	7.38E-03	2.62E-01	1.83E+01	8.18E-01	4.59E+01	2.47E-05	42.455	7.17E-01	1.63E+02
4	3192.7	3.04E+01	5.35E-01	5.10E+09	0.00E+00	8.83E-03	2.30E-01	2.01E+01	8.55E-01	5.13E+01	2.18E-05	58.717	6.83E-01	2.14E+02
5	2545.4	3.07E+01	4.85E-01	5.85E+09	0.00E+00	5.91E-03	2.93E-01	2.58E+01	8.15E-01	5.57E+01	1.69E-05	49.087	5.44E-01	2.14E+02
6	2314.7	3.04E+01	3.97E-01	5.21E+09	0.00E+00	5.49E-03	2.31E-01	2.56E+01	8.89E-01	6.00E+01	2.01E-05	52.569	4.81E-01	2.08E+02
7	4072.7	3.02E+01	7.26E-01	5.38E+09	0.00E+00	7.07E-03	2.32E-01	1.80E+01	8.61E-01	5.14E+01	2.70E-05	46.472	6.49E-01	1.59E+02
8	2854.3	3.01E+01	4.50E-01	4.75E+09	8.83E-08	5.76E-03	2.66E-01	1.98E+01	8.64E-01	4.83E+01	1.73E-05	49.236	5.20E-01	1.82E+02
9	2616.5	3.05E+01	4.66E-01	5.43E+09	0.00E+00	4.06E-03	2.30E-01	2.42E+01	8.54E-01	5.74E+01	2.05E-05	39.672	4.18E-01	1.60E+02
10	4596.6	3.03E+01	8.19E-01	5.40E+09	2.94E-08	5.94E-03	2.64E-01	1.97E+01	8.25E-01	4.99E+01	2.70E-05	33.465	6.87E-01	1.49E+02
11	4439	3.02E+01	7.97E-01	5.42E+09	0.00E+00	9.76E-03	2.32E-01	1.70E+01	8.62E-01	5.03E+01	2.85E-05	49.088	9.11E-01	2.05E+02
12	3813.9	3.01E+01	7.64E-01	6.03E+09	9.81E-09	6.85E-03	2.33E-01	1.87E+01	8.64E-01	5.67E+01	2.75E-05	40.858	7.43E-01	1.95E+02
13	2164.4	3.02E+01	3.93E-01	5.47E+09	0.00E+00	6.00E-03	2.65E-01	2.54E+01	8.62E-01	5.82E+01	1.67E-05	57.313	4.92E-01	2.27E+02
14	5105.2	3.03E+01	9.18E-01	5.44E+09	0.00E+00	1.19E-02	2.64E-01	2.02E+01	8.59E-01	5.31E+01	3.35E-05	53.272	1.01E+00	1.97E+02
15	2850.5	3.04E+01	5.64E-01	6.02E+09	0.00E+00	6.79E-03	2.30E-01	2.36E+01	8.22E-01	5.87E+01	2.11E-05	47.059	6.44E-01	2.26E+02
