RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
1	3256.3	3.0160e+001	6.128e-001	5.676e+009	0.000e+000	1.115e-002	2.653e-001	2.546e+001	8.952e-001	6.056e+001	2.681e-005	63.859	8.138e-001	2.499e+002
2	4182.1	3.0070e+001	7.228e-001	5.197e+009	4.832e-007	4.660e-002	2.660e-001	4.557e+002	8.314e-001	4.852e+002	3.346e-004	61.457	2.786e+000	6.662e+002
3	4939.9	3.0400e+001	9.539e-001	5.870e+009	0.000e+000	8.360e-003	2.303e-001	-6.64E+01	8.224e-001	-3.15E+01	4.395e-005	58.322	8.128e-001	1.645e+002
4	4096.3	2.9970e+001	7.339e-001	5.369e+009	1.199e-006	3.921e-002	2.002e-001	5.368e+002	8.342e-001	5.696e+002	4.292e-004	45.612	3.120e+000	7.616e+002
5	2844.2	3.0360e+001	5.582e-001	5.958e+009	0.000e+000	4.467e-002	2.964e-001	7.823e+002	8.893e-001	8.173e+002	4.099e-004	55.665	2.842e+000	9.991e+002
6	2086.4	2.9980e+001	2.392e+000	3.437e+010	0.000e+000	4.050e-002	2.001e-001	6.012e+002	8.005e-001	8.452e+002	3.097e-004	65.577	2.233e+000	1.070e+003
7														
8	3278.8	2.9980e+001	4.075e-002	3.726e+008	0.000e+000	2.774e-003	2.001e-001	2.837e+002	8.005e-001	2.893e+002	1.689e-004	7.905	1.367e+000	4.170e+002
9	3060.2	3.0300e+001	4.979e-001	4.930e+009	1.251e-007	1.044e-002	2.640e-001	1.924e+001	8.251e-001	4.681e+001	1.740e-005	65.182	7.319e-001	2.392e+002
10														
11	2540.4	3.0080e+001	4.671e-001	5.531e+009	0.000e+000	9.058e-003	2.660e-001	2.549e+001	8.644e-001	5.889e+001	1.966e-005	65.259	6.617e-001	2.605e+002
12	3876.9	2.9980e+001	6.606e-001	5.109e+009	5.901e-006	1.034e-002	1.034e+000	2.973e+001	1.334e+000	4.492e+001	1.289e-005	50.834	9.717e-001	2.506e+002
13	3237.8	3.0070e+001	5.528e-001	5.134e+009	7.358e-009	6.878e-003	2.328e-001	1.848e+001	8.314e-001	4.848e+001	1.936e-005	43.399	7.289e-001	2.251e+002
14	3638.1	3.0430e+001	7.098e-001	5.937e+009	0.000e+000	9.982e-003	2.300e-001	2.198e+001	8.216e-001	5.771e+001	2.637e-005	55.866	8.064e-001	2.217e+002
15	3696.3	3.0010e+001	6.475e-001	5.257e+009	0.000e+000	7.412e-003	2.333e-001	1.977e+001	8.331e-001	5.056e+001	2.343e-005	44.818	7.716e-001	2.088e+002
