RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
1	3401.9	3.02E+01	6.69E-01	5.93E+09	0.00E+00	6.98E-03	2.65E-01	2.44E+01	8.62E-01	6.01E+01	2.61E-05			
2	3973.4	3.02E+01	7.97E-01	6.05E+09	-2.45E-08	8.48E-03	2.32E-01	2.01E+01	8.62E-01	5.75E+01	2.94E-05	42.923	9.14E-01	2.30E+02
3	4999.6	3.03E+01	8.18E-01	4.95E+09	3.31E-07	1.25E-02	2.64E-01	1.81E+01	8.59E-01	4.80E+01	2.98E-05	59.451	9.48E-01	1.90E+02
4	5873.1	3.00E+01	9.90E-01	5.05E+09	3.69E-06	1.61E-02	9.34E-01	2.08E+01	1.50E+00	4.86E+01	3.47E-05	56.304	1.38E+00	2.34E+02
5	2468.3	3.07E+01	4.18E-01	5.19E+09	0.00E+00	6.54E-03	2.94E-01	2.74E+01	9.14E-01	5.92E+01	2.07E-05	59.511	5.07E-01	2.05E+02
6	3119.7	3.02E+01	5.30E-01	5.13E+09	2.45E-08	8.61E-03	2.32E-01	1.84E+01	8.61E-01	5.06E+01	2.03E-05	57.867	6.94E-01	2.23E+02
7	4174.1	3.02E+01	7.57E-01	5.48E+09	0.00E+00	9.45E-03	2.32E-01	1.93E+01	8.61E-01	5.38E+01	2.88E-05	49.586	8.72E-01	2.09E+02
8	3260.1	3.02E+01	6.02E-01	5.58E+09	-4.91E-09	8.56E-03	2.32E-01	2.06E+01	8.27E-01	5.30E+01	2.09E-05	54.467	7.36E-01	2.26E+02
9	2844.4	3.02E+01	5.51E-01	5.86E+09	0.00E+00	7.44E-03	2.32E-01	2.41E+01	8.27E-01	5.92E+01	2.15E-05	53.258	6.50E-01	2.28E+02
10	3905.6	3.02E+01	6.98E-01	5.39E+09	0.00E+00	8.59E-03	2.32E-01	2.01E+01	8.61E-01	5.45E+01	2.78E-05	50.911	7.51E-01	1.92E+02
11	2646.1	3.01E+01	4.78E-01	5.45E+09	1.13E-07	8.49E-03	2.32E-01	1.93E+01	8.63E-01	5.47E+01	1.88E-05	66.257	6.04E-01	2.28E+02
12	2961.5	3.04E+01	5.20E-01	5.34E+09	-7.36E-09	9.27E-03	2.30E-01	1.87E+01	8.22E-01	5.07E+01	1.82E-05	60.066	6.95E-01	2.35E+02
13	4013.9	3.01E+01	6.75E-01	5.06E+09	0.00E+00	1.18E-02	2.32E-01	1.85E+01	8.63E-01	5.04E+01	2.66E-05	58.831	9.52E-01	2.37E+02
14	3091.4	3.00E+01	4.77E-01	4.62E+09	1.86E-05	8.37E-03	1.84E+00	1.51E+01	2.67E+00	5.24E+01	2.43E-05	53.954	7.36E-01	2.38E+02
15	2243.3	3.01E+01	4.28E-01	5.75E+09	0.00E+00	6.65E-03	2.65E-01	2.54E+01	8.63E-01	5.97E+01	1.69E-05	60.451	5.10E-01	2.27E+02
16	3466	3.01E+01	6.85E-01	5.95E+09	-4.91E-09	9.96E-03	2.33E-01	1.87E+01	8.31E-01	5.39E+01	2.33E-05	56.265	8.29E-01	2.39E+02
17	3916.9	3.02E+01	7.50E-01	5.79E+09	3.14E-07	1.18E-02	2.65E-01	1.77E+01	8.60E-01	5.16E+01	2.45E-05	56.845	9.59E-01	2.45E+02
18	4229.4	3.00E+01	7.24E-01	5.14E+09	0.00E+00	1.08E-02	2.33E-01	1.64E+01	8.66E-01	4.77E+01	2.53E-05	54.497	9.28E-01	2.19E+02
19	2019.9	3.02E+01	4.03E-01	6.03E+09	0.00E+00	6.94E-03	2.32E-01	2.57E+01	8.27E-01	6.19E+01	1.58E-05	66.81	4.79E-01	2.37E+02
20	4853.4	3.02E+01	8.19E-01	5.10E+09	1.18E-07	1.09E-02	2.32E-01	1.73E+01	8.61E-01	4.98E+01	3.07E-05	48.328	1.05E+00	2.17E+02
21	2219.6	3.02E+01	4.58E-01	6.23E+09	8.83E-08	5.75E-03	2.65E-01	2.61E+01	8.27E-01	6.12E+01	1.65E-05	52.713	4.98E-01	2.25E+02
22	3786.4	3.01E+01	6.32E-01	5.02E+09	1.59E-07	7.90E-03	2.66E-01	1.83E+01	8.31E-01	4.70E+01	2.13E-05	46.292	7.72E-01	2.04E+02
23	2667.2	3.03E+01	4.89E-01	5.55E+09	2.80E-07	7.30E-03	2.97E-01	2.35E+01	8.58E-01	5.48E+01	1.83E-05	55.233	6.25E-01	2.34E+02
24	4781.5	3.02E+01	9.06E-01	5.72E+09	-4.42E-08	1.38E-02	2.32E-01	1.77E+01	8.62E-01	5.34E+01	3.23E-05	57.806	1.12E+00	2.35E+02
25	6044.2	3.02E+01	1.06E+00	5.32E+09	5.20E-07	1.40E-02	2.65E-01	1.50E+01	8.60E-01	4.64E+01	3.36E-05	50.099	1.28E+00	2.12E+02
26	2986.8	3.03E+01	5.60E-01	5.69E+09	0.00E+00	9.04E-03	2.64E-01	2.45E+01	8.25E-01	5.58E+01	2.06E-05	56.37	7.50E-01	2.51E+02
27	4270.4	3.03E+01	8.30E-01	5.89E+09	2.72E-07	1.30E-02	2.97E-01	2.45E+01	8.57E-01	5.76E+01	3.04E-05	58.833	1.03E+00	2.40E+02
28	2941.6	3.02E+01	5.35E-01	5.49E+09	0.00E+00	6.20E-03	2.32E-01	2.20E+01	8.62E-01	5.55E+01	2.19E-05	47.564	5.98E-01	2.03E+02
29	4393.2	3.01E+01	6.97E-01	4.78E+09	8.34E-08	1.05E-02	2.33E-01	1.50E+01	8.31E-01	4.34E+01	2.33E-05	51.047	9.40E-01	2.14E+02
30	4170.1	3.02E+01	7.76E-01	5.63E+09	0.00E+00	1.22E-02	2.32E-01	2.00E+01	8.60E-01	5.44E+01	2.94E-05	56.283	1.03E+00	2.47E+02
31	2510.6	3.01E+01	5.10E-01	6.12E+09	0.00E+00	6.08E-03	2.32E-01	2.58E+01	8.63E-01	6.51E+01	2.21E-05	48.373	5.72E-01	2.28E+02
32	2765.1	3.03E+01	5.60E-01	6.13E+09	-4.91E-09	8.35E-03	2.64E-01	2.59E+01	8.59E-01	6.32E+01	2.22E-05	56.94	6.95E-01	2.51E+02
33	4286.9	3.03E+01	6.80E-01	4.80E+09	4.42E-07	1.00E-02	2.64E-01	1.57E+01	8.59E-01	4.38E+01	2.23E-05	49.438	9.49E-01	2.21E+02
34	3444.8	3.03E+01	6.02E-01	5.30E+09	0.00E+00	9.21E-03	2.64E-01	2.09E+01	8.58E-01	5.14E+01	2.26E-05	54.716	7.79E-01	2.26E+02
35	4302.6	3.01E+01	7.24E-01	5.06E+09	5.89E-08	1.22E-02	2.33E-01	1.55E+01	8.31E-01	4.63E+01	2.41E-05	58.425	9.82E-01	2.28E+02
36	4206.3	3.01E+01	8.39E-01	6.00E+09	-2.45E-08	9.00E-03	2.33E-01	1.77E+01	8.65E-01	5.53E+01	2.92E-05	44.212	9.49E-01	2.26E+02
37														
38	2513.9	3.02E+01	3.82E-01	4.59E+09	0.00E+00	6.21E-03	2.32E-01	2.11E+01	8.27E-01	4.78E+01	1.57E-05	59.808	4.60E-01	1.83E+02
39	2225.9	3.03E+01	4.34E-01	5.92E+09	0.00E+00	7.17E-03	2.97E-01	2.80E+01	8.57E-01	6.13E+01	1.73E-05	60.58	5.42E-01	2.44E+02
40	3480.7	3.01E+01	6.50E-01	5.63E+09	0.00E+00	8.92E-03	2.32E-01	2.16E+01	8.63E-01	5.79E+01	2.65E-05	51.66	8.07E-01	2.32E+02
41	4108.1	3.02E+01	8.35E-01	6.15E+09	1.72E-07	1.16E-02	2.65E-01	2.02E+01	8.60E-01	5.71E+01	2.89E-05	51.257	1.06E+00	2.57E+02
42	2605.4	3.04E+01	5.16E-01	6.01E+09	0.00E+00	6.51E-03	2.31E-01	2.32E+01	8.89E-01	6.21E+01	2.27E-05	51.812	5.69E-01	2.18E+02
43	3488.4	3.05E+01	5.63E-01	4.93E+09	0.00E+00	8.77E-03	2.29E-01	1.93E+01	8.84E-01	5.08E+01	2.43E-05	56.698	6.93E-01	1.99E+02
44	3071.1	3.01E+01	5.92E-01	5.80E+09	0.00E+00	7.56E-03	2.33E-01	2.09E+01	8.64E-01	5.75E+01	2.31E-05	50.997	6.90E-01	2.25E+02
45	3147.1	3.03E+01	6.45E-01	6.21E+09	0.00E+00	8.75E-03	2.64E-01	2.56E+01	8.25E-01	6.03E+01	2.32E-05	54.422	7.31E-01	2.32E+02
