RECORD	CROSS-SECTIONAL AREA	MEAN DIAMETER	MAX DIAMETER	MIN DIAMETER	ELASTIC EMOD	ELASTIC GRADIENT	ELASTIC EXT	ELASTIC STRESS	PLATEAU LOAD	PLATEAU STRESS	LOAD 15%	STRESS 15%	WORK 15%	LOAD 25%	STRESS 25%	WORK 25%	YIELD EXT	POSTYIELD GRADIENT	BREAK EXT	BREAK LOAD	BREAK STRESS	TOTAL WORK	TOUGHNESS
1	4174.7	78.5	95.1	55.9	4.23E+09	5.96E+01	3.15	1.49E-02	6.54E+01	1.57E-02	6.50E+01	1.56E-02	2.65E-03	6.93E+01	1.66E-02	4.65E-03	22.28	3.36E+00	42.77	8.73E+01	2.09E-02	8.67E-03	6.89E+07
2	5508.4	86.9	102.9	68.2	4.05E+09	7.41E+01	3.33	1.39E-02	8.02E+01	1.46E-02	7.98E+01	1.45E-02	3.28E-03	8.20E+01	1.49E-02	5.68E-03	28.09	4.35E+00	53.41	1.13E+02	2.05E-02	1.39E-02	8.21E+07
3	5029.6	83.7	98.4	65.1	4.06E+09	6.94E+01	4.14	1.38E-02	7.66E+01	1.52E-02	7.69E+01	1.53E-02	2.80E-03	8.02E+01	1.59E-02	5.14E-03	26.12	5.28E+00	49.47	1.14E+02	2.27E-02	1.20E-02	7.98E+07
4	4505.9	76.8	87.4	65.7	3.79E+09	5.77E+01	3.57	1.42E-02	6.68E+01	1.48E-02							5.59	2.03E-01	8.18	6.71E+01	1.49E-02	1.31E-03	9.65E+06
5	3441.1	67.3	77	56.9	4.14E+09	4.78E+01	3.42	1.48E-02	5.20E+01	1.51E-02	5.12E+01	1.49E-02	2.12E-03	5.25E+01	1.52E-02	3.66E-03	26.17	3.00E+00	49.97	7.30E+01	2.12E-02	8.31E-03	7.95E+07
6	3898.5	73.1	85	58.4	4.00E+09	5.23E+01	3.56	1.44E-02	5.88E+01	1.51E-02	5.90E+01	1.51E-02	2.39E-03	6.19E+01	1.59E-02	4.15E-03	20.4	3.35E+00	38.27	7.76E+01	1.99E-02	6.87E-03	5.81E+07
7	5084.8	82.8	101	64.1	4.34E+09	7.42E+01	3.1	1.40E-02	7.65E+01	1.50E-02	7.65E+01	1.50E-02	3.10E-03	8.15E+01	1.60E-02	5.44E-03	21.2	5.19E+00	40.65	1.07E+02	2.11E-02	9.78E-03	6.35E+07
8																							
9	3008.3	63.6	74.2	51.6	4.06E+09	4.12E+01	3.24	1.48E-02	4.66E+01	1.55E-02	4.67E+01	1.55E-02	1.91E-03	4.83E+01	1.61E-02	3.29E-03	19.81	2.17E+00	37.73	5.86E+01	1.95E-02	5.27E-03	5.80E+07
10	6883	98.1	121.3	72.2	3.85E+09	8.95E+01	3.44	1.37E-02	9.74E+01	1.42E-02	9.63E+01	1.40E-02	3.95E-03	1.01E+02	1.47E-02	6.86E-03	23.4	6.61E+00	44.46	1.38E+02	2.00E-02	1.37E-02	6.58E+07
11	5073.2	83.2	101.7	63.5	4.10E+09	6.99E+01	3.33	1.39E-02	7.31E+01	1.44E-02	7.27E+01	1.43E-02	2.92E-03	7.59E+01	1.50E-02	5.13E-03	26.42	3.95E+00	50.66	1.04E+02	2.04E-02	1.19E-02	7.71E+07
12	3697	70.7	82.1	57.3	4.71E+09	5.89E+01	2.86	1.37E-02	5.51E+01	1.49E-02	5.50E+01	1.49E-02	2.24E-03	5.86E+01	1.59E-02	3.89E-03	23.09	3.64E+00	45.18	7.95E+01	2.15E-02	7.96E-03	7.15E+07
13	4632	79.1	93.5	63	4.24E+09	6.55E+01	3.11	1.34E-02	6.46E+01	1.40E-02	6.37E+01	1.38E-02	2.65E-03	6.66E+01	1.44E-02	4.58E-03	28.15	3.76E+00	54.11	9.57E+01	2.07E-02	1.16E-02	8.19E+07
14	4435.1	76.4	89.6	63	4.36E+09	6.55E+01	3.06	1.36E-02	6.58E+01	1.48E-02	6.54E+01	1.48E-02	2.61E-03	6.79E+01	1.53E-02	4.58E-03	28.58	4.48E+00	55.93	1.08E+02	2.44E-02	1.27E-02	9.55E+07
15	2683.6	60.9	70.7	48.3	4.15E+09	3.74E+01	3.16	1.46E-02	4.18E+01	1.56E-02	4.19E+01	1.56E-02	1.69E-03	4.43E+01	1.65E-02	2.97E-03	22.35	3.11E+00	42.52	6.07E+01	2.26E-02	5.68E-03	6.97E+07
16	4687.3	77.4	85.6	69.8	3.77E+09	5.99E+01	3.36	1.33E-02	6.62E+01	1.41E-02	6.54E+01	1.40E-02	2.61E-03	7.01E+01	1.49E-02	4.62E-03	26.75	4.39E+00	51.56	1.01E+02	2.15E-02	1.12E-02	7.97E+07
17	5140.2	84.1	100.2	65.3	4.16E+09	7.19E+01	3.23	1.43E-02	7.65E+01	1.49E-02	7.55E+01	1.47E-02	3.08E-03	7.83E+01	1.52E-02	5.36E-03	29.68	4.29E+00	57.22	1.17E+02	2.28E-02	1.47E-02	9.46E+07
18																							
19	5784.8	89.4	108.6	67.9	3.78E+09	7.39E+01	3.12	1.29E-02	7.78E+01	1.34E-02							7.9	1.14E+00	14.27	8.12E+01	1.40E-02	3.03E-03	1.74E+07
20	2570.1	60.7	74.3	44	5.11E+09	4.45E+01	2.86	1.51E-02	3.96E+01	1.54E-02	3.93E+01	1.53E-02	1.63E-03	4.14E+01	1.61E-02	2.81E-03	21.48	1.91E+00	42.04	5.11E+01	1.99E-02	5.08E-03	6.58E+07
21	3614.9	69.2	79	58.2	3.71E+09	4.49E+01	3.41	1.32E-02	4.94E+01	1.37E-02	4.89E+01	1.35E-02	2.00E-03	5.05E+01	1.40E-02	3.47E-03	29.31	2.56E+00	55.9	7.19E+01	1.99E-02	9.09E-03	8.24E+07
22	3313	65.1	69.8	60.4	4.10E+09	4.56E+01	3.13	1.35E-02	4.69E+01	1.42E-02	4.64E+01	1.40E-02	1.90E-03	4.86E+01	1.47E-02	3.31E-03	26.56	3.27E+00	50.95	7.25E+01	2.19E-02	7.98E-03	7.93E+07
23	5287.9	82.3	88.8	75.8	4.28E+09	7.67E+01	3.19	1.37E-02	7.55E+01	1.43E-02	7.53E+01	1.42E-02	3.06E-03	7.99E+01	1.51E-02	5.36E-03	21.12	5.29E+00	40.48	1.06E+02	2.01E-02	9.52E-03	5.98E+07
