RECORD	CROSS-SECTIONAL AREA	MEAN DIAMETER	MAX DIAMETER	MIN DIAMETER	ELASTIC EMOD	ELASTIC GRADIENT	ELASTIC EXT	ELASTIC STRESS	PLATEAU LOAD	PLATEAU STRESS	LOAD 15%	STRESS 15%	WORK 15%	LOAD 25%	STRESS 25%	WORK 25%	YIELD EXT	POSTYIELD GRADIENT	BREAK EXT	BREAK LOAD	BREAK STRESS	TOTAL WORK	TOUGHNESS
1	4385.4	75.6	81.9	68.2	3.82E+09	5.69E+01	4.24	1.25E-02	5.75E+01	1.31E-02	5.63E+01	1.28E-02	2.10E-03	5.76E+01	1.31E-02	3.79E-03	33.12	3.15E+00	63.28	9.25E+01	2.11E-02	1.23E-02	9.34E+07
2	3868.2	72.8	89	55.3	3.77E+09	4.91E+01	3.04	1.28E-02	5.20E+01	1.34E-02	5.23E+01	1.35E-02	2.10E-03	5.44E+01	1.41E-02	3.69E-03	24.55	3.72E+00	47.32	7.72E+01	2.00E-02	7.98E-03	6.82E+07
3	4399.2	78.2	93.1	60.5	3.74E+09	5.49E+01	3.11	1.24E-02	5.62E+01	1.28E-02	5.63E+01	1.28E-02	2.33E-03	5.88E+01	1.34E-02	4.03E-03	22.42	2.54E+00	42.45	7.31E+01	1.66E-02	7.38E-03	5.49E+07
4	3192.7	67.4	79.4	51.3	4.08E+09	4.36E+01	3.06	1.32E-02	4.36E+01	1.37E-02	4.30E+01	1.35E-02	1.78E-03	4.43E+01	1.39E-02	3.08E-03	30.3	2.58E+00	58.72	6.96E+01	2.18E-02	8.83E-03	9.10E+07
5	2545.4	57.2	59.5	54.5	3.99E+09	3.38E+01	2.93	1.32E-02	3.56E+01	1.40E-02	3.54E+01	1.39E-02	1.47E-03	3.73E+01	1.47E-02	2.56E-03	25.72	2.65E+00	49.09	5.54E+01	2.18E-02	5.91E-03	7.57E+07
6	2314.7	55.4	61.6	47.8	4.03E+09	3.14E+01	2.83	1.25E-02	3.07E+01	1.33E-02	3.04E+01	1.31E-02	1.27E-03	3.19E+01	1.38E-02	2.19E-03	27.04	2.22E+00	52.57	4.91E+01	2.12E-02	5.49E-03	7.82E+07
7	4072.7	72.9	79.2	65.5	3.83E+09	5.27E+01	2.68	1.15E-02	4.88E+01	1.20E-02	4.86E+01	1.19E-02	2.00E-03	4.96E+01	1.22E-02	3.46E-03	23.68	2.78E+00	46.47	6.62E+01	1.62E-02	7.07E-03	5.75E+07
8	2854.3	60.3	64.6	56.2	3.39E+09	3.28E+01	3.22	1.25E-02	3.67E+01	1.29E-02	3.63E+01	1.27E-02	1.50E-03	3.73E+01	1.31E-02	2.57E-03	25.42	2.43E+00	49.24	5.30E+01	1.86E-02	5.76E-03	6.70E+07
9	2616.5	58	62.1	53.7	4.10E+09	3.59E+01	2.63	1.21E-02	3.34E+01	1.28E-02	3.44E+01	1.32E-02	1.39E-03	3.51E+01	1.34E-02	2.42E-03	20.53	1.30E+00	39.67	4.27E+01	1.63E-02	4.06E-03	5.10E+07
10	4596.6	79.2	94.2	62.2	4.02E+09	6.22E+01	2.9	1.26E-02	6.06E+01	1.32E-02	6.08E+01	1.32E-02	2.50E-03	6.25E+01	1.36E-02	4.34E-03	17.46	1.53E+00	33.47	7.00E+01	1.52E-02	5.94E-03	4.26E+07
11	4439	80.7	96.8	58.4	3.98E+09	5.96E+01	2.98	1.29E-02	5.99E+01	1.35E-02	5.92E+01	1.33E-02	2.43E-03	6.27E+01	1.41E-02	4.23E-03	25.32	4.52E+00	49.09	9.29E+01	2.09E-02	9.76E-03	7.29E+07
12	3813.9	74.5	90.6	53.6	4.58E+09	5.91E+01	2.96	1.37E-02	5.39E+01	1.41E-02	5.35E+01	1.40E-02	2.19E-03	5.61E+01	1.47E-02	3.82E-03	21.08	3.89E+00	40.86	7.58E+01	1.99E-02	6.85E-03	5.97E+07
13	2164.4	53.2	56.7	48.6	4.26E+09	3.12E+01	2.72	1.26E-02	2.97E+01	1.37E-02	2.94E+01	1.36E-02	1.21E-03	3.10E+01	1.43E-02	2.08E-03	29.09	2.01E+00	57.31	5.01E+01	2.32E-02	6.00E-03	9.19E+07
14	5105.2	85.8	107.3	60.5	4.08E+09	7.01E+01	2.91	1.25E-02	6.70E+01	1.31E-02	6.73E+01	1.32E-02	2.74E-03	6.81E+01	1.33E-02	4.76E-03	27.46	4.45E+00	53.27	1.03E+02	2.01E-02	1.19E-02	7.69E+07
15	2850.5	70.8	89	40.8	4.47E+09	4.26E+01	3.09	1.50E-02	4.42E+01	1.55E-02	4.35E+01	1.52E-02	1.80E-03	4.62E+01	1.62E-02	3.14E-03	24.65	3.13E+00	47.06	6.57E+01	2.30E-02	6.79E-03	7.83E+07
16	5590.7	90.8	112.2	63.5	3.93E+09	7.43E+01	3.09	1.26E-02	7.32E+01	1.31E-02							5.71	-9.65E-01	9.16	7.14E+01	1.28E-02	1.69E-03	1.00E+07
17	3773.8	73.4	87	55.2	3.92E+09	5.00E+01	2.88	1.24E-02	4.82E+01	1.28E-02	4.80E+01	1.27E-02	1.95E-03	5.31E+01	1.41E-02	3.44E-03	22.8	2.18E+00	44.25	6.60E+01	1.75E-02	6.71E-03	5.89E+07
18	5600.2	84.5	98	72.7	3.68E+09	6.93E+01	3.03	1.20E-02	7.03E+01	1.26E-02	7.03E+01	1.26E-02	2.89E-03	7.28E+01	1.30E-02	4.98E-03	24.23	4.78E+00	46.74	1.02E+02	1.83E-02	1.06E-02	6.25E+07
19	3785.8	74.3	89.8	53.7	3.93E+09	5.00E+01	3	1.30E-02	5.12E+01	1.35E-02	5.03E+01	1.33E-02	2.08E-03	5.23E+01	1.38E-02	3.61E-03	29.73	3.10E+00	57.64	8.09E+01	2.14E-02	1.01E-02	8.78E+07
20	5560.9	84.3	87.9	80.6	3.54E+09	6.60E+01	3.03	1.14E-02	6.63E+01	1.19E-02	6.54E+01	1.18E-02	2.68E-03	6.73E+01	1.21E-02	4.66E-03	30.81	3.77E+00	59.84	1.04E+02	1.87E-02	1.35E-02	7.99E+07
21																							
22	3352.4	65.8	69.9	61.1	4.17E+09	4.74E+01	3.13	1.36E-02	4.76E+01	1.42E-02	4.74E+01	1.41E-02	1.93E-03	5.01E+01	1.49E-02	3.37E-03	23.25	3.58E+00	44.98	7.08E+01	2.11E-02	6.89E-03	6.84E+07
23	4582.7	82.7	101.5	57.5	4.07E+09	6.22E+01	3.05	1.29E-02	6.11E+01	1.33E-02	6.05E+01	1.32E-02	2.50E-03	6.35E+01	1.39E-02	4.32E-03	26.74	3.84E+00	51.21	9.04E+01	1.97E-02	1.03E-02	7.35E+07
24	2384.3	56.6	62.8	48.4	4.17E+09	3.36E+01	2.72	1.24E-02	3.14E+01	1.32E-02	3.14E+01	1.32E-02	1.28E-03	3.26E+01	1.37E-02	2.23E-03	26.9	2.28E+00	53.07	5.03E+01	2.11E-02	5.64E-03	7.86E+07
25	3004.4	64.7	75.5	50.6	4.48E+09	4.56E+01	2.73	1.28E-02	4.04E+01	1.34E-02	4.01E+01	1.34E-02	1.65E-03	4.23E+01	1.41E-02	2.87E-03	22.81	2.77E+00	44.73	5.81E+01	1.93E-02	5.76E-03	6.37E+07
26	3288	65.6	72.2	58	4.15E+09	4.59E+01	2.96	1.32E-02	4.54E+01	1.38E-02	4.53E+01	1.38E-02	1.86E-03	4.64E+01	1.41E-02	3.23E-03	25.13	3.14E+00	48.58	6.71E+01	2.04E-02	7.18E-03	7.20E+07
27	2612.7	58.6	63.4	52.5	4.08E+09	3.58E+01	3	1.31E-02	3.60E+01	1.38E-02	3.49E+01	1.34E-02	1.45E-03	3.71E+01	1.42E-02	2.52E-03	29.23	2.37E+00	56.71	5.90E+01	2.26E-02	7.10E-03	8.94E+07
28	3397.1	71.9	89.5	48.3	4.57E+09	5.26E+01	2.96	1.36E-02	4.54E+01	1.34E-02	4.48E+01	1.32E-02	1.86E-03	4.58E+01	1.35E-02	3.21E-03	24.74	2.22E+00	48.45	5.95E+01	1.75E-02	6.73E-03	6.59E+07
