RECORD	CROSS-SECTIONAL AREA	MEAN DIAMETER	MAX DIAMETER	MIN DIAMETER	ELASTIC EMOD	ELASTIC GRADIENT	ELASTIC EXT	ELASTIC STRESS	PLATEAU LOAD	PLATEAU STRESS	LOAD 15%	STRESS 15%	WORK 15%	LOAD 25%	STRESS 25%	WORK 25%	YIELD EXT	POSTYIELD GRADIENT	BREAK EXT	BREAK LOAD	BREAK STRESS	TOTAL WORK	TOUGHNESS
1	3256.3	67	78.1	53.1	4.34E+09	4.78E+01	2.92	1.34E-02	4.94E+01	1.52E-02	4.79E+01	1.47E-02	1.93E-03	5.18E+01	1.59E-02	3.38E-03	32.56	2.80E+00	63.86	8.30E+01	2.55E-02	1.12E-02	1.14E+08
2	4182.1	80.2	101.5	52.5	3.84E+09	5.44E+01	3.13	5.76E-02	2.47E+02	5.90E-02	2.46E+02	5.88E-02	1.07E-02	2.49E+02	5.96E-02	1.80E-02	31.39	3.36E+00	61.46	2.84E+02	6.79E-02	4.66E-02	3.71E+08
3	4939.9	82.7	97.6	64.4	4.21E+09	6.97E+01	3.19	5.72E-03	3.52E+01	7.13E-03	3.33E+01	6.74E-03	1.36E-03	3.74E+01	7.56E-03	2.40E-03	30.3	4.67E+00	58.32	8.29E+01	1.68E-02	8.44E-03	5.62E+07
4	4096.3	80.4	103.5	50.5	4.08E+09	5.68E+01	3.44	6.88E-02	2.87E+02	7.00E-02	2.87E+02	7.01E-02	1.24E-02	2.91E+02	7.10E-02	2.09E-02	23.62	4.57E+00	45.61	3.18E+02	7.76E-02	3.92E-02	3.19E+08
5	2844.2	61.2	64.8	55.9	4.00E+09	3.82E+01	2.93	9.08E-02	2.62E+02	9.22E-02	2.62E+02	9.20E-02	1.16E-02	2.65E+02	9.30E-02	1.94E-02	28.75	2.88E+00	55.67	2.90E+02	1.02E-01	4.47E-02	5.17E+08
6	2086.4	58.3	72.1	36.8	2.48E+11	1.76E+03	0.3	7.59E-02	1.98E+02	9.49E-02	2.05E+02	9.83E-02	8.61E-03	2.07E+02	9.90E-02	1.47E-02	29.59	2.00E+00	65.58	2.28E+02	1.09E-01	4.05E-02	6.48E+08
7																							
8	3278.8	66	76.9	54.3	1.35E+11	1.51E+03	0.13	2.42E-02	9.60E+01	2.93E-02							2.54	2.01E+01	7.91	1.39E+02	4.25E-02	2.77E-03	2.82E+07
9	3060.2	64.6	74	52.7	3.76E+09	3.87E+01	3.4	1.35E-02	4.57E+01	1.49E-02	4.36E+01	1.43E-02	1.78E-03	4.73E+01	1.55E-02	3.12E-03	33.83	2.39E+00	65.18	7.46E+01	2.44E-02	1.04E-02	1.13E+08
10																							
11	2540.4	60.3	70.4	46	4.51E+09	3.88E+01	2.83	1.34E-02	3.79E+01	1.49E-02	3.64E+01	1.43E-02	1.48E-03	3.87E+01	1.52E-02	2.59E-03	33.05	2.26E+00	65.26	6.75E+01	2.66E-02	9.06E-03	1.19E+08
12	3876.9	75.7	94.6	52.2	4.27E+09	5.62E+01	4	1.48E-02	6.15E+01	1.59E-02	6.09E+01	1.57E-02	2.31E-03	6.46E+01	1.67E-02	4.16E-03	26.68	4.76E+00	50.83	9.91E+01	2.56E-02	1.04E-02	8.91E+07
13	3237.8	67.9	81.7	50.7	4.03E+09	4.42E+01	3.23	1.37E-02	4.94E+01	1.53E-02	4.99E+01	1.54E-02	1.96E-03	5.33E+01	1.65E-02	3.48E-03	22.41	3.77E+00	43.4	7.43E+01	2.30E-02	6.88E-03	7.07E+07
14	3638.1	74.8	91.9	50.4	4.45E+09	5.42E+01	2.83	1.33E-02	5.25E+01	1.44E-02	5.17E+01	1.42E-02	2.09E-03	5.55E+01	1.53E-02	3.69E-03	28.85	3.24E+00	55.87	8.22E+01	2.26E-02	9.98E-03	9.02E+07
15	3696.3	71.8	84.3	55.8	3.86E+09	4.84E+01	3.03	1.26E-02	5.05E+01	1.37E-02	5.08E+01	1.37E-02	2.02E-03	5.47E+01	1.48E-02	3.58E-03	23.06	4.15E+00	44.82	7.87E+01	2.13E-02	7.41E-03	6.68E+07
16	4043.6	76.7	93.9	54.8	3.87E+09	5.26E+01	3.1	1.31E-02	5.57E+01	1.38E-02	5.46E+01	1.35E-02	2.25E-03	5.59E+01	1.38E-02	3.90E-03	32.79	2.88E+00	63.58	8.78E+01	2.17E-02	1.21E-02	9.91E+07
17	3687.1	73	87.8	53.5	4.54E+09	5.67E+01	3.03	1.42E-02	5.80E+01	1.57E-02	5.64E+01	1.53E-02	2.28E-03	6.05E+01	1.64E-02	3.97E-03	30.48	4.06E+00	59.8	1.03E+02	2.78E-02	1.25E-02	1.13E+08
18	3342	74	95.6	44.5	4.44E+09	4.99E+01	2.97	1.44E-02	5.19E+01	1.55E-02	5.16E+01	1.54E-02	2.12E-03	5.51E+01	1.65E-02	3.70E-03	23.38	3.96E+00	44.95	7.85E+01	2.35E-02	7.62E-03	7.52E+07
