RECORD	CROSS-SECTIONAL AREA	MEAN DIAMETER	MAX DIAMETER	MIN DIAMETER	ELASTIC EMOD	ELASTIC GRADIENT	ELASTIC EXT	ELASTIC STRESS	PLATEAU LOAD	PLATEAU STRESS	LOAD 15%	STRESS 15%	WORK 15%	LOAD 25%	STRESS 25%	WORK 25%	YIELD EXT	POSTYIELD GRADIENT	BREAK EXT	BREAK LOAD	BREAK STRESS	TOTAL WORK	TOUGHNESS
1	3401.9	72	87.3	49.6	4.31E+09	4.96E+01	2.79	1.32E-02			4.81E+01	1.41E-02	1.97E-03	5.14E+01	1.51E-02	3.44E-03							
2	3973.4	79.4	99	51.1	4.66E+09	6.26E+01	2.98	1.42E-02	6.04E+01	1.52E-02	6.01E+01	1.51E-02	2.44E-03	6.57E+01	1.65E-02	4.30E-03	22.21	5.13E+00	42.92	9.32E+01	2.35E-02	8.48E-03	7.08E+07
3	4999.6	80.8	92.5	68.8	3.62E+09	6.10E+01	2.91	1.13E-02	6.12E+01	1.22E-02	6.16E+01	1.23E-02	2.45E-03	6.31E+01	1.26E-02	4.30E-03	30.54	3.45E+00	59.45	9.66E+01	1.93E-02	1.25E-02	8.23E+07
4	5873.1	88.5	99.2	75.5	3.51E+09	7.01E+01	4.04	1.31E-02	8.30E+01	1.41E-02	8.08E+01	1.38E-02	3.11E-03	8.61E+01	1.47E-02	5.56E-03	29.45	5.98E+00	56.3	1.40E+02	2.39E-02	1.61E-02	9.12E+07
5	2468.3	56	61.6	51	3.98E+09	3.26E+01	2.35	1.09E-02	3.05E+01	1.24E-02	3.05E+01	1.24E-02	1.24E-03	3.21E+01	1.30E-02	2.17E-03	30.41	1.96E+00	59.51	5.17E+01	2.09E-02	6.54E-03	8.65E+07
6	3119.7	65.4	76.7	51.8	3.74E+09	3.94E+01	3.15	1.29E-02	4.31E+01	1.38E-02	4.23E+01	1.36E-02	1.71E-03	4.47E+01	1.43E-02	2.99E-03	29.88	2.77E+00	57.87	7.08E+01	2.27E-02	8.61E-03	9.14E+07
7	4174.1	77.4	95.2	55.8	4.00E+09	5.63E+01	2.91	1.28E-02	5.77E+01	1.38E-02	5.83E+01	1.40E-02	2.34E-03	6.07E+01	1.45E-02	4.07E-03	25.44	4.10E+00	49.59	8.89E+01	2.13E-02	9.45E-03	7.50E+07
8	3260.1	66.5	75.8	54.8	4.01E+09	4.40E+01	2.95	1.28E-02	4.50E+01	1.38E-02	4.39E+01	1.35E-02	1.81E-03	4.74E+01	1.45E-02	3.15E-03	27.99	3.20E+00	54.47	7.51E+01	2.30E-02	8.56E-03	8.68E+07
9	2844.4	60.7	65.9	54.9	4.55E+09	4.37E+01	2.71	1.30E-02	4.05E+01	1.42E-02	4.04E+01	1.42E-02	1.64E-03	4.27E+01	1.50E-02	2.87E-03	27.22	2.89E+00	53.26	6.62E+01	2.33E-02	7.44E-03	8.66E+07
10	3905.6	75.4	89.6	55.5	4.12E+09	5.44E+01	2.68	1.20E-02	5.15E+01	1.32E-02	5.14E+01	1.32E-02	2.11E-03	5.37E+01	1.37E-02	3.64E-03	26	3.25E+00	50.91	7.66E+01	1.96E-02	8.59E-03	7.29E+07
11	2646.1	58.5	67.8	49.6	4.20E+09	3.76E+01	2.72	1.20E-02	3.54E+01	1.34E-02	3.41E+01	1.29E-02	1.41E-03	3.62E+01	1.37E-02	2.43E-03	33.54	1.99E+00	66.26	6.16E+01	2.33E-02	8.49E-03	1.07E+08
12	2961.5	62.8	73.2	51.5	4.18E+09	4.15E+01	3.06	1.32E-02	4.31E+01	1.45E-02	4.19E+01	1.41E-02	1.70E-03	4.47E+01	1.51E-02	2.99E-03	31.09	2.69E+00	60.07	7.08E+01	2.39E-02	9.27E-03	1.03E+08
13	4013.9	74	88.8	57.6	3.73E+09	5.07E+01	3.05	1.26E-02	5.66E+01	1.41E-02	5.57E+01	1.39E-02	2.22E-03	5.93E+01	1.48E-02	3.91E-03	30.18	3.69E+00	58.83	9.71E+01	2.42E-02	1.18E-02	9.79E+07
14	3091.4	65.1	76.2	51.7	3.88E+09	4.08E+01	5.07	1.45E-02	4.84E+01	1.57E-02	4.78E+01	1.55E-02	1.68E-03	4.96E+01	1.60E-02	3.12E-03	29.06	3.21E+00	53.95	7.51E+01	2.43E-02	8.39E-03	9.06E+07
15	2243.3	58	71	40.2	4.52E+09	3.43E+01	2.62	1.25E-02	3.12E+01	1.39E-02	3.04E+01	1.35E-02	1.26E-03	3.23E+01	1.44E-02	2.17E-03	30.66	1.85E+00	60.45	5.20E+01	2.32E-02	6.65E-03	9.83E+07
