RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
1	4385.4	2.9980e+001	-7.09E-04	-4.85E+06	0.000e+000	1.228e-002	2.001e-001	6.488e+000	8.005e-001	6.488e+000	5.070e-006	63.276	9.075e-001	2.069e+002
2	3868.2	3.0260e+001	6.692e-001	5.235e+009	3.115e-007	7.983e-003	2.644e-001	1.928e+001	8.592e-001	5.110e+001	2.433e-005	47.323	7.574e-001	1.958e+002
3	4399.2	3.0550e+001	7.032e-001	4.883e+009	4.219e-007	7.377e-003	2.619e-001	1.829e+001	8.183e-001	4.594e+001	2.465e-005	42.455	7.172e-001	1.630e+002
4	3192.7	3.0400e+001	5.351e-001	5.095e+009	0.000e+000	8.829e-003	2.303e-001	2.013e+001	8.553e-001	5.132e+001	2.179e-005	58.717	6.828e-001	2.139e+002
5	2545.4	3.0680e+001	4.851e-001	5.847e+009	0.000e+000	5.912e-003	2.934e-001	2.582e+001	8.149e-001	5.569e+001	1.690e-005	49.087	5.435e-001	2.135e+002
6	2314.7	3.0360e+001	3.973e-001	5.211e+009	0.000e+000	5.492e-003	2.306e-001	2.564e+001	8.893e-001	5.997e+001	2.011e-005	52.569	4.812e-001	2.079e+002
7	4072.7	3.0190e+001	7.256e-001	5.379e+009	0.000e+000	7.074e-003	2.319e-001	1.795e+001	8.612e-001	5.143e+001	2.699e-005	46.472	6.490e-001	1.593e+002
8	2854.3	3.0100e+001	4.502e-001	4.748e+009	8.830e-008	5.756e-003	2.658e-001	1.976e+001	8.638e-001	4.829e+001	1.727e-005	49.236	5.195e-001	1.820e+002
9	2616.5	3.0450e+001	4.663e-001	5.427e+009	0.000e+000	4.062e-003	2.299e-001	2.418e+001	8.539e-001	5.737e+001	2.049e-005	39.672	4.184e-001	1.599e+002
10	4596.6	3.0300e+001	8.190e-001	5.399e+009	2.943e-008	5.937e-003	2.640e-001	1.974e+001	8.251e-001	4.994e+001	2.702e-005	33.465	6.867e-001	1.494e+002
11	4439	3.0170e+001	7.970e-001	5.417e+009	0.000e+000	9.758e-003	2.320e-001	1.702e+001	8.618e-001	5.028e+001	2.850e-005	49.088	9.114e-001	2.053e+002
12	3813.9	3.0080e+001	7.641e-001	6.026e+009	9.811e-009	6.853e-003	2.327e-001	1.865e+001	8.644e-001	5.672e+001	2.745e-005	40.858	7.432e-001	1.949e+002
13	2164.4	3.0150e+001	3.926e-001	5.468e+009	0.000e+000	5.998e-003	2.653e-001	2.538e+001	8.624e-001	5.824e+001	1.673e-005	57.313	4.915e-001	2.271e+002
14	5105.2	3.0260e+001	9.180e-001	5.441e+009	0.000e+000	1.188e-002	2.644e-001	2.018e+001	8.592e-001	5.314e+001	3.349e-005	53.272	1.006e+000	1.970e+002
15	2850.5	3.0430e+001	5.638e-001	6.019e+009	0.000e+000	6.794e-003	2.300e-001	2.358e+001	8.216e-001	5.868e+001	2.109e-005	47.059	6.441e-001	2.260e+002
