RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
1	4174.7	3.0160e+001	8.669e-001	6.263e+009	3.679e-008	8.674e-003	2.653e-001	2.221e+001	8.952e-001	6.098e+001	3.323e-005	42.772	8.565e-001	2.052e+002
2	5508.4	3.0650e+001	1.028e+000	5.719e+009	7.726e-007	1.386e-002	2.936e-001	1.514e+001	9.135e-001	4.987e+001	3.461e-005	53.409	1.107e+000	2.009e+002
3	5029.6	2.9980e+001	1.139e-003	6.791e+006	0.000e+000	1.203e-002	2.001e-001	3.999e+000	8.005e-001	4.096e+000	3.524e-006	49.466	1.121e+000	2.230e+002
4	4505.9	3.0210e+001	7.655e-001	5.132e+009	5.420e-007	1.313e-003	2.317e-001	1.285e+001	8.606e-001	4.507e+001	2.408e-005	8.176	6.578e-001	1.460e+002
5	3441.1	3.0380e+001	6.185e-001	5.460e+009	9.811e-009	8.307e-003	2.304e-001	1.953e+001	8.229e-001	5.203e+001	2.241e-005	49.967	7.162e-001	2.081e+002
6	3898.5	3.0340e+001	6.884e-001	5.357e+009	1.202e-007	6.866e-003	2.966e-001	2.051e+001	8.570e-001	5.108e+001	2.366e-005	38.266	7.613e-001	1.953e+002
7	5084.8	3.0280e+001	1.003e+000	5.973e+009	0.000e+000	9.775e-003	2.642e-001	2.267e+001	8.917e-001	5.962e+001	4.002e-005	40.654	1.050e+000	2.065e+002
8														
9	3008.3	3.0240e+001	5.943e-001	5.974e+009	1.570e-007	5.274e-003	2.646e-001	2.332e+001	8.598e-001	5.854e+001	2.218e-005	37.731	5.744e-001	1.909e+002
10	6883	3.0210e+001	1.221e+000	5.359e+009	3.434e-007	1.368e-002	2.317e-001	1.404e+001	8.937e-001	4.910e+001	4.382e-005	44.455	1.350e+000	1.962e+002
11	5073.2	3.0320e+001	9.014e-001	5.387e+009	5.200e-007	1.185e-002	2.639e-001	1.402e+001	8.245e-001	4.399e+001	2.459e-005	50.66	1.015e+000	2.001e+002
12	3697	3.0100e+001	7.110e-001	5.788e+009	0.000e+000	7.960e-003	2.326e-001	2.123e+001	8.638e-001	5.732e+001	2.734e-005	45.183	7.795e-001	2.108e+002
13	4632	3.0550e+001	8.534e-001	5.629e+009	4.170e-007	1.158e-002	2.619e-001	1.631e+001	8.183e-001	4.818e+001	2.595e-005	54.108	9.384e-001	2.026e+002
14	4435.1	3.0090e+001	8.127e-001	5.514e+009	0.000e+000	1.274e-002	2.326e-001	2.035e+001	8.308e-001	5.298e+001	2.922e-005	55.932	1.060e+000	2.390e+002
15	2683.6	3.0340e+001	5.327e-001	6.023e+009	2.232e-007	5.675e-003	2.307e-001	2.102e+001	8.899e-001	6.014e+001	2.212e-005	42.518	5.950e-001	2.217e+002
16	4687.3	3.0060e+001	7.665e-001	4.916e+009	1.128e-007	1.122e-002	2.329e-001	1.517e+001	8.649e-001	4.594e+001	2.710e-005	51.564	9.899e-001	2.112e+002
17	5140.2	3.0320e+001	1.007e+000	5.938e+009	4.415e-008	1.474e-002	2.639e-001	1.842e+001	8.245e-001	5.182e+001	3.042e-005	57.223	1.150e+000	2.237e+002
18														
19	5784.8	3.0130e+001	1.039e+000	5.409e+009	8.756e-007	3.026e-003	2.655e-001	1.442e+001	8.297e-001	4.571e+001	2.988e-005	14.271	7.961e-001	1.376e+002
