Summary Data Ver: 1.3
Source File: D:\20241206_EN_IHNY_bleached_ control_locx positive 5_LocxEF positive 1_LOcxEF negative 2.uvc
Record	Sample	Description	Min. Diameter	Min. Diameter SD	Max. Diameter	Max. Diameter SD	Mean Cross-Section	Break Extension	Break Value
1	1	Slot 1 : MTT Extension Method, Cycle: 1	68.25	2.963	81.87	2.432	4385.36	63.28	92.50	
2	2	Slot 2 : MTT Extension Method, Cycle: 1	55.30	2.901	89.04	1.832	3868.22	47.32	77.20	
3	3	Slot 3 : MTT Extension Method, Cycle: 1	60.48	6.214	93.11	7.398	4399.23	42.45	73.10	
4	4	Slot 4 : MTT Extension Method, Cycle: 1	51.28	2.919	79.40	3.593	3192.68	58.72	69.60	
5	5	Slot 5 : MTT Extension Method, Cycle: 1	54.45	0.071	59.52	0.537	2545.38	49.09	55.40	
6	6	Slot 6 : MTT Extension Method, Cycle: 1	47.83	2.331	61.64	1.040	2314.73	52.57	49.05	
7	7	Slot 7 : MTT Extension Method, Cycle: 1	65.51	1.670	79.21	3.704	4072.67	46.47	66.15	
8	8	Slot 8 : MTT Extension Method, Cycle: 1	56.21	1.149	64.65	0.356	2854.29	49.24	52.95	
9	9	Slot 9 : MTT Extension Method, Cycle: 1	53.66	1.339	62.10	1.906	2616.52	39.67	42.65	
10	10	Slot 10 : MTT Extension Method, Cycle: 1	62.22	3.305	94.15	2.469	4596.62	33.47	70.00	
11	11	Slot 11 : MTT Extension Method, Cycle: 1	58.36	0.935	96.82	2.197	4439.04	49.09	92.90	
12	12	Slot 12 : MTT Extension Method, Cycle: 1	53.58	0.279	90.64	3.315	3813.95	40.86	75.75	
13	13	Slot 13 : MTT Extension Method, Cycle: 1	48.62	0.247	56.68	0.580	2164.43	57.31	50.10	
14	14	Slot 14 : MTT Extension Method, Cycle: 1	60.52	3.153	107.31	3.482	5105.19	53.27	102.50	
15	15	Slot 15 : MTT Extension Method, Cycle: 1	40.80	0.970	88.96	1.531	2850.47	47.06	65.65	
16	16	Slot 16 : MTT Extension Method, Cycle: 1	63.46	1.264	112.16	1.178	5590.71	9.16	71.35	
17	17	Slot 17 : MTT Extension Method, Cycle: 1	55.21	2.329	86.99	1.326	3773.75	44.25	65.95	
18	18	Slot 18 : MTT Extension Method, Cycle: 1	72.71	1.775	98.05	1.482	5600.22	46.74	102.35	
19	19	Slot 19 : MTT Extension Method, Cycle: 1	53.66	0.695	89.83	1.238	3785.81	57.64	80.85	
20	20	Slot 20 : MTT Extension Method, Cycle: 1	80.55	0.000	87.90	0.000	5560.89	59.84	103.75	
21		tag	
22	22	Slot 22 : MTT Extension Method, Cycle: 1	61.10	0.566	69.88	3.359	3352.40	44.98	70.75	
23	23	Slot 23 : MTT Extension Method, Cycle: 1	57.47	2.831	101.50	1.348	4582.71	51.21	90.35	
24	24	Slot 24 : MTT Extension Method, Cycle: 1	48.40	2.597	62.76	2.338	2384.29	53.07	50.25	
25	25	Slot 25 : MTT Extension Method, Cycle: 1	50.64	0.260	75.54	4.218	3004.38	44.73	58.05	
26	26	Slot 26 : MTT Extension Method, Cycle: 1	57.95	1.838	72.17	4.483	3287.97	48.58	67.05	
