Summary Data Ver: 1.3
Source File: D:\20241206_EN_IHNY_bleached_ locx NAC positive 3_Locx NAC negative 4_LOcx negative 6.uvc
Record	Sample	Description	Min. Diameter	Min. Diameter SD	Max. Diameter	Max. Diameter SD	Mean Cross-Section	Break Extension	Break Value
1	1	Slot 1 : MTT Extension Method, Cycle: 1	55.88	0.771	95.11	2.501	4174.73	42.77	87.30	
2	2	Slot 2 : MTT Extension Method, Cycle: 1	68.18	0.701	102.88	4.020	5508.43	53.41	112.80	
3	3	Slot 3 : MTT Extension Method, Cycle: 1	65.06	3.452	98.45	3.037	5029.58	49.47	114.30	
4	4	Slot 4 : MTT Extension Method, Cycle: 1	65.65	0.000	87.39	0.000	4505.95	8.18	67.05	
5	5	Slot 5 : MTT Extension Method, Cycle: 1	56.88	3.007	77.03	0.375	3441.10	49.97	73.00	
6	6	Slot 6 : MTT Extension Method, Cycle: 1	58.38	1.275	85.05	2.076	3898.53	38.27	77.60	
7	7	Slot 7 : MTT Extension Method, Cycle: 1	64.13	0.856	100.98	2.378	5084.83	40.65	107.05	
8		tag	
9	9	Slot 9 : MTT Extension Method, Cycle: 1	51.62	1.833	74.23	1.024	3008.29	37.73	58.55	
10	10	Slot 10 : MTT Extension Method, Cycle: 1	72.24	2.346	121.29	1.824	6883.01	44.46	137.65	
11	11	Slot 11 : MTT Extension Method, Cycle: 1	63.54	2.123	101.66	0.286	5073.24	50.66	103.45	
12	12	Slot 12 : MTT Extension Method, Cycle: 1	57.34	0.305	82.10	3.522	3697.02	45.18	79.45	
13	13	Slot 13 : MTT Extension Method, Cycle: 1	63.03	2.067	93.54	3.166	4632.04	54.11	95.65	
14	14	Slot 14 : MTT Extension Method, Cycle: 1	62.96	1.975	89.59	4.498	4435.13	55.93	108.05	
15	15	Slot 15 : MTT Extension Method, Cycle: 1	48.29	1.146	70.68	4.744	2683.61	42.52	60.65	
16	16	Slot 16 : MTT Extension Method, Cycle: 1	69.78	2.110	85.56	1.882	4687.29	51.56	100.90	
17	17	Slot 17 : MTT Extension Method, Cycle: 1	65.33	0.557	100.17	1.959	5140.19	57.22	117.20	
18		tag	
19	19	Slot 19 : MTT Extension Method, Cycle: 1	67.93	2.535	108.55	5.538	5784.78	14.27	81.15	
20	20	Slot 20 : MTT Extension Method, Cycle: 1	44.01	3.489	74.32	1.235	2570.08	42.04	51.10	
21	21	Slot 21 : MTT Extension Method, Cycle: 1	58.21	2.810	79.01	5.116	3614.90	55.90	71.90	
22	22	Slot 22 : MTT Extension Method, Cycle: 1	60.40	2.680	69.82	1.103	3313.01	50.95	72.50	
23	23	Slot 23 : MTT Extension Method, Cycle: 1	75.82	1.732	88.79	0.148	5287.89	40.48	106.05	
24	24	Slot 24 : MTT Extension Method, Cycle: 1	56.86	0.749	80.37	1.553	3589.38	49.51	76.25	
25	25	Slot 25 : MTT Extension Method, Cycle: 1	62.34	1.431	85.18	2.448	4168.96	51.65	97.80	
26	26	Slot 26 : MTT Extension Method, Cycle: 1	65.88	1.859	103.00	2.591	5328.94	45.15	111.35	
27		tag	
28	28	Slot 28 : MTT Extension Method, Cycle: 1	59.36	1.807	77.03	2.719	3590.01	50.57	71.15	
29	29	Slot 29 : MTT Extension Method, Cycle: 1	63.44	2.623	84.10	2.051	4188.55	51.65	93.25	
30	30	Slot 30 : MTT Extension Method, Cycle: 1	56.75	2.475	68.72	3.288	3059.97	44.07	63.30	
31	31	Slot 31 : MTT Extension Method, Cycle: 1	46.85	1.479	62.87	1.106	2312.94	49.77	53.15	
32	32	Slot 32 : MTT Extension Method, Cycle: 1	66.29	2.221	88.34	3.530	4598.54	44.74	87.60	
33	33	Slot 33 : MTT Extension Method, Cycle: 1	49.63	1.277	58.81	2.130	2292.20	51.35	50.45	
