RECORD	CROSS-SECTIONAL AREA	MEAN DIAMETER	MAX DIAMETER	MIN DIAMETER	ELASTIC EMOD	ELASTIC GRADIENT	ELASTIC EXT	ELASTIC STRESS	PLATEAU LOAD	PLATEAU STRESS	LOAD 15%	STRESS 15%	WORK 15%	LOAD 25%	STRESS 25%	WORK 25%	YIELD EXT	POSTYIELD GRADIENT	BREAK EXT	BREAK LOAD	BREAK STRESS	TOTAL WORK	TOUGHNESS
1	4385.4	75.6	81.9	68.2	3.818e+009	5.692e+001	4.24	1.247e-002	5.751e+001	1.311e-002	5.625e+001	1.283e-002	2.102e-003	5.760e+001	1.313e-002	3.787e-003	33.12	3.154e+000	63.28	9.250e+001	2.109e-002	1.228e-002	9.338e+007
2	3868.2	72.8	89	55.3	3.766e+009	4.907e+001	3.04	1.276e-002	5.198e+001	1.344e-002	5.225e+001	1.351e-002	2.104e-003	5.435e+001	1.405e-002	3.692e-003	24.55	3.721e+000	47.32	7.720e+001	1.996e-002	7.983e-003	6.820e+007
3	4399.2	78.2	93.1	60.5	3.743e+009	5.494e+001	3.11	1.240e-002	5.618e+001	1.277e-002	5.630e+001	1.280e-002	2.330e-003	5.875e+001	1.335e-002	4.028e-003	22.42	2.541e+000	42.45	7.310e+001	1.662e-002	7.378e-003	5.489e+007
4	3192.7	67.4	79.4	51.3	4.075e+009	4.363e+001	3.06	1.317e-002	4.364e+001	1.367e-002	4.295e+001	1.345e-002	1.783e-003	4.425e+001	1.386e-002	3.078e-003	30.3	2.579e+000	58.72	6.960e+001	2.180e-002	8.829e-003	9.097e+007
5	2545.4	57.2	59.5	54.5	3.994e+009	3.377e+001	2.93	1.318e-002	3.559e+001	1.398e-002	3.535e+001	1.389e-002	1.470e-003	3.730e+001	1.465e-002	2.562e-003	25.72	2.652e+000	49.09	5.540e+001	2.176e-002	5.912e-003	7.571e+007
6	2314.7	55.4	61.6	47.8	4.034e+009	3.135e+001	2.83	1.249e-002	3.072e+001	1.327e-002	3.040e+001	1.313e-002	1.266e-003	3.190e+001	1.378e-002	2.186e-003	27.04	2.216e+000	52.57	4.905e+001	2.119e-002	5.492e-003	7.815e+007
7	4072.7	72.9	79.2	65.5	3.833e+009	5.271e+001	2.68	1.152e-002	4.882e+001	1.199e-002	4.855e+001	1.192e-002	2.004e-003	4.955e+001	1.217e-002	3.460e-003	23.68	2.775e+000	46.47	6.615e+001	1.624e-002	7.074e-003	5.754e+007
8	2854.3	60.3	64.6	56.2	3.393e+009	3.279e+001	3.22	1.254e-002	3.668e+001	1.285e-002	3.625e+001	1.270e-002	1.498e-003	3.730e+001	1.307e-002	2.566e-003	25.42	2.425e+000	49.24	5.295e+001	1.855e-002	5.756e-003	6.700e+007
9	2616.5	58	62.1	53.7	4.098e+009	3.590e+001	2.63	1.210e-002	3.340e+001	1.276e-002	3.440e+001	1.315e-002	1.387e-003	3.505e+001	1.340e-002	2.422e-003	20.53	1.299e+000	39.67	4.265e+001	1.630e-002	4.061e-003	5.098e+007
10	4596.6	79.2	94.2	62.2	4.022e+009	6.219e+001	2.9	1.264e-002	6.057e+001	1.318e-002	6.080e+001	1.323e-002	2.503e-003	6.245e+001	1.359e-002	4.336e-003	17.46	1.525e+000	33.47	7.000e+001	1.523e-002	5.937e-003	4.263e+007
11	4439	80.7	96.8	58.4	3.975e+009	5.962e+001	2.98	1.294e-002	5.992e+001	1.350e-002	5.920e+001	1.334e-002	2.427e-003	6.265e+001	1.411e-002	4.229e-003	25.32	4.516e+000	49.09	9.290e+001	2.093e-002	9.758e-003	7.286e+007
12	3813.9	74.5	90.6	53.6	4.576e+009	5.914e+001	2.96	1.366e-002	5.385e+001	1.412e-002	5.350e+001	1.403e-002	2.194e-003	5.610e+001	1.471e-002	3.815e-003	21.08	3.885e+000	40.86	7.575e+001	1.986e-002	6.853e-003	5.973e+007
13	2164.4	53.2	56.7	48.6	4.264e+009	3.120e+001	2.72	1.261e-002	2.970e+001	1.372e-002	2.940e+001	1.358e-002	1.205e-003	3.095e+001	1.430e-002	2.076e-003	29.09	2.014e+000	57.31	5.010e+001	2.315e-002	5.998e-003	9.191e+007
14	5105.2	85.8	107.3	60.5	4.077e+009	7.011e+001	2.91	1.245e-002	6.704e+001	1.313e-002	6.725e+001	1.317e-002	2.739e-003	6.805e+001	1.333e-002	4.757e-003	27.46	4.447e+000	53.27	1.025e+002	2.008e-002	1.188e-002	7.688e+007
15	2850.5	70.8	89	40.8	4.466e+009	4.264e+001	3.09	1.502e-002	4.421e+001	1.551e-002	4.345e+001	1.524e-002	1.803e-003	4.620e+001	1.621e-002	3.136e-003	24.65	3.127e+000	47.06	6.565e+001	2.303e-002	6.794e-003	7.832e+007
16	5590.7	90.8	112.2	63.5	3.932e+009	7.434e+001	3.09	1.263e-002	7.322e+001	1.310e-002							5.71	-9.65E-01	9.16	7.135e+001	1.276e-002	1.689e-003	1.003e+007
17	3773.8	73.4	87	55.2	3.920e+009	4.998e+001	2.88	1.243e-002	4.819e+001	1.277e-002	4.800e+001	1.272e-002	1.949e-003	5.305e+001	1.406e-002	3.443e-003	22.8	2.182e+000	44.25	6.595e+001	1.748e-002	6.706e-003	5.890e+007
18	5600.2	84.5	98	72.7	3.682e+009	6.928e+001	3.03	1.196e-002	7.030e+001	1.255e-002	7.030e+001	1.255e-002	2.887e-003	7.275e+001	1.299e-002	4.976e-003	24.23	4.782e+000	46.74	1.024e+002	1.828e-002	1.062e-002	6.248e+007
19	3785.8	74.3	89.8	53.7	3.930e+009	5.003e+001	3	1.297e-002	5.118e+001	1.352e-002	5.030e+001	1.329e-002	2.084e-003	5.230e+001	1.381e-002	3.612e-003	29.73	3.103e+000	57.64	8.085e+001	2.136e-002	1.007e-002	8.777e+007
20	5560.9	84.3	87.9	80.6	3.536e+009	6.598e+001	3.03	1.144e-002	6.626e+001	1.192e-002	6.540e+001	1.176e-002	2.681e-003	6.730e+001	1.210e-002	4.664e-003	30.81	3.769e+000	59.84	1.038e+002	1.866e-002	1.350e-002	7.989e+007
21																							
22	3352.4	65.8	69.9	61.1	4.170e+009	4.741e+001	3.13	1.360e-002	4.764e+001	1.421e-002	4.740e+001	1.414e-002	1.929e-003	5.005e+001	1.493e-002	3.367e-003	23.25	3.584e+000	44.98	7.075e+001	2.110e-002	6.889e-003	6.836e+007
23	4582.7	82.7	101.5	57.5	4.066e+009	6.223e+001	3.05	1.285e-002	6.111e+001	1.333e-002	6.045e+001	1.319e-002	2.499e-003	6.345e+001	1.385e-002	4.322e-003	26.74	3.837e+000	51.21	9.035e+001	1.972e-002	1.028e-002	7.349e+007
24	2384.3	56.6	62.8	48.4	4.165e+009	3.362e+001	2.72	1.241e-002	3.138e+001	1.316e-002	3.135e+001	1.315e-002	1.279e-003	3.260e+001	1.367e-002	2.225e-003	26.9	2.279e+000	53.07	5.025e+001	2.108e-002	5.641e-003	7.857e+007
25	3004.4	64.7	75.5	50.6	4.477e+009	4.559e+001	2.73	1.275e-002	4.036e+001	1.343e-002	4.010e+001	1.335e-002	1.652e-003	4.230e+001	1.408e-002	2.867e-003	22.81	2.774e+000	44.73	5.805e+001	1.932e-002	5.755e-003	6.370e+007
26	3288	65.6	72.2	58	4.154e+009	4.585e+001	2.96	1.318e-002	4.536e+001	1.380e-002	4.530e+001	1.378e-002	1.861e-003	4.635e+001	1.410e-002	3.228e-003	25.13	3.143e+000	48.58	6.705e+001	2.039e-002	7.184e-003	7.196e+007
27	2612.7	58.6	63.4	52.5	4.083e+009	3.579e+001	3	1.307e-002	3.599e+001	1.377e-002	3.490e+001	1.336e-002	1.454e-003	3.710e+001	1.420e-002	2.524e-003	29.23	2.374e+000	56.71	5.900e+001	2.258e-002	7.099e-003	8.944e+007
28	3397.1	71.9	89.5	48.3	4.571e+009	5.264e+001	2.96	1.356e-002	4.543e+001	1.337e-002	4.475e+001	1.317e-002	1.864e-003	4.575e+001	1.347e-002	3.207e-003	24.74	2.216e+000	48.45	5.950e+001	1.752e-002	6.734e-003	6.592e+007
29	4781.6	79.9	92.9	65.5	3.844e+009	6.193e+001	2.98	1.199e-002	5.897e+001	1.233e-002							3.6	5.266e+000	4.43	6.170e+001	1.290e-002	5.680e-004	3.927e+006
30	4061.5	73.2	80.8	63.8	5.004e+009	6.803e+001	2.43	1.278e-002	5.855e+001	1.442e-002	6.155e+001	1.515e-002	2.452e-003				12.51	1.072e+000	24.01	6.420e+001	1.581e-002	4.150e-003	3.356e+007
31	3534.9	70.5	86.5	52.1	1.227e+010	1.475e+002	0.07	1.499e-003	4.530e+000	1.282e-003	2.050e+000	5.799e-004	9.941e-005	2.100e+000	5.941e-004	1.616e-004	0.2	-1.62E+00	0.37	4.050e+000	1.146e-003	4.339e-006	4.094e+004
32	5585	85.1	95.2	74.7	3.520e+009	6.626e+001	3.34	1.254e-002	7.244e+001	1.297e-002	7.120e+001	1.275e-002	2.914e-003	7.380e+001	1.321e-002	5.015e-003	30.22	3.970e+000	58.4	1.103e+002	1.975e-002	1.410e-002	8.348e+007
33	4167.7	73.7	85.6	62	4.064e+009	5.709e+001	3.11	1.362e-002	5.737e+001	1.377e-002	5.615e+001	1.347e-002	2.340e-003	5.855e+001	1.405e-002	4.036e-003	27.55	3.844e+000	53.17	8.930e+001	2.143e-002	1.026e-002	8.141e+007
34	3352.7	67.4	76.7	55.7	4.480e+009	5.020e+001	2.1	1.028e-002	3.551e+001	1.059e-002							3.11	1.080e+001	4.3	3.925e+001	1.171e-002	3.672e-004	3.590e+006
35	3340.3	65.8	73.7	57.7	4.424e+009	4.961e+001	2.8	1.334e-002	4.767e+001	1.427e-002	4.730e+001	1.416e-002	1.947e-003	4.940e+001	1.479e-002	3.381e-003	28	3.257e+000	54.31	7.695e+001	2.304e-002	8.943e-003	8.818e+007
36	2835.5	63	74.1	48.6	3.985e+009	3.801e+001	2.77	1.248e-002	3.802e+001	1.341e-002	3.905e+001	1.377e-002	1.540e-003	4.135e+001	1.458e-002	2.727e-003	24.39	2.121e+000	47.49	5.445e+001	1.920e-002	5.837e-003	6.794e+007
37	2489.2	58.1	66.3	47.8	4.443e+009	3.680e+001	2.55	1.211e-002	3.161e+001	1.270e-002	3.120e+001	1.253e-002	1.316e-003	3.265e+001	1.312e-002	2.276e-003	28.17	1.887e+000	54.85	4.810e+001	1.932e-002	5.862e-003	7.689e+007
38	3954.7	72.6	86.3	58.4	4.176e+009	5.552e+001	3.07	1.391e-002	5.554e+001	1.404e-002	5.475e+001	1.384e-002	2.293e-003	5.700e+001	1.441e-002	3.944e-003	23.71	4.037e+000	45.65	8.085e+001	2.044e-002	8.180e-003	6.822e+007
39	4040.4	71.8	77.8	66.1	4.229e+009	5.724e+001	2.83	1.265e-002	5.426e+001	1.343e-002	5.415e+001	1.340e-002	2.238e-003	5.605e+001	1.387e-002	3.873e-003	19.85	3.129e+000	38.05	7.085e+001	1.754e-002	6.313e-003	5.135e+007
40	4196.9	72.8	77.4	69	3.843e+009	5.415e+001	3.19	1.321e-002	5.503e+001	1.311e-002	5.370e+001	1.280e-002	2.256e-003	5.615e+001	1.338e-002	3.888e-003	28.16	3.059e+000	54.31	8.205e+001	1.955e-002	9.932e-003	7.795e+007
41	4053.2	74.8	86.3	59.7	3.973e+009	5.453e+001	2.76	1.189e-002	5.120e+001	1.263e-002	5.105e+001	1.259e-002	2.087e-003	5.340e+001	1.317e-002	3.592e-003	26.94	2.766e+000	53.12	7.545e+001	1.861e-002	8.905e-003	7.299e+007
42	3535.4	67.4	70.5	63.8	3.795e+009	4.561e+001	4	1.271e-002	4.564e+001	1.291e-002	4.600e+001	1.301e-002	1.730e-003	5.030e+001	1.423e-002	3.154e-003	16.74	1.733e+000	30.79	5.270e+001	1.491e-002	4.022e-003	3.795e+007
43	5060.3	83.6	98.2	65.6	3.807e+009	6.519e+001	3.39	1.295e-002	7.004e+001	1.384e-002	6.850e+001	1.354e-002	2.750e-003	7.245e+001	1.432e-002	4.838e-003	30.18	4.916e+000	58.23	1.201e+002	2.373e-002	1.437e-002	9.426e+007
44	7023.2	99.9	120.1	74.5	4.408e+009	1.049e+002	2.96	1.290e-002	9.621e+001	1.370e-002	9.365e+001	1.333e-002	3.835e-003	9.780e+001	1.393e-002	6.664e-003	31.16	5.618e+000	61.26	1.598e+002	2.275e-002	2.060e-002	9.753e+007
45	4770.3	82.1	97.5	62.3	4.271e+009	6.889e+001	2.85	1.268e-002	6.364e+001	1.334e-002	6.355e+001	1.332e-002	2.607e-003	6.660e+001	1.396e-002	4.498e-003	24.08	4.257e+000	46.9	9.235e+001	1.936e-002	9.568e-003	6.653e+007
46	3813.6	70.2	77.4	62.8	3.992e+009	5.118e+001	3.1	1.345e-002	5.346e+001	1.402e-002	5.285e+001	1.386e-002	2.173e-003	5.615e+001	1.472e-002	3.791e-003	25.26	4.057e+000	48.75	8.390e+001	2.200e-002	8.722e-003	7.543e+007
47	4060.1	73.1	82.8	62.4	4.064e+009	5.505e+001	2.82	1.218e-002	5.298e+001	1.305e-002	5.260e+001	1.296e-002	2.173e-003	5.430e+001	1.337e-002	3.751e-003	29.85	3.169e+000	57.74	8.520e+001	2.098e-002	1.067e-002	8.602e+007
48	3123.1	64.1	69.3	57.4	4.122e+009	4.299e+001	2.92	1.340e-002	4.346e+001	1.392e-002	4.290e+001	1.374e-002	1.797e-003	4.515e+001	1.446e-002	3.098e-003	25.2	3.172e+000	48.53	6.730e+001	2.155e-002	7.088e-003	7.437e+007
49	3843.5	70.6	73.6	66.5	3.995e+009	5.166e+001	3.14	1.385e-002	5.594e+001	1.455e-002	5.560e+001	1.447e-002	2.275e-003	5.860e+001	1.525e-002	3.965e-003	26.5	4.169e+000	50.96	8.980e+001	2.336e-002	9.667e-003	8.301e+007
50	3857.9	73.9	86.1	57.1	4.567e+009	5.969e+001	2.92	1.348e-002	5.291e+001	1.371e-002	5.215e+001	1.352e-002	2.176e-003	5.395e+001	1.398e-002	3.713e-003	27.78	3.269e+000	54.57	8.035e+001	2.083e-002	9.566e-003	8.241e+007
51	3486.4	67.1	75.1	59.1	3.680e+009	4.314e+001	3.23	1.281e-002	4.617e+001	1.324e-002	4.545e+001	1.304e-002	1.862e-003	4.790e+001	1.374e-002	3.251e-003	28.2	2.928e+000	54.35	7.125e+001	2.044e-002	8.418e-003	7.963e+007
