RECORD	CROSS-SECTIONAL AREA	MEAN DIAMETER	MAX DIAMETER	MIN DIAMETER	ELASTIC EMOD	ELASTIC GRADIENT	ELASTIC EXT	ELASTIC STRESS	PLATEAU LOAD	PLATEAU STRESS	LOAD 15%	STRESS 15%	WORK 15%	LOAD 25%	STRESS 25%	WORK 25%	YIELD EXT	POSTYIELD GRADIENT	BREAK EXT	BREAK LOAD	BREAK STRESS	TOTAL WORK	TOUGHNESS
1	4174.7	78.5	95.1	55.9	4.225e+009	5.961e+001	3.15	1.492e-002	6.539e+001	1.566e-002	6.500e+001	1.557e-002	2.650e-003	6.930e+001	1.660e-002	4.645e-003	22.28	3.364e+000	42.77	8.730e+001	2.091e-002	8.674e-003	6.889e+007
2	5508.4	86.9	102.9	68.2	4.045e+009	7.411e+001	3.33	1.389e-002	8.020e+001	1.456e-002	7.980e+001	1.449e-002	3.276e-003	8.195e+001	1.488e-002	5.679e-003	28.09	4.345e+000	53.41	1.128e+002	2.048e-002	1.387e-002	8.213e+007
3	5029.6	83.7	98.4	65.1	4.058e+009	6.940e+001	4.14	1.381e-002	7.656e+001	1.522e-002	7.685e+001	1.528e-002	2.797e-003	8.015e+001	1.594e-002	5.136e-003	26.12	5.275e+000	49.47	1.143e+002	2.273e-002	1.203e-002	7.976e+007
4	4505.9	76.8	87.4	65.7	3.794e+009	5.769e+001	3.57	1.423e-002	6.680e+001	1.482e-002							5.59	2.025e-001	8.18	6.705e+001	1.488e-002	1.313e-003	9.647e+006
5	3441.1	67.3	77	56.9	4.137e+009	4.776e+001	3.42	1.476e-002	5.195e+001	1.510e-002	5.120e+001	1.488e-002	2.115e-003	5.245e+001	1.524e-002	3.656e-003	26.17	3.004e+000	49.97	7.300e+001	2.121e-002	8.307e-003	7.946e+007
6	3898.5	73.1	85	58.4	3.996e+009	5.234e+001	3.56	1.443e-002	5.878e+001	1.508e-002	5.900e+001	1.513e-002	2.387e-003	6.190e+001	1.588e-002	4.154e-003	20.4	3.352e+000	38.27	7.760e+001	1.990e-002	6.866e-003	5.805e+007
7	5084.8	82.8	101	64.1	4.336e+009	7.423e+001	3.1	1.399e-002	7.648e+001	1.504e-002	7.645e+001	1.503e-002	3.102e-003	8.145e+001	1.602e-002	5.441e-003	21.2	5.186e+000	40.65	1.071e+002	2.105e-002	9.775e-003	6.348e+007
8																							
9	3008.3	63.6	74.2	51.6	4.058e+009	4.115e+001	3.24	1.476e-002	4.657e+001	1.548e-002	4.665e+001	1.551e-002	1.909e-003	4.830e+001	1.606e-002	3.293e-003	19.81	2.167e+000	37.73	5.855e+001	1.946e-002	5.274e-003	5.797e+007
10	6883	98.1	121.3	72.2	3.854e+009	8.949e+001	3.44	1.374e-002	9.744e+001	1.416e-002	9.630e+001	1.399e-002	3.951e-003	1.010e+002	1.467e-002	6.863e-003	23.4	6.610e+000	44.46	1.377e+002	2.000e-002	1.368e-002	6.578e+007
11	5073.2	83.2	101.7	63.5	4.099e+009	6.991e+001	3.33	1.385e-002	7.305e+001	1.440e-002	7.265e+001	1.432e-002	2.921e-003	7.585e+001	1.495e-002	5.126e-003	26.42	3.946e+000	50.66	1.035e+002	2.039e-002	1.185e-002	7.706e+007
