Single Phase Analysis Version 11.0: Basic Format
Source File: D:\20241209$IHNY$25 AActrl$25pys 0.01$25pys 0.03$25pys 0.05.uvc
Operator: 
Sample ID: 	1000
Bar Code: 	1000
File Comments: 	New File
Lower Area Filter: 	5.0
Upper Area Filter: 	2000.0
(*)Gauge Force Correction To Strain Axis:	NO
(#)Compliance (mm/N): 	0.0000
RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH	
	sq. micron	mm	N/mm	Pascals	Joules	Joules	% Strain	MPa	% Strain	MPa	Joules	% Strain	N	MPa	
1	4453.1	3.0100e+001	7.187e-001	4.858e+009	-1.962e-008	1.090e-002	2.326e-001	1.465e+001	8.306e-001	4.362e+001	2.319e-005	55.814	8.967e-001	2.014e+002	
2	5144.7	3.0370e+001	8.628e-001	5.093e+009	2.011e-007	1.129e-002	2.305e-001	1.583e+001	8.561e-001	4.748e+001	3.113e-005	54.626	8.957e-001	1.741e+002	
3	3410.2	3.0270e+001	6.194e-001	5.498e+009	1.962e-008	7.397e-003	2.643e-001	2.129e+001	8.920e-001	5.610e+001	2.520e-005	49.950	6.372e-001	1.868e+002	
4	3855.5	3.0330e+001	7.693e-001	6.052e+009	4.562e-007	8.151e-003	2.967e-001	2.163e+001	8.902e-001	5.738e+001	2.801e-005	45.236	7.515e-001	1.949e+002	
5	3899.6	3.0090e+001	6.274e-001	4.841e+009	3.875e-007	1.006e-002	2.326e-001	1.421e+001	8.641e-001	4.541e+001	2.222e-005	57.428	8.256e-001	2.117e+002	
6	4537.3	3.0590e+001	7.387e-001	4.980e+009	1.766e-007	8.967e-003	2.942e-001	2.076e+001	8.826e-001	5.006e+001	2.873e-005	47.793	8.344e-001	1.839e+002	
7	3639.3	3.0240e+001	5.441e-001	4.521e+009	1.001e-006	8.055e-003	2.315e-001	5.391e+000	8.267e-001	3.060e+001	1.033e-005	51.422	6.941e-001	1.907e+002	
8	4822.7	3.0440e+001	8.905e-001	5.621e+009	0.000e+000	1.085e-002	2.300e-001	2.044e+001	8.870e-001	5.686e+001	3.763e-005	49.277	1.005e+000	2.084e+002	
9
10	4209.5	3.0570e+001	7.761e-001	5.636e+009	5.151e-008	7.890e-003	2.617e-001	1.830e+001	8.505e-001	5.151e+001	2.633e-005	44.652	7.579e-001	1.800e+002	
11	3542.0	3.0050e+001	6.132e-001	5.202e+009	8.339e-008	5.207e-003	2.662e-001	1.870e+001	8.652e-001	5.027e+001	2.213e-005	36.273	6.053e-001	1.709e+002	
12	4716.4	3.0220e+001	7.965e-001	5.103e+009	0.000e+000	8.492e-003	2.316e-001	1.851e+001	8.273e-001	4.836e+001	2.800e-005	47.121	7.721e-001	1.637e+002	
