Single Phase Analysis Version 11.0: Basic Format
Source File: D:\20241209$IHNY$25pk30 phosctrl$25pk30 0.01$25pk30 0.03$25pk30 0.05.uvc
Operator: 
Sample ID: 	1000
Bar Code: 	1000
File Comments: 	New File
Lower Area Filter: 	5.0
Upper Area Filter: 	2000.0
(*)Gauge Force Correction To Strain Axis:	NO
(#)Compliance (mm/N): 	0.0000
RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH	
	sq. micron	mm	N/mm	Pascals	Joules	Joules	% Strain	MPa	% Strain	MPa	Joules	% Strain	N	MPa	
1	3986.6	3.0360e+001	6.437e-001	4.902e+009	6.401e-007	8.375e-003	2.306e-001	1.083e+001	8.893e-001	4.294e+001	2.157e-005	53.557	6.710e-001	1.683e+002	
2	3490.9	3.0070e+001	5.850e-001	5.039e+009	0.000e+000	7.714e-003	2.328e-001	1.728e+001	8.314e-001	4.693e+001	2.013e-005	52.511	6.632e-001	1.900e+002	
3	2401.4	3.0470e+001	4.316e-001	5.477e+009	0.000e+000	5.741e-003	2.626e-001	2.717e+001	8.861e-001	6.148e+001	2.046e-005	54.513	4.675e-001	1.947e+002	
4	6132.4	3.0240e+001	1.149e+000	5.664e+009	5.102e-007	1.031e-002	2.646e-001	1.576e+001	8.598e-001	4.903e+001	3.635e-005	41.964	1.033e+000	1.685e+002	
5	3513.1	3.0060e+001	6.460e-001	5.528e+009	1.202e-007	7.473e-003	2.329e-001	1.578e+001	8.649e-001	5.013e+001	2.227e-005	50.599	6.480e-001	1.844e+002	
6	3900.5	3.0080e+001	6.919e-001	5.336e+009	2.134e-007	8.281e-003	2.327e-001	1.723e+001	8.644e-001	5.131e+001	2.545e-005	49.967	7.662e-001	1.964e+002	
7
8	3424.2	3.0190e+001	6.845e-001	6.035e+009	0.000e+000	7.964e-003	2.319e-001	2.306e+001	8.612e-001	6.174e+001	2.771e-005	49.950	7.176e-001	2.096e+002	
9	3521.3	3.0300e+001	5.859e-001	5.041e+009	1.472e-008	8.221e-003	2.640e-001	2.006e+001	8.251e-001	4.834e+001	2.102e-005	54.026	6.887e-001	1.956e+002	
10	2213.6	3.0080e+001	4.241e-001	5.763e+009	1.619e-007	4.983e-003	2.660e-001	2.327e+001	8.644e-001	5.739e+001	1.636e-005	52.261	4.209e-001	1.901e+002	
11	4267.9	3.0210e+001	7.679e-001	5.436e+009	1.839e-007	1.574e-003	2.317e-001	1.724e+001	8.606e-001	5.138e+001	2.734e-005	10.659	5.518e-001	1.293e+002	
12	4345.5	3.0360e+001	7.243e-001	5.060e+009	3.262e-007	9.328e-003	2.964e-001	1.772e+001	8.564e-001	4.673e+001	2.370e-005	52.964	7.490e-001	1.724e+002	
13	3293.5	3.0380e+001	6.536e-001	6.029e+009	-2.698e-008	3.208e-004	2.304e-001	1.996e+001	8.887e-001	5.958e+001	2.634e-005	3.522	4.513e-001	1.370e+002	
14	3019.7	3.0090e+001	5.929e-001	5.908e+009	1.104e-007	6.491e-003	2.326e-001	1.917e+001	8.973e-001	5.799e+001	2.363e-005	48.721	5.769e-001	1.910e+002	
15	2411.9	3.0100e+001	3.885e-001	4.848e+009	0.000e+000	3.313e-003	2.326e-001	2.156e+001	8.638e-001	5.207e+001	1.680e-005	34.718	3.836e-001	1.590e+002	
16	3015.1	3.0380e+001	5.342e-001	5.383e+009	-2.453e-009	3.963e-003	2.304e-001	1.838e+001	8.229e-001	4.962e+001	1.866e-005	36.735	4.047e-001	1.342e+002	
17	4320.6	3.0060e+001	7.506e-001	5.222e+009	5.224e-007	6.600e-003	2.329e-001	1.124e+001	8.649e-001	4.360e+001	2.189e-005	38.789	7.054e-001	1.633e+002	
18	3192.4	3.0070e+001	6.011e-001	5.662e+009	0.000e+000	7.455e-003	2.660e-001	2.351e+001	8.314e-001	5.562e+001	2.172e-005	52.311	6.421e-001	2.011e+002	
19	3159.5	3.0060e+001	5.510e-001	5.243e+009	0.000e+000	4.188e-003	2.329e-001	2.096e+001	8.649e-001	5.418e+001	2.271e-005	35.862	4.557e-001	1.442e+002	
20	5397.0	3.0380e+001	8.902e-001	5.011e+009	5.077e-007	5.800e-003	2.304e-001	1.127e+001	8.887e-001	4.444e+001	2.970e-005	29.427	7.368e-001	1.365e+002	
21	3362.5	3.0220e+001	6.202e-001	5.574e+009	0.000e+000	7.977e-003	2.316e-001	2.203e+001	8.273e-001	5.529e+001	2.304e-005	52.713	6.961e-001	2.070e+002	
22	4033.8	3.0240e+001	6.359e-001	4.767e+009	0.000e+000	9.652e-003	2.315e-001	1.836e+001	8.598e-001	4.730e+001	2.504e-005	53.373	8.261e-001	2.048e+002	
23	4933.7	3.0070e+001	8.865e-001	5.403e+009	0.000e+000	1.107e-002	2.328e-001	1.750e+001	8.979e-001	5.270e+001	3.479e-005	51.513	9.663e-001	1.959e+002	
24	4354.5	3.0040e+001	8.532e-001	5.886e+009	0.000e+000	9.826e-003	2.330e-001	2.073e+001	8.655e-001	5.779e+001	3.251e-005	49.767	8.805e-001	2.022e+002	
25	6419.7	3.0500e+001	1.172e+000	5.568e+009	0.000e+000	1.682e-002	2.295e-001	1.887e+001	8.852e-001	5.494e+001	4.762e-005	58.393	1.280e+000	1.994e+002	
26	4694.2	2.9980e+001	8.637e-001	5.516e+009	4.407e-006	9.725e-003	1.067e+000	2.518e+001	1.734e+000	6.197e+001	4.130e-005	47.698	8.987e-001	1.914e+002	
27	3021.5	3.0240e+001	5.569e-001	5.574e+009	1.275e-007	5.981e-003	2.646e-001	2.127e+001	8.598e-001	5.487e+001	2.080e-005	47.222	5.465e-001	1.809e+002	
28	4464.5	3.0320e+001	7.473e-001	5.075e+009	2.404e-007	1.118e-002	2.968e-001	1.967e+001	8.245e-001	4.670e+001	2.364e-005	59.136	8.530e-001	1.911e+002	
29	3800.8	3.0030e+001	7.510e-001	5.934e+009	1.913e-007	8.738e-003	2.331e-001	1.704e+001	8.325e-001	5.253e+001	2.436e-005	54.246	7.132e-001	1.877e+002	
30	4284.1	3.0110e+001	8.074e-001	5.675e+009	0.000e+000	1.047e-002	2.657e-001	2.141e+001	8.303e-001	5.324e+001	2.737e-005	54.268	8.884e-001	2.074e+002	
31	4175.2	3.0250e+001	7.571e-001	5.485e+009	0.000e+000	8.160e-003	2.314e-001	1.903e+001	8.264e-001	5.240e+001	2.688e-005	45.455	8.020e-001	1.921e+002	
32	2625.3	3.0430e+001	4.887e-001	5.665e+009	0.000e+000	5.386e-003	2.300e-001	2.616e+001	8.216e-001	6.073e+001	2.047e-005	44.561	5.239e-001	1.996e+002	
33	3298.6	3.0480e+001	5.750e-001	5.313e+009	1.619e-007	7.386e-003	2.297e-001	1.680e+001	8.530e-001	5.011e+001	2.128e-005	54.068	5.739e-001	1.740e+002	
34	2310.3	3.0110e+001	4.241e-001	5.527e+009	0.000e+000	5.662e-003	2.325e-001	2.208e+001	8.303e-001	5.584e+001	1.629e-005	58.120	4.336e-001	1.877e+002	
35	2622.7	3.0380e+001	4.704e-001	5.448e+009	0.000e+000	6.778e-003	2.304e-001	2.301e+001	8.887e-001	5.910e+001	2.156e-005	57.275	5.273e-001	2.011e+002	
36	4196.9	3.0210e+001	7.100e-001	5.111e+009	1.987e-007	8.058e-003	2.317e-001	1.753e+001	8.937e-001	5.073e+001	2.915e-005	46.971	7.603e-001	1.812e+002	
