Three Phase Analysis Version 6.0
Source File: D:\20241209$IHNY$25 AActrl$25pys 0.01$25pys 0.03$25pys 0.05.uvc
RECORD	CROSS-SECTIONAL AREA	MEAN DIAMETER	MAX DIAMETER	MIN DIAMETER	ELASTIC EMOD	ELASTIC GRADIENT	ELASTIC EXT	ELASTIC STRESS	PLATEAU LOAD	PLATEAU STRESS	LOAD 15%	STRESS 15%	WORK 15%	LOAD 25%	STRESS 25%	WORK 25%	YIELD EXT	POSTYIELD GRADIENT	BREAK EXT	BREAK LOAD	BREAK STRESS	TOTAL WORK	TOUGHNESS
	  sq. microns	Microns	Microns	Microns	Pascals	gmf/mm	% Strain	gmf/sq micron	gmf	gmf/sq micron	gmf	gmf/sq micron	Joules	gmf	gmf/sq micron	Joules	% Strain	gmf/mm	% Strain	gmf	gmf/sq micron	Joules	Joules/m3
1	4453.1	76.0	80.8	70.2	3.784e+009	5.707e+001	3.32	1.263e-002	5.785e+001	1.299e-002	5.705e+001	1.281e-002	2.309e-003	5.890e+001	1.323e-002	4.007e-003	28.90	3.643e+000	55.81	9.140e+001	2.052e-002	1.090e-002	8.135e+007
2	5144.7	85.4	102.9	63.7	3.873e+009	6.688e+001	2.90	1.209e-002	6.358e+001	1.236e-002	6.250e+001	1.215e-002	2.579e-003	6.580e+001	1.279e-002	4.496e-003	28.12	3.385e+000	54.63	9.130e+001	1.775e-002	1.129e-002	7.224e+007
3	3410.2	71.1	87.6	49.6	4.544e+009	5.218e+001	2.87	1.343e-002	4.660e+001	1.367e-002	4.695e+001	1.377e-002	1.900e-003	4.775e+001	1.400e-002	3.307e-003	25.67	2.616e+000	49.95	6.495e+001	1.905e-002	7.397e-003	7.165e+007
4	3855.5	82.2	105.8	46.4	4.731e+009	6.130e+001	3.03	1.491e-002	5.816e+001	1.508e-002	5.785e+001	1.500e-002	2.385e-003	5.970e+001	1.548e-002	4.118e-003	23.48	2.915e+000	45.24	7.660e+001	1.987e-002	8.151e-003	6.971e+007
5	3899.6	70.6	78.2	63.5	3.938e+009	5.202e+001	3.09	1.241e-002	5.034e+001	1.291e-002	4.900e+001	1.257e-002	2.021e-003	5.170e+001	1.326e-002	3.479e-003	29.51	3.438e+000	57.43	8.415e+001	2.158e-002	1.006e-002	8.573e+007
6	4537.3	78.3	89.0	64.9	3.713e+009	5.614e+001	3.07	1.264e-002	5.717e+001	1.260e-002	5.645e+001	1.244e-002	2.387e-003	5.865e+001	1.293e-002	4.088e-003	25.07	4.022e+000	47.79	8.505e+001	1.874e-002	8.967e-003	6.461e+007
7	3639.3	72.7	88.6	52.3	4.400e+009	5.398e+001	3.21	1.304e-002	4.874e+001	1.339e-002	4.925e+001	1.353e-002	1.955e-003	4.930e+001	1.355e-002	3.391e-003	26.72	3.036e+000	51.42	7.075e+001	1.944e-002	8.056e-003	7.320e+007
8	4822.7	81.9	98.0	62.7	4.655e+009	7.517e+001	2.43	1.183e-002	6.512e+001	1.350e-002	6.610e+001	1.371e-002	2.688e-003	6.860e+001	1.422e-002	4.681e-003	25.13	4.893e+000	49.28	1.025e+002	2.124e-002	1.085e-002	7.392e+007
9
10	4209.5	78.1	93.8	57.1	4.265e+009	5.986e+001	2.88	1.270e-002	5.528e+001	1.313e-002	5.460e+001	1.297e-002	2.292e-003	5.730e+001	1.361e-002	3.985e-003	23.26	3.449e+000	44.65	7.725e+001	1.835e-002	7.890e-003	6.131e+007
11	3542.0	68.7	80.8	55.8	3.994e+009	4.798e+001	3.13	1.294e-002	4.743e+001	1.339e-002	4.785e+001	1.351e-002	1.926e-003	5.065e+001	1.430e-002	3.362e-003	18.80	2.587e+000	36.27	6.170e+001	1.742e-002	5.207e-003	4.892e+007
12	4716.4	81.2	96.8	62.0	4.037e+009	6.422e+001	2.81	1.178e-002	5.697e+001	1.208e-002	5.695e+001	1.207e-002	2.336e-003	5.975e+001	1.267e-002	4.059e-003	24.16	2.966e+000	47.12	7.870e+001	1.669e-002	8.492e-003	5.958e+007
13	2824.9	60.8	68.4	52.5	4.409e+009	4.153e+001	2.62	1.211e-002	3.727e+001	1.319e-002	3.730e+001	1.320e-002	1.518e-003	3.920e+001	1.388e-002	2.680e-003	26.69	2.465e+000	51.88	5.745e+001	2.034e-002	6.525e-003	7.556e+007
14	4450.4	76.8	85.7	66.2	3.916e+009	5.906e+001	3.16	1.271e-002	5.801e+001	1.303e-002	5.730e+001	1.288e-002	2.352e-003	5.910e+001	1.328e-002	4.047e-003	28.99	3.742e+000	56.48	9.240e+001	2.076e-002	1.112e-002	8.303e+007
15	3711.8	68.5	76.3	61.9	4.222e+009	5.286e+001	2.91	1.278e-002	4.742e+001	1.277e-002	4.710e+001	1.269e-002	1.953e-003	4.885e+001	1.316e-002	3.370e-003	23.36	3.265e+000	45.37	6.730e+001	1.813e-002	6.826e-003	6.085e+007
16	2677.6	59.7	65.7	51.9	4.391e+009	3.972e+001	2.85	1.305e-002	3.530e+001	1.318e-002	3.465e+001	1.294e-002	1.440e-003	3.610e+001	1.348e-002	2.484e-003	29.57	2.127e+000	57.77	5.615e+001	2.097e-002	6.983e-003	8.644e+007
17	4441.9	79.0	97.3	58.1	4.049e+009	6.103e+001	3.06	1.311e-002	5.882e+001	1.324e-002	5.805e+001	1.307e-002	2.407e-003	6.105e+001	1.374e-002	4.132e-003	23.30	4.328e+000	45.44	8.645e+001	1.946e-002	8.557e-003	6.413e+007
18	2813.8	63.4	74.1	48.3	4.013e+009	3.797e+001	2.87	1.299e-002	3.698e+001	1.314e-002	3.685e+001	1.310e-002	1.532e-003	3.765e+001	1.338e-002	2.636e-003	25.11	2.384e+000	48.56	5.250e+001	1.866e-002	5.769e-003	6.764e+007
19	3558.7	70.1	82.3	55.1	3.650e+009	4.381e+001	3.18	1.249e-002	4.594e+001	1.291e-002	4.535e+001	1.274e-002	1.835e-003	4.795e+001	1.347e-002	3.216e-003	26.84	3.309e+000	51.72	7.195e+001	2.022e-002	7.933e-003	7.377e+007
20	4853.7	83.5	102.8	60.1	3.794e+009	6.181e+001	3.03	1.228e-002	6.083e+001	1.253e-002	6.015e+001	1.239e-002	2.506e-003	6.430e+001	1.325e-002	4.341e-003	17.16	2.715e+000	32.53	7.340e+001	1.512e-002	5.864e-003	3.978e+007
21	3010.6	63.2	68.3	56.1	4.112e+009	4.148e+001	2.73	1.222e-002	3.929e+001	1.305e-002	3.915e+001	1.300e-002	1.617e-003	4.135e+001	1.373e-002	2.810e-003	23.50	3.012e+000	45.56	5.960e+001	1.980e-002	5.894e-003	6.435e+007
22	3877.9	71.6	81.9	60.3	4.129e+009	5.350e+001	2.82	1.230e-002	4.796e+001	1.237e-002	4.745e+001	1.224e-002	1.995e-003	4.910e+001	1.266e-002	3.440e-003	23.14	2.642e+000	44.38	6.390e+001	1.648e-002	6.649e-003	5.620e+007
23	2620.2	59.2	68.0	49.0	4.052e+009	3.607e+001	2.87	1.290e-002	3.546e+001	1.353e-002	3.525e+001	1.345e-002	1.424e-003	3.705e+001	1.414e-002	2.475e-003	27.53	2.617e+000	54.40	5.860e+001	2.236e-002	6.642e-003	8.449e+007
24	4697.4	82.7	99.5	60.1	3.976e+009	6.324e+001	3.19	1.291e-002	6.248e+001	1.330e-002	6.220e+001	1.324e-002	2.529e-003	6.565e+001	1.398e-002	4.417e-003	22.49	5.057e+000	43.22	9.310e+001	1.982e-002	8.631e-003	6.104e+007
25	2899.9	62.4	70.8	52.1	4.269e+009	4.210e+001	4.14	1.462e-002	4.338e+001	1.496e-002	4.255e+001	1.467e-002	1.622e-003	4.400e+001	1.517e-002	2.907e-003	30.60	2.458e+000	58.43	6.550e+001	2.259e-002	8.253e-003	9.496e+007
26	3859.3	72.8	82.6	59.6	3.815e+009	4.971e+001	3.01	1.205e-002	4.870e+001	1.262e-002	4.825e+001	1.250e-002	1.979e-003	5.060e+001	1.311e-002	3.418e-003	26.57	3.697e+000	51.51	7.820e+001	2.026e-002	8.488e-003	7.285e+007
27	3421.3	71.1	88.1	49.5	4.129e+009	4.774e+001	2.98	1.326e-002	4.667e+001	1.364e-002	4.635e+001	1.355e-002	1.899e-003	4.920e+001	1.438e-002	3.314e-003	23.61	3.743e+000	45.86	7.180e+001	2.099e-002	7.030e-003	6.813e+007
28	2807.8	61.3	69.1	51.8	3.673e+009	3.488e+001	3.05	1.261e-002	3.699e+001	1.317e-002	3.715e+001	1.323e-002	1.513e-003	3.800e+001	1.353e-002	2.606e-003	22.69	2.633e+000	43.99	5.265e+001	1.875e-002	5.141e-003	6.075e+007
29	4084.9	74.2	87.9	59.2	4.096e+009	5.653e+001	2.82	1.198e-002	5.190e+001	1.271e-002	5.175e+001	1.267e-002	2.115e-003	5.340e+001	1.307e-002	3.672e-003	23.96	3.413e+000	46.77	7.400e+001	1.812e-002	7.702e-003	6.249e+007
30	3527.0	71.4	87.6	51.3	4.034e+009	4.821e+001	3.16	1.321e-002	4.686e+001	1.329e-002	4.635e+001	1.314e-002	1.931e-003	4.770e+001	1.352e-002	3.290e-003	22.37	3.088e+000	43.32	6.455e+001	1.830e-002	6.305e-003	5.943e+007
31	2976.7	62.0	69.6	54.5	4.110e+009	4.145e+001	2.76	1.196e-002	3.612e+001	1.214e-002	3.605e+001	1.211e-002	1.493e-003	3.725e+001	1.251e-002	2.559e-003	18.44	6.789e-001	35.89	4.005e+001	1.345e-002	3.793e-003	4.235e+007
32	3894.0	73.5	87.2	56.9	3.471e+009	4.571e+001	3.22	1.246e-002	4.987e+001	1.281e-002	4.930e+001	1.266e-002	2.014e-003	5.180e+001	1.330e-002	3.479e-003	27.41	3.406e+000	53.15	7.860e+001	2.019e-002	8.897e-003	7.580e+007
33	2237.6	53.5	58.3	48.8	3.880e+009	2.933e+001	2.72	1.162e-002	2.820e+001	1.260e-002	2.765e+001	1.236e-002	1.121e-003	3.210e+001	1.435e-002	1.999e-003	25.49	1.905e+000	50.05	4.420e+001	1.975e-002	4.729e-003	7.005e+007
34	4805.9	82.3	102.9	59.3	4.639e+009	7.519e+001	2.02	1.008e-002	5.446e+001	1.133e-002	6.850e+001	1.425e-002	2.424e-003				11.38	1.609e+000	22.96	6.945e+001	1.445e-002	4.054e-003	2.791e+007
35	3709.0	70.5	80.4	58.8	3.872e+009	4.829e+001	3.10	1.296e-002	5.019e+001	1.353e-002	5.000e+001	1.348e-002	2.044e-003	5.255e+001	1.417e-002	3.555e-003	24.91	3.828e+000	47.81	7.765e+001	2.094e-002	7.940e-003	7.063e+007
