Three Phase Analysis Version 6.0
Source File: D:\20241209$IHNY$25pk30 phosctrl$25pk30 0.01$25pk30 0.03$25pk30 0.05.uvc
RECORD	CROSS-SECTIONAL AREA	MEAN DIAMETER	MAX DIAMETER	MIN DIAMETER	ELASTIC EMOD	ELASTIC GRADIENT	ELASTIC EXT	ELASTIC STRESS	PLATEAU LOAD	PLATEAU STRESS	LOAD 15%	STRESS 15%	WORK 15%	LOAD 25%	STRESS 25%	WORK 25%	YIELD EXT	POSTYIELD GRADIENT	BREAK EXT	BREAK LOAD	BREAK STRESS	TOTAL WORK	TOUGHNESS
	  sq. microns	Microns	Microns	Microns	Pascals	gmf/mm	% Strain	gmf/sq micron	gmf	gmf/sq micron	gmf	gmf/sq micron	Joules	gmf	gmf/sq micron	Joules	% Strain	gmf/mm	% Strain	gmf	gmf/sq micron	Joules	Joules/m3
1	3986.6	75.5	93.7	54.2	3.889e+009	5.205e+001	2.93	1.207e-002	4.923e+001	1.235e-002	4.840e+001	1.214e-002	2.012e-003	4.985e+001	1.250e-002	3.477e-003	27.80	2.555e+000	53.56	6.840e+001	1.716e-002	8.375e-003	6.920e+007
2	3490.9	66.5	73.7	60.3	4.006e+009	4.741e+001	3.09	1.270e-002	4.446e+001	1.274e-002	4.355e+001	1.248e-002	1.796e-003	4.535e+001	1.299e-002	3.122e-003	26.87	2.849e+000	52.51	6.760e+001	1.936e-002	7.714e-003	7.348e+007
3	2401.4	58.4	69.5	44.0	4.290e+009	3.446e+001	2.69	1.266e-002	3.148e+001	1.311e-002	3.145e+001	1.310e-002	1.290e-003	3.260e+001	1.358e-002	2.247e-003	28.09	2.011e+000	54.51	4.765e+001	1.984e-002	5.741e-003	7.845e+007
4	6132.4	93.0	112.8	69.3	4.077e+009	8.427e+001	3.11	1.303e-002	8.017e+001	1.307e-002	7.935e+001	1.294e-002	3.266e-003	8.215e+001	1.340e-002	5.664e-003	21.92	4.585e+000	41.96	1.053e+002	1.717e-002	1.031e-002	5.560e+007
5	3513.1	71.0	85.0	52.7	4.321e+009	5.148e+001	2.99	1.301e-002	4.610e+001	1.312e-002	4.540e+001	1.292e-002	1.880e-003	4.750e+001	1.352e-002	3.250e-003	25.98	2.650e+000	50.60	6.605e+001	1.880e-002	7.473e-003	7.076e+007
6	3900.5	70.1	76.1	65.3	3.635e+009	4.804e+001	2.96	1.206e-002	4.950e+001	1.269e-002	4.885e+001	1.252e-002	2.000e-003	5.195e+001	1.332e-002	3.488e-003	25.53	3.604e+000	49.97	7.810e+001	2.002e-002	8.282e-003	7.059e+007
7
8	3424.2	72.2	87.7	49.7	4.766e+009	5.510e+001	2.78	1.390e-002	4.829e+001	1.410e-002	4.765e+001	1.392e-002	1.976e-003	4.990e+001	1.457e-002	3.418e-003	25.64	3.321e+000	49.95	7.315e+001	2.136e-002	7.964e-003	7.704e+007
9	3521.3	67.4	71.8	62.4	3.859e+009	4.572e+001	3.00	1.230e-002	4.520e+001	1.283e-002	4.460e+001	1.267e-002	1.832e-003	4.735e+001	1.345e-002	3.192e-003	27.85	2.869e+000	54.03	7.020e+001	1.994e-002	8.221e-003	7.705e+007
10	2213.6	54.1	60.9	46.3	3.999e+009	3.000e+001	2.69	1.258e-002	2.935e+001	1.326e-002	2.945e+001	1.330e-002	1.197e-003	2.990e+001	1.351e-002	2.078e-003	26.46	1.725e+000	52.26	4.290e+001	1.938e-002	4.983e-003	7.484e+007
11	4267.9	82.1	101.8	53.4	3.994e+009	5.752e+001	3.08	1.307e-002	5.679e+001	1.331e-002							6.39	1.045e+000	10.66	5.625e+001	1.318e-002	1.574e-003	1.221e+007
12	4345.5	77.7	90.4	61.2	3.505e+009	5.113e+001	3.19	1.244e-002	5.485e+001	1.262e-002	5.450e+001	1.254e-002	2.224e-003	5.575e+001	1.283e-002	3.877e-003	27.60	2.951e+000	52.96	7.635e+001	1.757e-002	9.329e-003	7.071e+007
13	3293.5	68.3	83.1	50.5	4.434e+009	4.899e+001	2.86	1.336e-002	4.470e+001	1.357e-002							3.13	5.875e+000	3.52	4.600e+001	1.397e-002	3.207e-004	3.205e+006
14	3019.7	67.0	81.2	47.4	4.607e+009	4.713e+001	2.89	1.366e-002	4.229e+001	1.401e-002	4.215e+001	1.396e-002	1.733e-003	4.340e+001	1.437e-002	2.981e-003	24.86	2.488e+000	48.72	5.880e+001	1.947e-002	6.492e-003	7.144e+007
15	2411.9	56.4	62.5	49.2	4.045e+009	3.304e+001	3.12	1.300e-002	3.246e+001	1.346e-002	3.260e+001	1.352e-002	1.331e-003	3.380e+001	1.401e-002	2.294e-003	18.04	1.076e+000	34.72	3.910e+001	1.621e-002	3.313e-003	4.563e+007
16	3015.1	61.7	65.3	58.8	3.979e+009	4.025e+001	2.76	1.192e-002	3.657e+001	1.213e-002	3.685e+001	1.222e-002	1.510e-003	3.730e+001	1.237e-002	2.619e-003	19.06	6.149e-001	36.73	4.125e+001	1.368e-002	3.963e-003	4.326e+007
17	4320.6	75.5	84.1	65.4	3.773e+009	5.527e+001	3.13	1.283e-002	5.683e+001	1.315e-002	5.680e+001	1.315e-002	2.297e-003	5.985e+001	1.385e-002	4.020e-003	20.16	2.442e+000	38.79	7.190e+001	1.664e-002	6.600e-003	5.082e+007
18	3192.4	66.3	78.2	52.0	4.243e+009	4.591e+001	2.99	1.327e-002	4.325e+001	1.355e-002	4.335e+001	1.358e-002	1.756e-003	4.455e+001	1.395e-002	3.054e-003	26.70	2.842e+000	52.31	6.545e+001	2.050e-002	7.455e-003	7.766e+007
19	3159.5	64.6	73.1	55.0	4.191e+009	4.490e+001	2.76	1.222e-002	3.977e+001	1.259e-002	4.010e+001	1.269e-002	1.635e-003	4.085e+001	1.293e-002	2.838e-003	18.40	1.020e+000	35.86	4.645e+001	1.470e-002	4.187e-003	4.409e+007
20	5397.0	83.0	87.2	78.7	3.676e+009	6.657e+001	3.26	1.257e-002	6.804e+001	1.261e-002	6.740e+001	1.249e-002	2.770e-003	7.185e+001	1.331e-002	4.833e-003	15.80	1.901e+000	29.43	7.510e+001	1.392e-002	5.800e-003	3.538e+007
21	3362.5	66.6	75.4	56.8	4.301e+009	4.878e+001	2.68	1.228e-002	4.416e+001	1.313e-002	4.345e+001	1.292e-002	1.793e-003	4.645e+001	1.381e-002	3.127e-003	26.84	2.981e+000	52.71	7.095e+001	2.110e-002	7.977e-003	7.850e+007
22	4033.8	73.3	84.4	60.9	3.735e+009	5.079e+001	3.34	1.321e-002	5.383e+001	1.335e-002	5.305e+001	1.315e-002	2.198e-003	5.480e+001	1.359e-002	3.768e-003	27.71	3.607e+000	53.37	8.420e+001	2.087e-002	9.651e-003	7.912e+007
23	4933.7	81.5	96.9	64.8	4.063e+009	6.796e+001	2.96	1.271e-002	6.488e+001	1.315e-002	6.425e+001	1.302e-002	2.617e-003	6.760e+001	1.370e-002	4.567e-003	26.31	4.140e+000	51.51	9.850e+001	1.996e-002	1.107e-002	7.460e+007
24	4354.5	74.7	81.5	68.0	4.538e+009	6.705e+001	2.76	1.304e-002	6.065e+001	1.393e-002	6.150e+001	1.412e-002	2.447e-003	6.310e+001	1.449e-002	4.290e-003	25.30	4.005e+000	49.77	8.975e+001	2.061e-002	9.826e-003	7.512e+007
25	6419.7	93.8	109.5	74.6	4.054e+009	8.698e+001	3.02	1.295e-002	8.457e+001	1.317e-002	8.335e+001	1.298e-002	3.489e-003	8.585e+001	1.337e-002	5.999e-003	30.30	4.672e+000	58.39	1.305e+002	2.032e-002	1.682e-002	8.589e+007
