RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
1	4798.3	3.0250e+001	6.712e-001	4.231e+009	4.047e-007	9.520e-003	2.314e-001	1.268e+001	8.264e-001	3.793e+001	2.227e-005	46.744	9.276e-001	1.933e+002
2														
3	3736.3	3.0310e+001	6.504e-001	5.276e+009	1.496e-007	8.144e-003	2.309e-001	1.628e+001	8.578e-001	4.976e+001	2.347e-005	46.882	8.109e-001	2.170e+002
4	2128.5	3.1140e+001	1.689e-001	2.471e+009	0.000e+000	4.243e-003	2.248e-001	1.959e+001	8.671e-001	2.996e+001	6.720e-006	45.568	3.846e-001	1.807e+002
5	3768.1	3.0360e+001	6.879e-001	5.542e+009	4.390e-007	7.247e-003	2.964e-001	2.031e+001	8.564e-001	5.194e+001	2.312e-005	45.652	6.818e-001	1.809e+002
6	6587.9	3.0140e+001	1.074e+000	4.914e+009	2.747e-007	1.111e-002	2.654e-001	1.385e+001	8.626e-001	4.267e+001	3.320e-005	41.705	1.146e+000	1.739e+002
7	3768.7	3.0050e+001	5.935e-001	4.733e+009	1.815e-007	7.597e-003	2.329e-001	1.536e+001	8.319e-001	4.438e+001	2.066e-005	48.153	6.917e-001	1.835e+002
8	3524	3.0710e+001	5.269e-001	4.591e+009	4.856e-007	8.167e-003	2.931e-001	1.517e+001	8.466e-001	4.051e+001	1.651e-005	57.506	6.249e-001	1.773e+002
9	3461.5	3.0220e+001	6.366e-001	5.557e+009	2.600e-007	7.701e-003	2.647e-001	1.814e+001	8.273e-001	4.974e+001	2.010e-005	49.437	7.137e-001	2.062e+002
10	3838.7	3.0100e+001	4.365e-001	3.423e+009	4.071e-007	7.068e-003	2.326e-001	9.584e+000	8.306e-001	3.016e+001	1.243e-005	47.907	6.264e-001	1.632e+002
11	5291.1	3.0040e+001	8.490e-001	4.820e+009	3.213e-007	1.160e-002	2.663e-001	1.576e+001	8.322e-001	4.413e+001	2.700e-005	50.533	1.061e+000	2.005e+002
12	4160.5	2.9970e+001	1.430e-002	1.030e+008	0.000e+000	1.046e-003	2.002e-001	6.720e+000	8.008e-001	7.664e+000	5.001e-006	8.342	5.455e-001	1.311e+002
13	2192.1	3.0360e+001	4.190e-001	5.803e+009	0.000e+000	4.322e-004	2.964e-001	2.685e+001	8.893e-001	6.087e+001	1.768e-005	5.698	3.149e-001	1.437e+002
14	3357.9	3.0570e+001	5.308e-001	4.833e+009	-1.47E-08	8.426e-003	2.617e-001	2.001e+001	8.505e-001	4.865e+001	2.103e-005	54.4	6.843e-001	2.038e+002
15	4174.2	3.0190e+001	6.255e-001	4.524e+009	0.000e+000	9.212e-003	2.319e-001	1.680e+001	8.612e-001	4.595e+001	2.475e-005	51.143	7.863e-001	1.884e+002
16	6723.8	3.0280e+001	1.003e+000	4.518e+009	4.071e-007	7.676e-003	2.642e-001	1.284e+001	8.917e-001	4.137e+001	3.513e-005	30.812	9.379e-001	1.395e+002
17	3404	3.0240e+001	5.874e-001	5.219e+009	-4.91E-09	2.610e-003	2.646e-001	1.917e+001	8.598e-001	4.943e+001	2.154e-005	20.403	4.577e-001	1.344e+002
18	4089.6	3.0260e+001	7.979e-001	5.904e+009	0.000e+000	8.265e-003	2.644e-001	2.135e+001	8.923e-001	5.853e+001	3.161e-005	44.052	8.403e-001	2.055e+002
19	3358.8	3.0520e+001	5.294e-001	4.810e+009	0.000e+000	4.616e-003	2.621e-001	2.132e+001	8.191e-001	4.819e+001	1.996e-005	37.254	5.273e-001	1.570e+002
20	2821	3.0380e+001	4.783e-001	5.151e+009	1.864e-007	6.276e-003	2.304e-001	1.791e+001	8.887e-001	5.234e+001	1.998e-005	49.013	5.729e-001	2.031e+002
21	4365.3	3.0110e+001	6.952e-001	4.795e+009	9.811e-008	8.106e-003	2.657e-001	1.697e+001	8.303e-001	4.439e+001	2.274e-005	43.208	8.241e-001	1.888e+002
