RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
1	3044.1	3.0120e+001	6.386e-001	6.319e+009	0.000e+000	6.331e-003	2.324e-001	2.449e+001	8.632e-001	6.381e+001	2.616e-005	41.003	6.539e-001	2.148e+002
2	6142.8	3.0170e+001	1.016e+000	4.989e+009	4.734e-007	1.277e-002	2.320e-001	1.334e+001	8.286e-001	4.312e+001	3.195e-005	44.448	1.227e+000	1.997e+002
3	3684	3.0130e+001	6.458e-001	5.282e+009	2.943e-008	9.297e-003	2.655e-001	2.090e+001	8.297e-001	5.166e+001	2.275e-005	47.594	8.820e-001	2.394e+002
4	3522.9	3.0160e+001	7.034e-001	6.022e+009	0.000e+000	7.945e-003	2.653e-001	2.451e+001	8.621e-001	6.029e+001	2.676e-005	46.85	6.990e-001	1.984e+002
5	4033.5	3.0080e+001	7.269e-001	5.421e+009	2.281e-007	7.977e-003	2.660e-001	1.897e+001	8.311e-001	5.035e+001	2.408e-005	40.791	8.511e-001	2.110e+002
6	3800.1	3.0120e+001	6.939e-001	5.500e+009	0.000e+000	1.019e-002	2.324e-001	1.962e+001	8.300e-001	5.331e+001	2.507e-005	53.586	8.275e-001	2.178e+002
7	3878.9	3.0080e+001	7.280e-001	5.645e+009	2.379e-007	7.558e-003	2.660e-001	1.935e+001	8.311e-001	5.185e+001	2.343e-005	41.789	7.436e-001	1.917e+002
8	5588.5	3.0060e+001	1.007e+000	5.416e+009	1.717e-008	1.191e-002	2.329e-001	1.685e+001	8.317e-001	4.942e+001	3.359e-005	43.812	1.206e+000	2.158e+002
9	4003.5	3.0160e+001	7.469e-001	5.627e+009	0.000e+000	5.264e-003	2.653e-001	2.267e+001	8.621e-001	5.673e+001	2.858e-005	29.41	6.549e-001	1.636e+002
10	3750.8	3.0130e+001	6.832e-001	5.488e+009	2.551e-007	2.870e-003	2.323e-001	1.530e+001	8.961e-001	5.035e+001	2.461e-005	18.487	5.872e-001	1.565e+002
11	3237.4	3.0090e+001	5.576e-001	5.182e+009	1.472e-007	7.796e-003	2.326e-001	1.849e+001	8.641e-001	5.197e+001	2.165e-005	48.322	7.206e-001	2.226e+002
12	3057.9	3.0330e+001	5.809e-001	5.761e+009	1.962e-007	6.351e-003	2.308e-001	1.989e+001	8.902e-001	5.807e+001	2.430e-005	43.686	6.205e-001	2.029e+002
13	3141.5	3.0140e+001	5.696e-001	5.465e+009	9.811e-009	5.978e-003	2.654e-001	1.967e+001	8.626e-001	5.168e+001	2.062e-005	41.705	5.970e-001	1.900e+002
14	3250.5	3.0220e+001	5.718e-001	5.316e+009	6.205e-007	2.748e-003	2.647e-001	1.569e+001	8.273e-001	4.542e+001	1.703e-005	20.649	4.842e-001	1.489e+002
15	3463.5	3.0260e+001	6.966e-001	6.086e+009	9.811e-009	5.961e-003	2.644e-001	2.337e+001	8.592e-001	6.048e+001	2.599e-005	35.36	6.681e-001	1.929e+002
16	4180	3.0310e+001	7.532e-001	5.462e+009	1.938e-007	8.763e-003	2.969e-001	2.406e+001	8.908e-001	5.680e+001	3.110e-005	47.245	7.898e-001	1.889e+002
17	4066.7	3.0140e+001	6.698e-001	4.964e+009	8.339e-008	6.902e-003	2.654e-001	1.665e+001	8.626e-001	4.596e+001	2.314e-005	40.71	7.029e-001	1.728e+002
18	4173.8	3.0060e+001	7.399e-001	5.329e+009	1.275e-007	9.611e-003	2.329e-001	1.775e+001	8.317e-001	5.018e+001	2.564e-005	47.472	9.124e-001	2.186e+002
19	3743.9	2.9980e+001	9.412e-004	7.537e+006	0.000e+000	8.425e-003	2.001e-001	1.428e+001	8.005e-001	1.428e+001	9.521e-006	44.029	8.349e-001	2.230e+002
20	5013.9	3.0120e+001	8.399e-001	5.046e+009	3.826e-007	1.283e-002	2.324e-001	1.360e+001	8.632e-001	4.481e+001	2.851e-005	52.623	1.097e+000	2.189e+002
21	4466.6	2.9970e+001	7.608e-001	5.105e+009	9.345e-007	2.124e-003	2.002e-001	4.942e+000	8.342e-001	3.536e+001	1.594e-005	12.312	6.534e-001	1.463e+002
