RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
1	2785.8	3.0440e+001	5.439e-001	5.943e+009	-5.15E-08	5.881e-003	2.628e-001	2.606e+001	8.870e-001	6.286e+001	2.357e-005	44.875	5.308e-001	1.905e+002
2	3082.9	3.0090e+001	5.708e-001	5.571e+009	4.096e-007	3.750e-003	2.326e-001	1.543e+001	8.641e-001	5.092e+001	1.948e-005	29.711	4.660e-001	1.512e+002
3	4206.9	2.9980e+001	7.538e-001	5.372e+009	6.377e-008	1.108e-002	2.001e-001	1.469e+001	8.005e-001	4.734e+001	2.321e-005	52.568	9.492e-001	2.256e+002
4	4155.1	3.0270e+001	6.960e-001	5.070e+009	4.292e-007	5.088e-004	2.313e-001	1.547e+001	8.259e-001	4.651e+001	2.320e-005	4.328	5.872e-001	1.413e+002
5	3959.6	3.0130e+001	8.183e-001	6.227e+009	2.183e-007	8.334e-003	2.655e-001	1.920e+001	8.297e-001	5.451e+001	2.514e-005	45.669	7.657e-001	1.934e+002
6	3091	3.0320e+001	6.350e-001	6.228e+009	1.472e-008	6.920e-003	2.639e-001	2.396e+001	8.245e-001	5.903e+001	2.169e-005	44.492	6.480e-001	2.096e+002
7	5788.9	3.0280e+001	9.509e-001	4.974e+009	5.788e-007	9.838e-003	2.642e-001	1.322e+001	8.917e-001	4.432e+001	3.231e-005	40.852	1.026e+000	1.772e+002
8	2509.6	3.0280e+001	4.810e-001	5.804e+009	3.753e-007	1.181e-004	2.642e-001	2.072e+001	8.917e-001	5.688e+001	1.879e-005	2.279	3.027e-001	1.206e+002
9	4170.3	3.0160e+001	7.502e-001	5.425e+009	3.188e-007	1.036e-002	2.653e-001	1.776e+001	8.952e-001	5.140e+001	2.723e-005	51.061	8.712e-001	2.089e+002
10	3635.5	3.0650e+001	4.165e-001	3.512e+009	1.163e-006	7.834e-003	2.936e-001	7.016e+000	9.135e-001	2.847e+001	1.064e-005	45.449	6.843e-001	1.882e+002
11	3600.5	3.0340e+001	7.256e-001	6.115e+009	1.324e-007	9.112e-003	2.307e-001	1.921e+001	8.899e-001	5.940e+001	2.903e-005	50.231	7.466e-001	2.074e+002
12	3853	3.0190e+001	6.682e-001	5.235e+009	0.000e+000	9.488e-003	2.319e-001	1.884e+001	8.612e-001	5.143e+001	2.552e-005	53.428	7.868e-001	2.042e+002
13	5195.8	3.0070e+001	1.052e+000	6.086e+009	4.881e-007	8.701e-003	2.660e-001	1.973e+001	8.314e-001	5.485e+001	3.383e-005	37.745	9.256e-001	1.781e+002
14	3184.2	2.9980e+001	6.593e-001	6.208e+009	6.970e-006	6.494e-003	1.334e+000	3.898e+001	1.968e+000	7.811e+001	3.533e-005	41.694	6.701e-001	2.104e+002
15	3784	3.0190e+001	7.387e-001	5.894e+009	9.811e-009	8.185e-003	2.319e-001	2.100e+001	8.612e-001	5.821e+001	2.830e-005	44.154	7.775e-001	2.055e+002
16	4788.9	3.0450e+001	9.930e-001	6.314e+009	8.658e-007	7.709e-003	2.627e-001	1.629e+001	8.539e-001	5.378e+001	3.067e-005	35.665	8.261e-001	1.725e+002
17	4019.6	2.9980e+001	7.162e-001	5.342e+009	1.218e-005	6.118e-004	1.901e+000	2.160e+001	2.335e+000	4.491e+001	1.771e-005	6.404	6.088e-001	1.514e+002
18	5439.6	3.0360e+001	1.052e+000	5.871e+009	0.000e+000	1.548e-002	2.306e-001	2.083e+001	8.893e-001	5.961e+001	4.504e-005	55.468	1.244e+000	2.286e+002
19	2190.2	3.0300e+001	4.526e-001	6.262e+009	0.000e+000	4.758e-003	2.640e-001	2.598e+001	8.251e-001	6.070e+001	1.630e-005	43.63	4.606e-001	2.103e+002
20	2638.6	3.0380e+001	5.580e-001	6.425e+009	2.943e-008	5.582e-003	2.304e-001	2.268e+001	8.229e-001	6.079e+001	2.022e-005	45.359	4.945e-001	1.874e+002
21	3472.2	3.0240e+001	6.426e-001	5.596e+009	1.128e-007	7.162e-003	2.646e-001	1.921e+001	8.598e-001	5.241e+001	2.219e-005	44.511	6.818e-001	1.964e+002
22	3788.2	3.0220e+001	7.623e-001	6.081e+009	4.120e-007	5.262e-003	2.647e-001	1.800e+001	8.604e-001	5.348e+001	2.459e-005	30.874	6.210e-001	1.639e+002
23	3085.6	3.0520e+001	5.096e-001	5.041e+009	5.690e-007	6.308e-003	2.621e-001	1.431e+001	8.191e-001	4.229e+001	1.486e-005	49.083	5.136e-001	1.664e+002
24	2643.1	3.0300e+001	5.007e-001	5.740e+009	0.000e+000	6.538e-003	2.640e-001	2.598e+001	8.251e-001	5.828e+001	1.916e-005	50.396	5.528e-001	2.092e+002
25	4171.8	3.0210e+001	8.035e-001	5.819e+009	8.830e-008	9.250e-003	2.317e-001	1.799e+001	8.937e-001	5.597e+001	3.085e-005	44.455	9.104e-001	2.182e+002
26	3347.7	3.0430e+001	5.934e-001	5.394e+009	0.000e+000	7.603e-003	2.300e-001	2.037e+001	8.216e-001	5.275e+001	2.192e-005	47.815	6.774e-001	2.024e+002
27	3659.5	3.0380e+001	7.726e-001	6.414e+009	1.962e-008	6.007e-003	2.304e-001	2.252e+001	8.229e-001	5.965e+001	2.727e-005	35.583	6.470e-001	1.768e+002
28	2910.4	3.0060e+001	5.846e-001	6.038e+009	0.000e+000	8.608e-003	2.329e-001	2.208e+001	8.649e-001	5.983e+001	2.238e-005	53.892	7.235e-001	2.486e+002
29	3138.9	3.0360e+001	6.094e-001	5.894e+009	1.790e-007	2.562e-003	2.306e-001	2.141e+001	8.893e-001	6.032e+001	2.589e-005	19.73	4.685e-001	1.492e+002
30	3983	3.0160e+001	8.138e-001	6.162e+009	0.000e+000	9.533e-003	2.653e-001	2.278e+001	8.952e-001	6.047e+001	3.163e-005	49.735	8.275e-001	2.078e+002
31	5132.5	3.0160e+001	9.858e-001	5.793e+009	0.000e+000	6.267e-003	2.653e-001	2.150e+001	8.952e-001	5.677e+001	3.834e-005	30.405	7.407e-001	1.443e+002
32	2698.8	3.0180e+001	5.391e-001	6.029e+009	0.000e+000	7.000e-003	2.651e-001	2.417e+001	8.284e-001	5.725e+001	1.887e-005	50.398	6.068e-001	2.248e+002
33	4022.4	3.0260e+001	7.463e-001	5.614e+009	5.886e-008	1.191e-002	2.644e-001	1.890e+001	8.923e-001	5.415e+001	2.829e-005	57.733	9.242e-001	2.298e+002
