Record	Sample	Description	Min. Diameter	Min. Diameter SD	Max. Diameter	Max. Diameter SD	Mean Cross-Section	Break Extension	Break Value
1	1	"Slot 1 : MTT Extension Method, Cycle: 1"	66.03	1.772	92.52	0.284	4798.26	46.74	94.55
2		tag							
3	3	"Slot 3 : MTT Extension Method, Cycle: 1"	58.96	1.566	80.71	3.571	3736.32	46.88	82.65
4	4	"Slot 4 : MTT Extension Method, Cycle: 1"	45.81	3.562	59.06	1.782	2128.47	45.57	39.2
5	5	"Slot 5 : MTT Extension Method, Cycle: 1"	61.71	2.542	77.71	2.459	3768.15	45.65	69.5
6	6	"Slot 6 : MTT Extension Method, Cycle: 1"	75.78	3.786	110.66	0.794	6587.91	41.71	116.8
7	7	"Slot 7 : MTT Extension Method, Cycle: 1"	62.24	1.633	77.07	1.167	3768.72	48.15	70.5
8	8	"Slot 8 : MTT Extension Method, Cycle: 1"	59.88	1.591	74.94	0.141	3524.02	57.51	63.7
9	9	"Slot 9 : MTT Extension Method, Cycle: 1"	52.43	2.01	84.11	2.461	3461.49	49.44	72.75
10	10	"Slot 10 : MTT Extension Method, Cycle: 1"	65.65	0	74.45	0	3838.74	47.91	63.85
11	11	"Slot 11 : MTT Extension Method, Cycle: 1"	66.63	0.7	101.11	0.545	5291.07	50.53	108.15
12	12	"Slot 12 : MTT Extension Method, Cycle: 1"	58.26	0.781	90.91	5.108	4160.49	8.34	55.6
13	13	"Slot 13 : MTT Extension Method, Cycle: 1"	40.82	0.577	68.4	2.247	2192.07	5.7	32.1
14	14	"Slot 14 : MTT Extension Method, Cycle: 1"	54.25	3.51	78.96	3.413	3357.9	54.4	69.75
15	15	"Slot 15 : MTT Extension Method, Cycle: 1"	58.21	0.841	91.29	2.912	4174.18	51.14	80.15
16	16	"Slot 16 : MTT Extension Method, Cycle: 1"	81.85	4.901	104.7	7.263	6723.76	30.81	95.6
17	17	"Slot 17 : MTT Extension Method, Cycle: 1"	56.46	3.405	76.78	2.115	3404.04	20.4	46.65
18	18	"Slot 18 : MTT Extension Method, Cycle: 1"	61	0.588	85.38	2.998	4089.64	44.05	85.65
19	19	"Slot 19 : MTT Extension Method, Cycle: 1"	61.05	0	70.05	0	3358.8	37.25	53.75
20	20	"Slot 20 : MTT Extension Method, Cycle: 1"	54.8	4.525	65.68	3.147	2821.05	49.01	58.4
21	21	"Slot 21 : MTT Extension Method, Cycle: 1"	59.88	2.185	92.78	1.917	4365.27	43.21	84
22	22	"Slot 22 : MTT Extension Method, Cycle: 1"	50.25	2.783	85.48	1.053	3374.94	35.16	62.7
23	23	"Slot 23 : MTT Extension Method, Cycle: 1"	58.31	1.33	90.53	2.843	4145.85	45.32	87.35
24	24	"Slot 24 : MTT Extension Method, Cycle: 1"	54.35	1.986	72.92	1.39	3113.37	43.03	61.95
25	25	"Slot 25 : MTT Extension Method, Cycle: 1"	46.79	1.482	71.53	3.902	2629.71	45.96	44.85
26	26	"Slot 26 : MTT Extension Method, Cycle: 1"	63.41	1.101	79.98	2.817	3981.97	55.89	81.55
27	27	"Slot 27 : MTT Extension Method, Cycle: 1"	63.34	2.805	86.8	7.333	4307.74	51.3	78.75
28	28	"Slot 28 : MTT Extension Method, Cycle: 1"	64.68	1.893	87.7	1.822	4453.81	50.26	92.3
29	29	"Slot 29 : MTT Extension Method, Cycle: 1"	68.22	3.241	76.72	1.573	4111.96	52.81	84.55
30	30	"Slot 30 : MTT Extension Method, Cycle: 1"	50.73	2.029	68.92	2.754	2748.12	35.14	44.25
31	31	"Slot 31 : MTT Extension Method, Cycle: 1"	62.97	1.237	74.75	1.061	3697.68	44.25	71.8
32	32	"Slot 32 : MTT Extension Method, Cycle: 1"	71.83	2.292	82.22	0.506	4637.67	50.36	90.1
33	33	"Slot 33 : MTT Extension Method, Cycle: 1"	51.88	1.737	74.08	5.863	3021.47	12.96	42.6
34	34	"Slot 34 : MTT Extension Method, Cycle: 1"	57.46	3.894	91.46	2.705	4122.77	53.2	88.7
35	35	"Slot 35 : MTT Extension Method, Cycle: 1"	47.63	1.082	78.74	2.051	2944.44	41.15	65.25
36	36	"Slot 36 : MTT Extension Method, Cycle: 1"	55.57	1.484	88.05	1.818	3842.93	52.41	86.55
37	37	"Slot 37 : MTT Extension Method, Cycle: 1"	54.68	3.294	83.69	3.783	3593.71	4.6	49.05
38	38	"Slot 38 : MTT Extension Method, Cycle: 1"	65.95	0.354	74.27	0.962	3847.1	37.79	71.05
39	39	"Slot 39 : MTT Extension Method, Cycle: 1"	53.71	1.613	62.53	1.136	2637.23	47.73	58.05
40	40	"Slot 40 : MTT Extension Method, Cycle: 1"	70.93	3.083	82.52	2.523	4600.35	45.12	93
41	41	"Slot 41 : MTT Extension Method, Cycle: 1"	58.72	1.591	73.92	2.942	3406.96	38.83	57.4
42	42	"Slot 42 : MTT Extension Method, Cycle: 1"	74.99	1.822	97.17	2.021	5721.66	12.26	76.3
43	43	"Slot 43 : MTT Extension Method, Cycle: 1"	58.66	2.326	88.94	4.19	4092.77	52.27	83.95
44	44	"Slot 44 : MTT Extension Method, Cycle: 1"	66.52	4.342	90.12	3.281	4702.7	42.26	82.9
45		tag							
46	46	"Slot 46 : MTT Extension Method, Cycle: 1"	53.99	1.6	72.46	3.941	3070.44	50.79	63.5
47	47	"Slot 47 : MTT Extension Method, Cycle: 1"	55.34	1.303	64.21	2.552	2792.59	36.95	48.8
48	48	"Slot 48 : MTT Extension Method, Cycle: 1"	52.74	1.366	79.47	0.907	3291.69	56.02	70.9
49	49	"Slot 49 : MTT Extension Method, Cycle: 1"	70.96	0.584	105.2	3.175	5862.98	48.45	121.5
50	50	"Slot 50 : MTT Extension Method, Cycle: 1"	55.06	1.215	87.25	2.017	3772.99	55.86	81.9
51	51	"Slot 51 : MTT Extension Method, Cycle: 1"	63.88	2.526	107.4	1.182	5387	58.06	122.85
52	52	"Slot 52 : MTT Extension Method, Cycle: 1"	57.05	1.747	65.65	1.331	2942.47	51.17	63.1
53	53	"Slot 53 : MTT Extension Method, Cycle: 1"	69.11	3.339	85.93	1.5	4664.63	52.76	92.35
54	54	"Slot 54 : MTT Extension Method, Cycle: 1"	62.04	0	71.19	0	3468.81	33.59	58.45
55	55	"Slot 55 : MTT Extension Method, Cycle: 1"	48.6	1.249	66.98	3.921	2554.1	48.84	56.9
56	56	"Slot 56 : MTT Extension Method, Cycle: 1"	53.83	1.367	90.25	2.705	3814.12	47.78	85.5
57	57	"Slot 57 : MTT Extension Method, Cycle: 1"	46.63	0.852	88.03	2.363	3224.96	33.5	61.75
58	58	"Slot 58 : MTT Extension Method, Cycle: 1"	46.83	1.654	79.46	0.148	2923.01	49.34	63.55
59	59	"Slot 59 : MTT Extension Method, Cycle: 1"	50.8	2.215	67.75	0.619	2702.56	32.57	40.5
60	60	"Slot 60 : MTT Extension Method, Cycle: 1"	65.55	3.955	89.78	4.508	4619.28	53.87	95
61	61	"Slot 61 : MTT Extension Method, Cycle: 1"	49.68	2.866	73.41	1.837	2864.39	19.53	39.3
62	62	"Slot 62 : MTT Extension Method, Cycle: 1"	54.21	0.18	61.51	1.198	2618.89	40.36	55.75
63	63	"Slot 63 : MTT Extension Method, Cycle: 1"	56.38	2.286	84.61	3.545	3743.25	51.36	78.65
64	64	"Slot 64 : MTT Extension Method, Cycle: 1"	56.87	2.164	64.42	2.234	2875.46	56.19	65.75
