RECORD	CROSS-SECTIONAL AREA	MEAN DIAMETER	MAX DIAMETER	MIN DIAMETER	ELASTIC EMOD	ELASTIC GRADIENT	ELASTIC EXT	ELASTIC STRESS	PLATEAU LOAD	PLATEAU STRESS	LOAD 15%	STRESS 15%	WORK 15%	LOAD 25%	STRESS 25%	WORK 25%	YIELD EXT	POSTYIELD GRADIENT	BREAK EXT	BREAK LOAD	BREAK STRESS	TOTAL WORK	TOUGHNESS
1	4798.3	80.1	92.5	66	3.271e+009	5.289e+001	3.44	1.250e-002	6.238e+001	1.300e-002	6.175e+001	1.287e-002	2.503e-003	6.595e+001	1.374e-002	4.388e-003	24.56	4.708e+000	46.74	9.455e+001	1.971e-002	9.521e-003	6.559e+007
2																							
3	3736.3	70	80.7	59	3.861e+009	4.851e+001	3.23	1.303e-002	5.180e+001	1.386e-002	5.180e+001	1.386e-002	2.086e-003	5.530e+001	1.480e-002	3.664e-003	24.55	4.265e+000	46.88	8.265e+001	2.212e-002	8.144e-003	7.191e+007
4	2128.5	53.2	59.1	45.8	4.109e+009	2.863e+001	3.21	1.214e-002	2.901e+001	1.363e-002	2.890e+001	1.358e-002	1.169e-003	3.055e+001	1.435e-002	2.087e-003	24.21	1.430e+000	45.57	3.920e+001	1.842e-002	4.243e-003	6.402e+007
5	3768.1	69.8	77.7	61.7	3.868e+009	4.894e+001	3.19	1.339e-002	5.054e+001	1.341e-002	5.020e+001	1.332e-002	2.063e-003	5.155e+001	1.368e-002	3.591e-003	23.91	3.134e+000	45.65	6.950e+001	1.844e-002	7.247e-003	6.335e+007
6	6587.9	94.9	110.7	75.8	3.845e+009	8.567e+001	3.22	1.263e-002	8.686e+001	1.319e-002	8.780e+001	1.333e-002	3.529e-003	8.865e+001	1.346e-002	6.088e-003	21.77	5.647e+000	41.71	1.168e+002	1.773e-002	1.111e-002	5.596e+007
7	3768.7	69.7	77.1	62.2	3.607e+009	4.611e+001	3.26	1.307e-002	5.043e+001	1.338e-002	5.005e+001	1.328e-002	2.036e-003	5.150e+001	1.367e-002	3.514e-003	24.83	3.072e+000	48.15	7.050e+001	1.871e-002	7.597e-003	6.709e+007
8	3524	67.8	74.9	59.9	3.277e+009	3.833e+001	3.16	1.175e-002	4.241e+001	1.203e-002	4.205e+001	1.193e-002	1.750e-003	4.320e+001	1.226e-002	3.014e-003	29.99	2.391e+000	57.51	6.370e+001	1.808e-002	8.167e-003	7.547e+007
9	3461.5	70	84.1	52.4	4.100e+009	4.787e+001	3.04	1.297e-002	4.706e+001	1.359e-002	4.640e+001	1.340e-002	1.906e-003	4.920e+001	1.421e-002	3.322e-003	25.48	3.462e+000	49.44	7.275e+001	2.102e-002	7.702e-003	7.362e+007
10	3838.7	70.4	74.4	65.7	3.515e+009	4.569e+001	3.46	1.211e-002	4.829e+001	1.258e-002	4.765e+001	1.241e-002	1.926e-003	4.925e+001	1.283e-002	3.367e-003	24.98	2.429e+000	47.91	6.385e+001	1.663e-002	7.068e-003	6.117e+007
11	5291.1	85.6	101.1	66.6	3.465e+009	6.220e+001	3.2	1.236e-002	6.891e+001	1.302e-002	6.785e+001	1.282e-002	2.776e-003	7.195e+001	1.360e-002	4.799e-003	26.03	4.895e+000	50.53	1.082e+002	2.044e-002	1.160e-002	7.295e+007
12	4160.5	76.2	90.9	58.3	5.300e+008	7.500e+000	0.17	6.850e-004	1.411e+001	3.391e-003							2.67	4.845e+000	8.34	5.560e+001	1.336e-002	1.046e-003	8.387e+006
13	2192.1	56.8	68.4	40.8	4.419e+009	3.253e+001	3.06	1.428e-002	3.237e+001	1.476e-002							4.31	-5.45E-01	5.7	3.210e+001	1.464e-002	4.321e-004	6.493e+006
14	3357.9	67	79	54.2	3.832e+009	4.290e+001	3.3	1.340e-002	4.661e+001	1.388e-002	4.580e+001	1.364e-002	1.886e-003	4.835e+001	1.440e-002	3.306e-003	28.43	2.773e+000	54.4	6.975e+001	2.077e-002	8.426e-003	8.209e+007
15	4174.2	75.9	91.3	58.2	3.534e+009	4.981e+001	3.28	1.306e-002	5.644e+001	1.352e-002	5.635e+001	1.350e-002	2.260e-003	5.775e+001	1.384e-002	3.958e-003	26.6	3.323e+000	51.14	8.015e+001	1.920e-002	9.212e-003	7.310e+007
16	6723.8	93.4	104.7	81.8	3.618e+009	8.189e+001	3.34	1.207e-002	8.404e+001	1.250e-002	8.640e+001	1.285e-002	3.381e-003	9.215e+001	1.371e-002	6.079e-003	16.58	1.354e+000	30.81	9.560e+001	1.422e-002	7.677e-003	3.771e+007
17	3404	66.7	76.8	56.5	3.912e+009	4.489e+001	2.98	1.272e-002	4.608e+001	1.354e-002	4.585e+001	1.347e-002	1.893e-003				10.95	3.737e-001	20.4	4.665e+001	1.370e-002	2.610e-003	2.535e+007
18	4089.6	74.4	85.4	61	4.368e+009	6.017e+001	2.94	1.360e-002	5.808e+001	1.420e-002	5.755e+001	1.407e-002	2.386e-003	6.140e+001	1.501e-002	4.148e-003	22.87	4.395e+000	44.05	8.565e+001	2.094e-002	8.265e-003	6.679e+007
19	3358.8	64.9	70.1	61	3.450e+009	3.870e+001	3.05	1.173e-002	4.024e+001	1.198e-002	3.990e+001	1.188e-002	1.674e-003	4.205e+001	1.252e-002	2.884e-003	19.66	2.571e+000	37.25	5.375e+001	1.600e-002	4.616e-003	4.503e+007
20	2821	60.5	65.7	54.8	3.713e+009	3.514e+001	3.26	1.347e-002	3.920e+001	1.390e-002	3.880e+001	1.375e-002	1.573e-003	4.090e+001	1.450e-002	2.766e-003	25.58	2.666e+000	49.01	5.840e+001	2.070e-002	6.277e-003	7.324e+007
21	4365.3	77.8	92.8	59.9	3.455e+009	5.106e+001	3.42	1.330e-002	5.985e+001	1.371e-002	5.980e+001	1.370e-002	2.407e-003	6.295e+001	1.442e-002	4.219e-003	22.65	3.943e+000	43.21	8.400e+001	1.924e-002	8.106e-003	6.167e+007
22	3374.9	69.3	85.5	50.3	4.372e+009	4.928e+001	3.08	1.465e-002	5.023e+001	1.488e-002	5.025e+001	1.489e-002	2.086e-003	5.135e+001	1.522e-002	3.588e-003	18.71	2.504e+000	35.16	6.270e+001	1.858e-002	5.296e-003	5.141e+007
23	4145.9	75	90.5	58.3	4.227e+009	5.884e+001	2.96	1.315e-002	5.745e+001	1.386e-002	5.720e+001	1.380e-002	2.358e-003	6.035e+001	1.456e-002	4.100e-003	23.58	4.601e+000	45.32	8.735e+001	2.107e-002	8.555e-003	6.797e+007
24	3113.4	64.8	72.9	54.3	3.716e+009	3.906e+001	3.15	1.315e-002	4.215e+001	1.354e-002	4.200e+001	1.349e-002	1.725e-003	4.455e+001	1.431e-002	2.982e-003	22.33	3.257e+000	43.03	6.195e+001	1.990e-002	5.804e-003	6.175e+007
25	2629.7	60.4	71.5	46.8	4.157e+009	3.705e+001	4.49	1.321e-002	3.603e+001	1.370e-002	3.570e+001	1.358e-002	1.311e-003	3.770e+001	1.434e-002	2.393e-003	24.78	2.013e+000	45.96	4.485e+001	1.706e-002	4.999e-003	6.322e+007
26	3982	71.9	80	63.4	3.885e+009	5.221e+001	3.25	1.344e-002	5.418e+001	1.361e-002	5.370e+001	1.349e-002	2.196e-003	5.520e+001	1.386e-002	3.780e-003	28.84	3.152e+000	55.89	8.155e+001	2.048e-002	1.003e-002	8.338e+007
27	4307.7	75.4	86.8	63.3	3.615e+009	5.244e+001	3.01	1.200e-002	5.471e+001	1.270e-002	5.460e+001	1.267e-002	2.190e-003	5.765e+001	1.338e-002	3.846e-003	26.43	2.890e+000	51.3	7.875e+001	1.828e-002	9.081e-003	6.964e+007
28	4453.8	76.2	87.7	64.7	3.703e+009	5.531e+001	3.19	1.276e-002	5.951e+001	1.336e-002	5.855e+001	1.315e-002	2.420e-003	6.195e+001	1.391e-002	4.208e-003	26.28	4.223e+000	50.26	9.230e+001	2.072e-002	9.998e-003	7.384e+007
29	4112	72.9	76.7	68.2	3.817e+009	5.250e+001	3.22	1.294e-002	5.576e+001	1.356e-002	5.580e+001	1.357e-002	2.237e-003	5.790e+001	1.408e-002	3.927e-003	27.5	3.557e+000	52.81	8.455e+001	2.056e-002	9.781e-003	7.806e+007
30	2748.1	60.6	68.9	50.7	3.615e+009	3.335e+001	3.1	1.288e-002	3.629e+001	1.320e-002	3.640e+001	1.325e-002	1.495e-003	4.095e+001	1.490e-002	2.640e-003	18.61	1.106e+000	35.14	4.425e+001	1.610e-002	3.889e-003	4.662e+007
31	3697.7	68.9	74.8	63	4.033e+009	5.038e+001	2.85	1.291e-002	4.971e+001	1.344e-002	4.975e+001	1.345e-002	2.011e-003	5.380e+001	1.455e-002	3.543e-003	22.77	3.204e+000	44.25	7.180e+001	1.942e-002	7.068e-003	6.336e+007
32	4637.7	77.1	82.2	71.8	3.848e+009	5.979e+001	3.25	1.333e-002	6.314e+001	1.361e-002	6.235e+001	1.344e-002	2.547e-003	6.545e+001	1.411e-002	4.461e-003	26.4	3.818e+000	50.36	9.010e+001	1.943e-002	1.023e-002	7.251e+007
33	3021.5	64.5	74.1	51.9	3.824e+009	3.845e+001	2.81	1.246e-002	4.025e+001	1.332e-002							7.41	2.891e-001	12.96	4.260e+001	1.410e-002	1.462e-003	1.580e+007
34	4122.8	77.3	91.5	57.5	4.074e+009	5.619e+001	3.35	1.443e-002	5.997e+001	1.455e-002	5.900e+001	1.431e-002	2.454e-003	6.075e+001	1.474e-002	4.237e-003	27.9	3.628e+000	53.2	8.870e+001	2.151e-002	1.053e-002	8.382e+007
35	2944.4	65.5	78.7	47.6	4.617e+009	4.535e+001	3.08	1.484e-002	4.580e+001	1.555e-002	4.575e+001	1.554e-002	1.900e-003	4.805e+001	1.632e-002	3.284e-003	21.64	3.344e+000	41.15	6.525e+001	2.216e-002	5.992e-003	6.661e+007
36	3842.9	74.3	88	55.6	4.426e+009	5.762e+001	3.12	1.401e-002	5.494e+001	1.430e-002	5.400e+001	1.405e-002	2.245e-003	5.625e+001	1.464e-002	3.840e-003	26.99	3.858e+000	52.41	8.655e+001	2.252e-002	9.658e-003	8.352e+007
37	3593.7	72	83.7	54.7	3.722e+009	4.478e+001	3.28	1.330e-002	4.893e+001	1.362e-002							3.84	-2.01E+00	4.6	4.905e+001	1.365e-002	4.901e-004	4.479e+006
38	3847.1	70.1	74.3	65.9	3.701e+009	4.828e+001	3.13	1.301e-002	5.458e+001	1.419e-002	5.470e+001	1.422e-002	2.202e-003	5.705e+001	1.483e-002	3.857e-003	19.56	3.084e+000	37.79	7.105e+001	1.847e-002	6.216e-003	5.375e+007
39	2637.2	58.4	62.5	53.7	4.420e+009	3.908e+001	3.06	1.467e-002	4.007e+001	1.520e-002	4.000e+001	1.517e-002	1.655e-003	4.125e+001	1.564e-002	2.859e-003	24.93	2.659e+000	47.73	5.805e+001	2.201e-002	6.205e-003	7.740e+007
40	4600.3	77.1	82.5	70.9	3.644e+009	5.691e+001	3.1	1.212e-002	6.066e+001	1.319e-002	6.220e+001	1.352e-002	2.392e-003	6.610e+001	1.437e-002	4.284e-003	23.18	4.669e+000	45.12	9.300e+001	2.022e-002	8.955e-003	6.482e+007
41	3407	66.4	73.9	58.7	4.110e+009	4.704e+001	2.77	1.187e-002	4.509e+001	1.324e-002	4.500e+001	1.321e-002	1.865e-003	4.690e+001	1.377e-002	3.229e-003	20.2	2.147e+000	38.83	5.740e+001	1.685e-002	5.310e-003	5.137e+007
42	5721.7	86.4	97.2	75	3.451e+009	6.686e+001	3.49	1.321e-002	7.789e+001	1.361e-002							7.34	-2.26E+00	12.26	7.630e+001	1.334e-002	2.479e-003	1.440e+007
43	4092.8	74.8	88.9	58.7	3.954e+009	5.423e+001	3.25	1.391e-002	5.783e+001	1.413e-002	5.780e+001	1.412e-002	2.357e-003	5.860e+001	1.432e-002	4.088e-003	27.35	3.516e+000	52.27	8.395e+001	2.051e-002	9.842e-003	7.905e+007
44	4702.7	78.5	90.1	66.5	3.694e+009	5.842e+001	3.1	1.224e-002	6.075e+001	1.292e-002	6.135e+001	1.305e-002	2.471e-003	6.395e+001	1.360e-002	4.328e-003	22.04	3.497e+000	42.26	8.290e+001	1.763e-002	7.991e-003	5.606e+007
45																							
46	3070.4	63.3	72.5	54	4.483e+009	4.624e+001	2.9	1.389e-002	4.315e+001	1.405e-002	4.210e+001	1.371e-002	1.773e-003	4.485e+001	1.461e-002	3.066e-003	26.17	2.600e+000	50.79	6.350e+001	2.068e-002	7.200e-003	7.728e+007
47	2792.6	60	64.2	55.3	4.381e+009	4.130e+001	2.98	1.352e-002	3.850e+001	1.379e-002	3.850e+001	1.379e-002	1.574e-003	4.255e+001	1.524e-002	2.764e-003	19.21	1.220e+000	36.95	4.880e+001	1.747e-002	4.341e-003	5.147e+007
48	3291.7	67.7	79.5	52.7	4.103e+009	4.528e+001	3.19	1.361e-002	4.555e+001	1.384e-002	4.445e+001	1.350e-002	1.877e-003	4.600e+001	1.397e-002	3.222e-003	29.14	2.716e+000	56.02	7.090e+001	2.154e-002	8.671e-003	8.665e+007
49	5863	89.6	105.2	71	4.024e+009	7.947e+001	3.04	1.317e-002	8.057e+001	1.374e-002	7.985e+001	1.362e-002	3.287e-003	8.420e+001	1.436e-002	5.719e-003	25.15	5.650e+000	48.45	1.215e+002	2.072e-002	1.286e-002	7.248e+007
50	3773	73	87.2	55.1	4.227e+009	5.335e+001	2.95	1.352e-002	5.216e+001	1.382e-002	5.125e+001	1.358e-002	2.147e-003	5.315e+001	1.409e-002	3.694e-003	28.85	3.240e+000	55.86	8.190e+001	2.171e-002	9.965e-003	8.668e+007
51	5387	89.1	107.4	63.9	3.853e+009	7.058e+001	4.54	1.362e-002	7.679e+001	1.426e-002	7.535e+001	1.399e-002	2.780e-003	7.780e+001	1.444e-002	5.046e-003	30.8	4.785e+000	58.06	1.229e+002	2.280e-002	1.484e-002	9.190e+007
52	2942.5	61.4	65.7	57	4.031e+009	3.970e+001	3.02	1.348e-002	4.174e+001	1.418e-002	4.140e+001	1.407e-002	1.711e-003	4.300e+001	1.461e-002	2.970e-003	26.67	2.719e+000	51.17	6.310e+001	2.144e-002	7.091e-003	7.915e+007
53	4664.6	77.2	85.9	69.1	3.855e+009	6.029e+001	3.32	1.331e-002	6.344e+001	1.360e-002	6.275e+001	1.345e-002	2.568e-003	6.495e+001	1.392e-002	4.468e-003	27.63	3.754e+000	52.76	9.235e+001	1.980e-002	1.089e-002	7.678e+007
54	3468.8	66.8	71.2	62	3.969e+009	4.644e+001	3.41	1.352e-002	4.845e+001	1.397e-002	4.820e+001	1.390e-002	1.943e-003	5.075e+001	1.463e-002	3.406e-003	17.97	2.276e+000	33.59	5.845e+001	1.685e-002	4.769e-003	4.550e+007
55	2554.1	57.8	67	48.6	3.814e+009	3.248e+001	2.88	1.333e-002	3.693e+001	1.446e-002	3.660e+001	1.433e-002	1.507e-003	3.930e+001	1.539e-002	2.652e-003	25.38	2.675e+000	48.84	5.690e+001	2.228e-002	6.050e-003	7.749e+007
56	3814.1	74	90.2	53.8	4.180e+009	5.389e+001	3.25	1.399e-002	5.682e+001	1.490e-002	5.660e+001	1.484e-002	2.280e-003	5.965e+001	1.564e-002	3.994e-003	24.73	4.117e+000	47.78	8.550e+001	2.242e-002	8.837e-003	7.682e+007
57	3225	71.6	88	46.6	4.661e+009	5.067e+001	3.24	1.536e-002	5.087e+001	1.577e-002	5.070e+001	1.572e-002	2.092e-003	5.335e+001	1.654e-002	3.594e-003	17.66	2.107e+000	33.5	6.175e+001	1.915e-002	5.021e-003	5.148e+007
58	2923	66	79.5	46.8	4.432e+009	4.367e+001	3.24	1.463e-002	4.370e+001	1.495e-002	4.315e+001	1.476e-002	1.784e-003	4.535e+001	1.551e-002	3.076e-003	25.6	2.766e+000	49.34	6.355e+001	2.174e-002	6.970e-003	7.886e+007
59	2702.6	59.7	67.7	50.8	3.975e+009	3.618e+001	3.24	1.375e-002	3.757e+001	1.390e-002	3.740e+001	1.384e-002	1.533e-003	3.885e+001	1.438e-002	2.663e-003	17.38	6.012e-001	32.57	4.050e+001	1.499e-002	3.542e-003	4.330e+007
60	4619.3	78.6	89.8	65.5	3.696e+009	5.759e+001	3.18	1.259e-002	6.133e+001	1.328e-002	6.050e+001	1.310e-002	2.444e-003	6.435e+001	1.393e-002	4.294e-003	27.8	3.847e+000	53.87	9.500e+001	2.057e-002	1.105e-002	7.918e+007
61	2864.4	62.4	73.4	49.7	3.930e+009	3.786e+001	3.1	1.339e-002	3.911e+001	1.365e-002	3.885e+001	1.356e-002	1.614e-003				10.69	-5.54E-02	19.53	3.930e+001	1.372e-002	2.132e-003	2.455e+007
62	2618.9	57.8	61.5	54.2	4.427e+009	3.922e+001	2.99	1.447e-002	3.957e+001	1.511e-002	3.945e+001	1.506e-002	1.599e-003	4.245e+001	1.621e-002	2.813e-003	20.84	2.745e+000	40.36	5.575e+001	2.129e-002	5.008e-003	6.347e+007
