RECORD	CROSS-SECTIONAL AREA	MEAN DIAMETER	MAX DIAMETER	MIN DIAMETER	ELASTIC EMOD	ELASTIC GRADIENT	ELASTIC EXT	ELASTIC STRESS	PLATEAU LOAD	PLATEAU STRESS	LOAD 15%	STRESS 15%	WORK 15%	LOAD 25%	STRESS 25%	WORK 25%	YIELD EXT	POSTYIELD GRADIENT	BREAK EXT	BREAK LOAD	BREAK STRESS	TOTAL WORK	TOUGHNESS
1	3044.1	66	79.8	48.6	4.786e+009	4.931e+001	3.02	1.501e-002	5.036e+001	1.654e-002	5.070e+001	1.666e-002	2.037e-003	5.245e+001	1.723e-002	3.564e-003	21.25	2.759e+000	41	6.665e+001	2.190e-002	6.331e-003	6.905e+007
2	6142.8	96.5	124.5	62.9	3.641e+009	7.557e+001	3.84	1.419e-002	9.338e+001	1.520e-002	9.290e+001	1.512e-002	3.664e-003	9.800e+001	1.595e-002	6.499e-003	23.57	4.916e+000	44.45	1.251e+002	2.036e-002	1.277e-002	6.889e+007
3	3684	69.7	77.8	60.3	4.211e+009	5.248e+001	3.25	1.432e-002	6.020e+001	1.634e-002	6.080e+001	1.650e-002	2.368e-003	6.390e+001	1.735e-002	4.208e-003	24.73	3.993e+000	47.59	8.990e+001	2.440e-002	9.297e-003	8.376e+007
4	3522.9	67.8	73.2	61.2	4.362e+009	5.194e+001	3.15	1.441e-002	5.478e+001	1.555e-002	5.520e+001	1.567e-002	2.204e-003	5.800e+001	1.646e-002	3.884e-003	24.2	2.046e+000	46.85	7.125e+001	2.022e-002	7.945e-003	7.477e+007
5	4033.5	73.7	84.4	60.9	3.985e+009	5.447e+001	3.52	1.437e-002	6.357e+001	1.576e-002	6.435e+001	1.595e-002	2.511e-003	6.685e+001	1.657e-002	4.444e-003	21.41	3.999e+000	40.79	8.675e+001	2.151e-002	7.977e-003	6.575e+007
6	3800.1	71.1	79.7	60.8	4.099e+009	5.271e+001	3.52	1.464e-002	5.895e+001	1.551e-002	5.790e+001	1.524e-002	2.352e-003	6.025e+001	1.585e-002	4.103e-003	27.86	3.077e+000	53.59	8.435e+001	2.220e-002	1.019e-002	8.907e+007
7	3878.9	72.5	87.5	56.4	4.272e+009	5.616e+001	3.03	1.401e-002	5.942e+001	1.532e-002	6.130e+001	1.580e-002	2.366e-003	6.315e+001	1.628e-002	4.201e-003	21.61	2.003e+000	41.79	7.580e+001	1.954e-002	7.559e-003	6.478e+007
8	5588.5	88.2	102.9	69.1	4.160e+009	7.883e+001	3.36	1.396e-002	8.614e+001	1.541e-002	8.755e+001	1.567e-002	3.395e-003	9.170e+001	1.641e-002	6.053e-003	22.85	5.605e+000	43.81	1.230e+002	2.200e-002	1.191e-002	7.090e+007
9	4003.5	77.4	95.2	53.5	4.003e+009	5.416e+001	3.25	1.423e-002	6.129e+001	1.531e-002	6.375e+001	1.592e-002	2.489e-003	6.615e+001	1.652e-002	4.424e-003	15.68	8.596e-001	29.41	6.675e+001	1.667e-002	5.264e-003	4.359e+007
10	3750.8	74.8	89	53.6	4.184e+009	5.309e+001	3.25	1.436e-002	5.499e+001	1.466e-002	5.885e+001	1.569e-002	2.253e-003				10.19	1.726e+000	18.49	5.985e+001	1.596e-002	2.870e-003	2.539e+007
