RECORD	CROSS-SECTIONAL AREA	MEAN DIAMETER	MAX DIAMETER	MIN DIAMETER	ELASTIC EMOD	ELASTIC GRADIENT	ELASTIC EXT	ELASTIC STRESS	PLATEAU LOAD	PLATEAU STRESS	LOAD 15%	STRESS 15%	WORK 15%	LOAD 25%	STRESS 25%	WORK 25%	YIELD EXT	POSTYIELD GRADIENT	BREAK EXT	BREAK LOAD	BREAK STRESS	Break Stress	TOTAL WORK	TOUGHNESS
76	4574.7	76.6	82.8	70.4	4022000000	61.82	2.9	0.01211	57.03	0.01247	55.95	0.01223	0.002356	58.55	0.0128	0.004055	28.08	3.637	54.42	89.8	0.01963	192.5045395	0.0106	76400000
77	6146.8	92.5	112.2	69.8	3380000000	70.26	3.45	0.01245	78.76	0.01281	78	0.01269	0.003165	81.85	0.01332	0.005479	26.41	6.02	50.6	127	0.02066	202.605389	0.01343	72500000
78	4086.4	72.8	77.5	67.1	3887000000	53.78	2.82	0.01227	53.33	0.01305	53.05	0.01298	0.002144	58.8	0.01439	0.00381	23.02	4.394	45.1	84.25	0.02062	202.213123	0.007981	64860000
79	4521.3	75.6	78.6	73.3	4192000000	64.23	2.69	0.01158	56.71	0.01254	57.1	0.01263	0.002303	59.2	0.01309	0.004016	24.14	4.361	47.61	87.1	0.01926	188.876079	0.008871	65230000
80	3300.6	65.6	74.4	56.5	4363000000	48.84	2.8	0.01256	43.55	0.0132	44	0.01333	0.001779	45.85	0.01389	0.003085	22.33	3.322	43.69	64	0.01939	190.1509435	0.006088	61380000
81					0	20.03	2.72	0	21.07	0	20.55	0	0.0008767	22.05	0	0.001506	27.57	1.583	53.61	35.4	0		0.003986	1.#IOe+000
82	2600.3	59.2	67.8	48.9	4418000000	38.77	2.65	0.01263	33.65	0.01294	33.15	0.01275	0.00139	34.75	0.01336	0.002379	26.32	2.324	51.66	52.45	0.02017	197.8001305	0.00584	74360000
83	2505.2	57.3	63.4	50.3	3991000000	33.92	2.9	0.01285	33.32	0.0133	32.8	0.01309	0.001354	34.85	0.01391	0.002333	26.59	2.489	52.21	54.25	0.02166	212.412039	0.005921	78650000
84	4626.4	78.2	86.3	68.3	3932000000	61.13	3.03	0.01235	57.43	0.01241	56.65	0.01224	0.002349	59.15	0.01279	0.004065	24.66	4.052	47.35	84.45	0.01825	178.9713625	0.008793	62660000
85	4128.9	74	83.7	62.9	3647000000	50.84	2.91	0.01195	51.09	0.01238	50.95	0.01234	0.002081	53.15	0.01287	0.003617	23.48	3.593	45.71	74.75	0.0181	177.500365	0.007513	60270000
86	3281.1	76.3	98	42.6	4890000000	53.77	2.86	0.01521	50.5	0.01539	49.5	0.01509	0.002082	51.65	0.01574	0.003584	28.3	3.424	54.96	81.7	0.0249	244.185585	0.009605	96230000
87	6373.5	94.9	111.8	72.7	3548000000	76.07	3.27	0.01249	81.14	0.01273	81.05	0.01272	0.003246	83.4	0.01309	0.005701	27.46	4.389	52.67	109.5	0.01718	168.478247	0.01369	70880000
88	2807.7	63	76.1	47	4378000000	41.3	2.9	0.01327	37.3	0.01328	36.55	0.01302	0.001561	38.05	0.01355	0.002651	25.02	2.567	48.22	54.8	0.01952	191.425808	0.005854	68720000
89	4496.1	80.1	93.2	61.4	3862000000	58.57	3.18	0.0126	57.68	0.01283	56.9	0.01266	0.002328	59.65	0.01327	0.004062	26.84	3.838	51.92	87.25	0.01941	190.3470765	0.00984	72420000
90	3214.6	68.6	81.8	50	3767000000	40.68	3.13	0.01293	42.02	0.01307	41.55	0.01293	0.001739	43.8	0.01363	0.003004	19.81	2.581	37.67	55.4	0.01723	168.9685795	0.004829	49510000
91	2863.6	60.8	64.1	56.9	3866000000	37.1	2.86	0.0118	34.12	0.01191	33.45	0.01168	0.001417	35	0.01222	0.002435	24.85	2.28	48.06	50	0.01746	171.224109	0.005324	61120000
92	4421.7	75.5	84.4	66.7	3478000000	52.16	3.39	0.01263	55.92	0.01265	55.05	0.01245	0.002254	57.6	0.01303	0.003884	25.62	4.112	49.48	85.75	0.01939	190.1509435	0.009082	68350000
93	5358.9	87.7	108.7	62.8	3644000000	65.99	3.25	0.01243	66.88	0.01248	66.35	0.01238	0.002713	68.3	0.01275	0.004702	28.25	4.468	54.58	104.5	0.01949	191.1316085	0.01221	75570000
94	4191.4	74.5	83.3	64.1	3991000000	56.43	3.04	0.01223	53.66	0.0128	53.25	0.0127	0.002157	55.85	0.01332	0.003779	25.88	3.749	50	81.45	0.01943	190.5432095	0.008792	69410000
95	3976.3	74	88.2	57.4	4089000000	54.9	2.78	0.01222	51.33	0.01291	50.95	0.01281	0.00207	54	0.01358	0.003625	26	3.849	50.75	81.25	0.02043	200.3498595	0.008746	72860000
96	2605.7	57.5	62.4	53.2	4033000000	35.34	3	0.01253	33.74	0.01295	33.1	0.0127	0.001373	35.4	0.01359	0.002382	27.42	2.516	53.22	55.7	0.02138	209.666177	0.006211	78640000
97	3882.3	72.7	85.2	58	3959000000	51.64	2.9	0.01244	48.26	0.01243	47.4	0.01221	0.002002	48.8	0.01257	0.003438	29.4	2.627	57.28	71.3	0.01837	180.1481605	0.009112	77360000
98	2520.4	56.6	62.7	51.2	3800000000	32.25	2.87	0.01238	32.12	0.01275	31.9	0.01266	0.001311	32.9	0.01305	0.002274	27.22	2.091	53.02	49.2	0.01952	191.425808	0.005661	74200000
99	5451.7	85.2	100.2	69.3	3863000000	71.36	2.93	0.0119	69.87	0.01282	70.1	0.01286	0.002806	73.65	0.01351	0.004922	22.21	5.423	43.15	103.2	0.01893	185.6398845	0.009603	58560000
100	5853.4	89.4	103.8	71.9	3750000000	74.04	3.18	0.01206	72.17	0.01233	70.95	0.01212	0.002895	73.5	0.01256	0.00504	30.51	4.388	59.27	117.2	0.02002	196.329133	0.01476	83430000
