RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
1	3566.7	3.02E+01	1.06E-02	9.00E+07	0.00E+00	7.16E-03	7.06E+00	1.29E+02	1.60E+01	1.37E+02	1.28E-03	43.122	8.11E-01	2.27E+02
2	3262	3.01E+01	7.40E-03	6.83E+07	0.00E+00	5.72E-03	7.00E+00	1.37E+02	1.62E+01	1.43E+02	1.25E-03	37.67	7.19E-01	2.21E+02
3	3642.6	3.03E+01	9.23E-03	7.67E+07	0.00E+00	8.61E-03	7.16E+00	1.30E+02	1.61E+01	1.37E+02	1.32E-03	48.069	8.65E-01	2.37E+02
4	4017.4	3.02E+01	7.43E-03	5.59E+07	0.00E+00	9.66E-03	7.12E+00	1.38E+02	1.61E+01	1.43E+02	1.52E-03	46.971	1.02E+00	2.54E+02
5	3419.1	3.04E+01	1.09E-02	9.72E+07	0.00E+00	7.23E-03	7.07E+00	1.36E+02	1.60E+01	1.45E+02	1.31E-03	42.669	8.15E-01	2.38E+02
6	3770.2	3.01E+01	4.55E-03	3.63E+07	0.00E+00	8.85E-03	7.13E+00	1.33E+02	1.61E+01	1.36E+02	1.37E-03	49.635	8.83E-01	2.34E+02
7	3806.8	3.01E+01	1.13E-02	8.98E+07	0.00E+00	7.25E-03	7.00E+00	1.34E+02	1.62E+01	1.42E+02	1.45E-03	39.993	8.90E-01	2.34E+02
8	3371.4	3.01E+01	7.36E-03	6.57E+07	0.00E+00	7.56E-03	7.02E+00	1.39E+02	1.62E+01	1.45E+02	1.31E-03	44.481	8.37E-01	2.48E+02
9	5555.1	3.02E+01	1.25E-02	6.77E+07	0.00E+00	1.31E-02	7.03E+00	1.33E+02	1.60E+01	1.39E+02	2.04E-03	47.365	1.37E+00	2.46E+02
10	4268.2	3.04E+01	1.78E-02	1.26E+08	0.00E+00	8.26E-03	7.11E+00	1.31E+02	1.61E+01	1.42E+02	1.59E-03	41.217	9.41E-01	2.20E+02
11	4166	3.04E+01	7.48E-03	5.46E+07	0.00E+00	7.73E-03	7.14E+00	1.31E+02	1.61E+01	1.35E+02	1.50E-03	40.855	8.96E-01	2.15E+02
12	4267.7	3.03E+01	1.26E-02	8.98E+07	0.00E+00	9.22E-03	7.02E+00	1.34E+02	1.62E+01	1.43E+02	1.64E-03	44.247	1.01E+00	2.36E+02
13	5112.8	3.08E+01	8.97E-03	5.41E+07	0.00E+00	9.64E-03	7.07E+00	1.31E+02	1.62E+01	1.36E+02	1.90E-03	41.161	1.07E+00	2.10E+02
14	4120.6	3.04E+01	1.86E-02	1.37E+08	0.00E+00	8.07E-03	7.12E+00	1.16E+02	1.61E+01	1.28E+02	1.37E-03	45.305	8.54E-01	2.07E+02
15	2630.6	3.01E+01	6.31E-03	7.22E+07	0.00E+00	6.52E-03	7.02E+00	1.39E+02	1.62E+01	1.46E+02	1.03E-03	47.606	6.71E-01	2.55E+02
16	2554.5	3.02E+01	4.64E-03	5.48E+07	0.00E+00	5.24E-03	7.06E+00	1.29E+02	1.60E+01	1.34E+02	9.04E-04	43.653	5.94E-01	2.32E+02
17	3302.1	3.01E+01	1.04E-02	9.51E+07	0.00E+00	7.84E-03	7.00E+00	1.36E+02	1.62E+01	1.44E+02	1.28E-03	46.2	8.39E-01	2.54E+02
18	3326.6	3.04E+01	6.70E-03	6.13E+07	0.00E+00	7.56E-03	7.03E+00	1.28E+02	1.60E+01	1.34E+02	1.18E-03	46.664	8.02E-01	2.41E+02
19	3432.9	3.04E+01	6.96E-03	6.15E+07	0.00E+00	9.58E-03	7.12E+00	1.27E+02	1.61E+01	1.32E+02	1.21E-03	55.091	8.48E-01	2.47E+02
20	2942.2	3.03E+01	7.94E-03	8.17E+07	0.00E+00	8.15E-03	7.07E+00	1.40E+02	1.61E+01	1.48E+02	1.15E-03	50.958	7.89E-01	2.68E+02
21	3796.6	3.01E+01	8.46E-03	6.72E+07	0.00E+00	8.85E-03	7.13E+00	1.32E+02	1.81E+01	1.39E+02	1.69E-03	48.275	8.86E-01	2.33E+02
22	5008.2	3.00E+01	7.38E-03	4.41E+07	0.00E+00	1.03E-02	7.07E+00	1.29E+02	1.74E+01	1.35E+02	2.03E-03	46.18	1.10E+00	2.20E+02
23	3693.5	3.06E+01	1.08E-02	8.93E+07	0.00E+00	7.29E-03	7.14E+00	1.42E+02	1.61E+01	1.50E+02	1.47E-03	39.607	8.63E-01	2.34E+02
24	2848.7	3.01E+01	7.52E-03	7.96E+07	0.00E+00	7.05E-03	7.17E+00	1.34E+02	1.83E+01	1.43E+02	1.31E-03	48.673	7.22E-01	2.54E+02
25	3167.9	3.01E+01	4.65E-03	4.42E+07	0.00E+00	6.33E-03	7.00E+00	1.36E+02	1.62E+01	1.40E+02	1.20E-03	42.881	6.86E-01	2.17E+02
26	6107.8	3.01E+01	1.77E-02	8.72E+07	0.00E+00	1.41E-02	7.13E+00	1.31E+02	1.65E+01	1.39E+02	2.32E-03	46.715	1.48E+00	2.42E+02
27	3587.5	3.01E+01	5.86E-03	4.91E+07	0.00E+00	1.03E-02	7.12E+00	1.39E+02	1.61E+01	1.44E+02	1.37E-03	53.943	9.31E-01	2.59E+02
28	3715.8	3.01E+01	7.34E-03	5.95E+07	0.00E+00	8.84E-03	7.13E+00	1.34E+02	1.63E+01	1.39E+02	1.40E-03	47.711	9.07E-01	2.44E+02
29	4357.3	3.01E+01	1.98E-02	1.37E+08	0.00E+00	8.48E-03	7.04E+00	1.24E+02	1.60E+01	1.36E+02	1.53E-03	42.928	9.62E-01	2.21E+02
30	3086.6	3.01E+01	7.51E-03	7.31E+07	0.00E+00	4.50E-03	7.05E+00	1.36E+02	1.60E+01	1.44E+02	1.17E-03	33.089	6.09E-01	1.97E+02
31														
32	3051.2	3.01E+01	5.86E-03	5.78E+07	0.00E+00	6.35E-03	7.05E+00	1.39E+02	1.60E+01	1.44E+02	1.16E-03	42.753	7.04E-01	2.31E+02
33	3448.8	3.03E+01	6.65E-03	5.85E+07	0.00E+00	9.06E-03	7.06E+00	1.35E+02	1.60E+01	1.41E+02	1.29E-03	50.264	8.75E-01	2.54E+02
34	4031	3.02E+01	7.99E-03	5.97E+07	0.00E+00	7.22E-03	7.06E+00	1.35E+02	1.61E+01	1.40E+02	1.50E-03	38.495	9.12E-01	2.26E+02
35	3278.2	3.01E+01	8.44E-03	7.76E+07	0.00E+00	7.35E-03	7.17E+00	1.35E+02	1.61E+01	1.43E+02	1.23E-03	44.99	7.99E-01	2.44E+02
36	4431.4	3.01E+01	1.17E-02	7.95E+07	0.00E+00	1.08E-02	7.15E+00	1.42E+02	1.73E+01	1.50E+02	1.97E-03	45.995	1.16E+00	2.63E+02
37	5062.5	3.03E+01	1.25E-02	7.49E+07	0.00E+00	6.99E-03	7.06E+00	1.24E+02	1.60E+01	1.33E+02	1.77E-03	34.136	9.09E-01	1.80E+02
38	4164.8	3.05E+01	9.06E-03	6.64E+07	0.00E+00	9.32E-03	7.12E+00	1.39E+02	1.61E+01	1.46E+02	1.62E-03	44.033	1.01E+00	2.42E+02
39	3040.5	3.01E+01	5.65E-03	5.59E+07	0.00E+00	6.60E-03	7.09E+00	1.35E+02	1.61E+01	1.41E+02	1.13E-03	44.578	7.30E-01	2.40E+02
40	3842.5	3.02E+01	8.56E-03	6.72E+07	0.00E+00	9.48E-03	7.03E+00	1.38E+02	1.60E+01	1.45E+02	1.47E-03	47.564	9.82E-01	2.55E+02
41	4150.9	3.03E+01	1.19E-02	8.67E+07	0.00E+00	8.58E-03	7.15E+00	1.36E+02	1.62E+01	1.44E+02	1.59E-03	42.123	9.86E-01	2.37E+02
42	2907	3.01E+01	9.70E-03	1.00E+08	0.00E+00	6.42E-03	7.15E+00	1.38E+02	1.61E+01	1.48E+02	1.13E-03	43.868	7.04E-01	2.42E+02
43	3389.2	3.01E+01	6.16E-03	5.47E+07	0.00E+00	5.22E-03	7.01E+00	1.38E+02	1.62E+01	1.44E+02	1.32E-03	34.397	6.88E-01	2.03E+02
44	3580.3	3.01E+01	8.47E-03	7.13E+07	0.00E+00	9.04E-03	7.00E+00	1.29E+02	1.62E+01	1.35E+02	1.30E-03	51.809	8.35E-01	2.33E+02
45	4687.8	3.00E+01	1.33E-02	8.50E+07	0.00E+00	1.03E-02	7.16E+00	1.33E+02	1.62E+01	1.40E+02	1.72E-03	44.874	1.14E+00	2.43E+02
46	4001.1	3.02E+01	8.21E-03	6.20E+07	0.00E+00	8.19E-03	7.05E+00	1.30E+02	1.60E+01	1.36E+02	1.43E-03	44.011	9.05E-01	2.26E+02
47	4410.1	3.01E+01	1.46E-02	9.96E+07	0.00E+00	1.06E-02	7.13E+00	1.36E+02	1.61E+01	1.45E+02	1.68E-03	46.715	1.14E+00	2.58E+02
48	3725.4	3.01E+01	6.90E-03	5.58E+07	0.00E+00	7.61E-03	7.00E+00	1.32E+02	1.62E+01	1.37E+02	1.38E-03	43.877	8.32E-01	2.23E+02
49	4053	3.03E+01	1.06E-02	7.93E+07	0.00E+00	7.98E-03	7.03E+00	1.40E+02	1.60E+01	1.48E+02	1.58E-03	40.324	9.27E-01	2.29E+02
50	4526.3	3.00E+01	9.30E-03	6.17E+07	0.00E+00	8.54E-03	7.03E+00	1.33E+02	1.62E+01	1.39E+02	1.69E-03	40.826	1.01E+00	2.23E+02
51	4160.6	3.03E+01	6.45E-03	4.70E+07	0.00E+00	9.25E-03	7.09E+00	1.37E+02	1.61E+01	1.42E+02	1.57E-03	45.332	9.81E-01	2.36E+02
52	4992.4	3.00E+01	8.44E-03	5.07E+07	0.00E+00	1.24E-02	7.07E+00	1.41E+02	1.60E+01	1.45E+02	1.90E-03	48.549	1.27E+00	2.54E+02
53	2322.1	3.05E+01	4.80E-03	6.30E+07	0.00E+00	6.25E-03	7.05E+00	1.16E+02	1.64E+01	1.22E+02	7.84E-04	55.767	4.88E-01	2.10E+02
54	3445.1	3.03E+01	7.75E-03	6.81E+07	0.00E+00	7.36E-03	7.00E+00	1.35E+02	1.62E+01	1.42E+02	1.32E-03	43.725	8.23E-01	2.39E+02
55	5094	3.01E+01	1.34E-02	7.92E+07	0.00E+00	1.35E-02	7.11E+00	1.34E+02	1.61E+01	1.41E+02	1.88E-03	51.362	1.29E+00	2.53E+02
56	3949	3.00E+01	9.60E-03	7.29E+07	0.00E+00	8.65E-03	7.10E+00	1.38E+02	1.61E+01	1.45E+02	1.50E-03	44.052	9.62E-01	2.44E+02
57	4577.7	3.01E+01	8.00E-03	5.27E+07	0.00E+00	1.13E-02	7.00E+00	1.40E+02	1.62E+01	1.45E+02	1.79E-03	47.561	1.18E+00	2.57E+02
58	4666.7	3.01E+01	8.87E-03	5.72E+07	0.00E+00	1.13E-02	7.05E+00	1.35E+02	1.60E+01	1.40E+02	1.72E-03	48.254	1.17E+00	2.50E+02
59	4326.8	3.01E+01	8.84E-03	6.14E+07	0.00E+00	1.09E-02	7.09E+00	1.37E+02	1.60E+01	1.42E+02	1.61E-03	48.836	1.11E+00	2.55E+02
60	3245.1	3.02E+01	7.61E-03	7.09E+07	0.00E+00	7.43E-03	7.01E+00	1.42E+02	1.62E+01	1.49E+02	1.30E-03	44.345	8.08E-01	2.49E+02
61	4371.6	3.03E+01	1.05E-02	7.28E+07	0.00E+00	8.97E-03	7.02E+00	1.34E+02	1.62E+01	1.42E+02	1.67E-03	43.29	9.80E-01	2.24E+02
62	4208.1	3.03E+01	5.48E-03	3.94E+07	0.00E+00	9.93E-03	7.00E+00	1.32E+02	1.62E+01	1.35E+02	1.55E-03	48.514	9.98E-01	2.37E+02
