RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
1	4048.3	3.03E+01	1.07E-02	7.98E+07	0.00E+00	1.01E-02	7.07E+00	1.48E+02	1.61E+01	1.55E+02	1.67E-03	45.935	1.09E+00	2.69E+02
2	3400.8	3.02E+01	7.53E-03	6.70E+07	0.00E+00	5.78E-03	7.14E+00	1.34E+02	1.61E+01	1.40E+02	1.26E-03	38.525	6.66E-01	1.96E+02
3	2389.1	3.03E+01	4.73E-03	6.01E+07	0.00E+00	4.70E-03	7.03E+00	1.47E+02	1.62E+01	1.53E+02	9.92E-04	39.116	5.61E-01	2.35E+02
4	4366.5	3.02E+01	6.38E-03	4.41E+07	0.00E+00	7.54E-03	7.12E+00	1.35E+02	1.61E+01	1.39E+02	1.61E-03	38.874	8.94E-01	2.05E+02
5	2418.4	3.02E+01	4.28E-03	5.35E+07	0.00E+00	4.63E-03	7.12E+00	1.40E+02	1.61E+01	1.44E+02	9.27E-04	40.43	5.40E-01	2.23E+02
6	3899.4	3.02E+01	7.83E-03	6.07E+07	0.00E+00	1.04E-02	7.14E+00	1.43E+02	1.61E+01	1.48E+02	1.54E-03	49.107	1.03E+00	2.64E+02
7	4966.7	3.02E+01	1.11E-02	6.74E+07	0.00E+00	1.51E-02	7.06E+00	1.32E+02	1.61E+01	1.37E+02	1.80E-03	59.383	1.15E+00	2.31E+02
8	3858.1	3.00E+01	4.49E-03	3.48E+07	0.00E+00	8.46E-03	7.07E+00	1.37E+02	1.60E+01	1.41E+02	1.43E-03	47.147	8.90E-01	2.31E+02
9	4125.7	3.02E+01	1.01E-02	7.36E+07	0.00E+00	1.14E-02	7.16E+00	1.35E+02	1.62E+01	1.41E+02	1.54E-03	52.902	9.89E-01	2.40E+02
10	2705	3.01E+01	6.20E-03	6.91E+07	0.00E+00	5.43E-03	7.00E+00	1.48E+02	1.62E+01	1.55E+02	1.12E-03	39.031	6.79E-01	2.51E+02
11	2872.7	3.01E+01	6.65E-03	6.97E+07	0.00E+00	6.79E-03	7.11E+00	1.32E+02	1.61E+01	1.38E+02	1.04E-03	48.671	6.81E-01	2.37E+02
12	3927.2	3.00E+01	9.19E-03	7.01E+07	0.00E+00	1.09E-02	7.07E+00	1.34E+02	1.60E+01	1.41E+02	1.44E-03	54.154	9.96E-01	2.54E+02
13	3565.7	3.02E+01	8.13E-03	6.88E+07	0.00E+00	7.89E-03	7.15E+00	1.34E+02	1.61E+01	1.42E+02	1.33E-03	44.139	8.83E-01	2.48E+02
14	5708.7	3.01E+01	8.02E-03	4.23E+07	0.00E+00	1.26E-02	7.11E+00	1.31E+02	1.61E+01	1.35E+02	2.03E-03	46.512	1.30E+00	2.28E+02
