RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
1														
2														
3														
4	6178.5	3.01E+01	1.59E-02	7.74E+07	0.00E+00	1.56E-02	7.13E+00	1.40E+02	1.61E+01	1.47E+02	2.41E-03			
5	3106.1	3.03E+01	9.28E-03	9.04E+07	0.00E+00	8.34E-03	7.00E+00	1.42E+02	1.62E+01	1.50E+02	1.26E-03	50.264	7.54E-01	2.43E+02
6	4560.8	3.01E+01	1.37E-02	9.05E+07	0.00E+00	1.08E-02	7.02E+00	1.31E+02	1.62E+01	1.39E+02	1.70E-03	49.136	1.03E+00	2.26E+02
7	2763.1	3.03E+01	4.92E-03	5.40E+07	0.00E+00	6.81E-03	7.06E+00	1.42E+02	1.60E+01	1.47E+02	1.09E-03	48.4	6.38E-01	2.31E+02
8	3518.3	3.02E+01	7.37E-03	6.32E+07	0.00E+00	8.46E-03	7.03E+00	1.45E+02	1.60E+01	1.52E+02	1.41E-03	46.172	8.65E-01	2.46E+02
9	3219.4	3.03E+01	5.07E-03	4.77E+07	0.00E+00	8.07E-03	7.03E+00	1.53E+02	1.60E+01	1.58E+02	1.36E-03	45.31	8.71E-01	2.71E+02
10	2436.8	3.01E+01	5.85E-03	7.22E+07	0.00E+00	6.28E-03	7.11E+00	1.37E+02	1.61E+01	1.44E+02	9.25E-04	50.797	6.00E-01	2.46E+02
11														
12	2920.8	3.00E+01	5.81E-03	5.97E+07	0.00E+00	5.39E-03	7.03E+00	1.40E+02	1.62E+01	1.45E+02	1.14E-03	39.461	6.32E-01	2.17E+02
13	5658.5	3.01E+01	1.10E-02	5.83E+07	0.00E+00	1.45E-02	7.17E+00	1.38E+02	1.62E+01	1.44E+02	2.16E-03	49.801	1.42E+00	2.50E+02
14	2308.2	3.00E+01	4.25E-03	5.52E+07	0.00E+00	7.71E-03	7.07E+00	1.62E+02	1.60E+01	1.67E+02	1.01E-03	55.722	6.66E-01	2.88E+02
15	3152.7	3.02E+01	5.14E-03	4.92E+07	0.00E+00	7.52E-03	7.12E+00	1.39E+02	1.61E+01	1.43E+02	1.20E-03	47.781	7.43E-01	2.36E+02
16														
17	4213.7	3.03E+01	1.15E-02	8.26E+07	0.00E+00	1.06E-02	7.13E+00	1.46E+02	1.61E+01	1.53E+02	1.70E-03	46.55	1.10E+00	2.60E+02
18														
19														
20														
21														
22														
23														
24														
25														
26	3474.4	3.04E+01	3.88E-03	3.40E+07	0.00E+00	9.34E-03	7.16E+00	1.42E+02	1.62E+01	1.45E+02	1.36E-03	50.263	8.98E-01	2.58E+02
27	3345.5	3.01E+01	8.41E-03	7.57E+07	0.00E+00	7.90E-03	7.00E+00	1.35E+02	1.62E+01	1.43E+02	1.29E-03	47.162	8.08E-01	2.42E+02
28	4795	3.01E+01	1.65E-02	1.04E+08	0.00E+00	1.39E-02	7.00E+00	1.35E+02	1.62E+01	1.45E+02	1.86E-03	54.497	1.09E+00	2.28E+02
29	5600.6	3.03E+01	1.29E-02	6.98E+07	0.00E+00	1.25E-02	7.04E+00	1.28E+02	1.60E+01	1.35E+02	2.00E-03	47.836	1.27E+00	2.27E+02
30	6409.4	3.01E+01	9.00E-03	4.22E+07	0.00E+00	1.39E-02	7.02E+00	1.34E+02	1.62E+01	1.38E+02	2.40E-03	46.21	1.27E+00	1.99E+02
