RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
1	3201.1	3.05E+01	6.58E-03	6.26E+07	0.00E+00	7.23E-03	7.02E+00	1.48E+02	1.60E+01	1.54E+02	1.32E-03	42.829	7.89E-01	2.47E+02
2														
3														
4	3251.3	3.08E+01	6.93E-03	6.56E+07	0.00E+00	8.47E-03	7.01E+00	1.41E+02	1.61E+01	1.47E+02	1.31E-03	50.195	7.53E-01	2.32E+02
5														
6	5374.7	3.00E+01	9.35E-03	5.22E+07	0.00E+00	1.49E-02	7.06E+00	1.28E+02	1.60E+01	1.33E+02	1.89E-03	56.976	1.21E+00	2.25E+02
7	6864.6	3.02E+01	2.27E-02	1.00E+08	0.00E+00	1.31E-02	7.02E+00	1.31E+02	1.60E+01	1.40E+02	2.53E-03			
8	3719.1	3.04E+01	6.82E-03	5.57E+07	0.00E+00	9.19E-03	7.18E+00	1.37E+02	1.62E+01	1.42E+02	1.42E-03	49.572	8.54E-01	2.30E+02
9														
10	2498.8	3.02E+01	4.57E-03	5.53E+07	0.00E+00	5.17E-03	7.16E+00	1.33E+02	1.62E+01	1.37E+02	9.12E-04	44.367	5.42E-01	2.17E+02
11	3586.2	3.01E+01	1.28E-02	1.08E+08	0.00E+00	5.00E-03	7.13E+00	1.16E+02	1.61E+01	1.26E+02	1.17E-03	34.34	6.60E-01	1.84E+02
12														
13														
14														
15														
16	3052.3	3.02E+01	8.09E-03	8.00E+07	0.00E+00	7.73E-03	7.09E+00	1.31E+02	1.61E+01	1.37E+02	1.11E-03	51.623	6.53E-01	2.14E+02
17														
18	5062.2	3.04E+01	8.78E-03	5.28E+07	0.00E+00	1.54E-02	7.04E+00	1.35E+02	1.60E+01	1.39E+02	1.89E-03	56.87	1.32E+00	2.61E+02
19														
20	4084.3	3.01E+01	8.68E-03	6.39E+07	0.00E+00	1.14E-02	7.05E+00	1.38E+02	1.60E+01	1.44E+02	1.56E-03	53.642	9.96E-01	2.44E+02
21														
22														
23	2553.8	3.02E+01	3.47E-03	4.10E+07	0.00E+00	6.72E-03	7.12E+00	1.40E+02	1.61E+01	1.44E+02	9.84E-04	51.275	6.08E-01	2.38E+02
24	4320.1	3.03E+01	7.59E-03	5.31E+07	0.00E+00	1.06E-02	7.11E+00	1.41E+02	1.61E+01	1.46E+02	1.68E-03			
25	3633.3	3.06E+01	9.86E-03	8.29E+07	0.00E+00	7.51E-03	7.07E+00	1.33E+02	1.60E+01	1.41E+02	1.37E-03	43.703	7.89E-01	2.17E+02
26														
27														
28														
29	4988.7	3.03E+01	8.69E-03	5.28E+07	0.00E+00	6.81E-03	7.13E+00	1.01E+02	1.61E+01	1.06E+02	1.41E-03	39.815	7.74E-01	1.55E+02
