RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
1	5913.6	3.03E+01	8.11E-03	4.16E+07	0.00E+00	1.41E-02	7.19E+00	1.38E+02	1.62E+01	1.41E+02	2.25E-03	48.665	1.38E+00	2.33E+02
2	5113.4	3.03E+01	1.29E-02	7.65E+07	0.00E+00	1.11E-02	7.13E+00	1.34E+02	1.61E+01	1.41E+02	1.97E-03	43.861	1.24E+00	2.42E+02
3	5206.6	3.03E+01	6.84E-03	3.98E+07	0.00E+00	1.03E-02	7.13E+00	1.33E+02	1.61E+01	1.37E+02	1.90E-03	42.885	1.17E+00	2.26E+02
4	3179.4	3.04E+01	4.94E-03	4.73E+07	0.00E+00	7.17E-03	7.04E+00	1.38E+02	1.60E+01	1.43E+02	1.22E-03	44.609	7.96E-01	2.50E+02
5														
6	5339.6	3.05E+01	1.34E-02	7.64E+07	0.00E+00	1.02E-02	7.02E+00	1.41E+02	1.60E+01	1.48E+02	2.11E-03	38.989	1.25E+00	2.34E+02
7	4140.7	3.00E+01	6.64E-03	4.80E+07	0.00E+00	9.50E-03	7.07E+00	1.47E+02	1.62E+01	1.51E+02	1.69E-03	44.811	1.06E+00	2.55E+02
8	3771	3.04E+01	5.83E-03	4.69E+07	0.00E+00	6.86E-03	7.08E+00	1.40E+02	1.61E+01	1.45E+02	1.46E-03	38.583	8.28E-01	2.20E+02
9	3920.4	3.03E+01	6.39E-03	4.94E+07	0.00E+00	9.10E-03	7.12E+00	1.44E+02	1.62E+01	1.49E+02	1.57E-03	44.199	1.03E+00	2.63E+02
10	3261.3	3.02E+01	1.49E-02	1.38E+08	0.00E+00	5.77E-03	7.08E+00	1.49E+02	1.61E+01	1.62E+02	1.39E-03	35.75	7.35E-01	2.26E+02
