RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
1	5232.3	3.04E+01	8.89E-03	5.16E+07	0.00E+00	1.04E-02	7.12E+00	1.34E+02	1.61E+01	1.39E+02	1.95E-03	42.622	1.16E+00	2.21E+02
2	2435.9	3.02E+01	4.66E-03	5.77E+07	0.00E+00	4.84E-03	7.03E+00	1.41E+02	1.62E+01	1.46E+02	9.56E-04	40.921	5.57E-01	2.29E+02
3	3613.4	3.02E+01	6.48E-03	5.42E+07	0.00E+00	7.76E-03	7.14E+00	1.42E+02	1.61E+01	1.48E+02	1.41E-03	42.394	8.91E-01	2.47E+02
4	6464.9	3.01E+01	1.09E-02	5.08E+07	0.00E+00	1.60E-02	7.11E+00	1.27E+02	1.61E+01	1.31E+02	2.24E-03	52.109	1.49E+00	2.31E+02
5														
6	4917.9	3.02E+01	9.94E-03	6.10E+07	0.00E+00	1.35E-02	7.10E+00	1.32E+02	1.61E+01	1.37E+02	1.79E-03	53.813	1.23E+00	2.49E+02
7	3029.5	3.02E+01	4.15E-03	4.13E+07	0.00E+00	6.08E-03	7.16E+00	1.32E+02	1.62E+01	1.36E+02	1.09E-03	43.591	6.64E-01	2.19E+02
8														
9	4648.3	3.05E+01	1.83E-02	1.20E+08	0.00E+00	9.62E-03	7.16E+00	1.26E+02	1.62E+01	1.38E+02	1.70E-03	44.893	1.01E+00	2.16E+02
10	4703.4	3.02E+01	4.68E-03	3.01E+07	0.00E+00	8.13E-03	7.14E+00	1.34E+02	1.61E+01	1.36E+02	1.71E-03	39.087	9.27E-01	1.97E+02
11														
12	3918.1	3.01E+01	8.60E-03	6.62E+07	0.00E+00	1.00E-02	7.03E+00	1.35E+02	1.62E+01	1.42E+02	1.49E-03	49.867	9.95E-01	2.54E+02
13	2839.5	3.04E+01	1.04E-02	1.12E+08	0.00E+00	5.89E-03	7.01E+00	1.27E+02	1.62E+01	1.38E+02	1.06E-03	44.042	6.48E-01	2.28E+02
14	4618.3	3.06E+01	1.19E-02	7.91E+07	0.00E+00	9.52E-03	7.12E+00	1.25E+02	1.61E+01	1.32E+02	1.63E-03	45.458	9.88E-01	2.14E+02
15	3243.4	3.01E+01	4.75E-03	4.41E+07	0.00E+00	7.05E-03	7.11E+00	1.28E+02	1.60E+01	1.32E+02	1.13E-03	46.662	7.28E-01	2.24E+02
16	5492	3.00E+01	7.68E-03	4.20E+07	0.00E+00	1.32E-02	7.03E+00	1.32E+02	1.62E+01	1.36E+02	2.01E-03	48.984	1.36E+00	2.48E+02
17	3919.4	3.02E+01	6.64E-03	5.11E+07	0.00E+00	9.44E-03	7.13E+00	1.26E+02	1.61E+01	1.31E+02	1.36E-03	50.149	8.94E-01	2.28E+02
18	3953.8	3.02E+01	5.43E-03	4.14E+07	0.00E+00	8.40E-03	7.03E+00	1.35E+02	1.60E+01	1.38E+02	1.45E-03	44.4	9.26E-01	2.34E+02
19	3441.4	3.00E+01	1.10E-02	9.62E+07	0.00E+00	5.95E-03	7.06E+00	1.28E+02	1.60E+01	1.37E+02	1.22E-03	38.928	7.36E-01	2.14E+02
20														
21	4883.3	3.03E+01	7.96E-03	4.94E+07	0.00E+00	1.16E-02	7.06E+00	1.35E+02	1.60E+01	1.39E+02	1.81E-03	47.955	1.18E+00	2.41E+02
22	3520.6	3.00E+01	9.03E-03	7.69E+07	0.00E+00	8.89E-03	7.04E+00	1.44E+02	1.61E+01	1.50E+02	1.41E-03	49.183	9.00E-01	2.56E+02
23	4495.2	3.03E+01	8.68E-03	5.84E+07	0.00E+00	8.37E-03	7.07E+00	1.26E+02	1.61E+01	1.32E+02	1.57E-03	41.904	9.52E-01	2.12E+02
24	4988.1	3.00E+01	1.30E-02	7.82E+07	0.00E+00	1.06E-02	7.07E+00	1.32E+02	1.62E+01	1.39E+02	1.84E-03	45.197	1.15E+00	2.30E+02
25	3746.7	3.02E+01	1.09E-02	8.80E+07	0.00E+00	9.24E-03	7.14E+00	1.38E+02	1.61E+01	1.47E+02	1.45E-03	46.825	9.95E-01	2.66E+02
26	3610.6	3.04E+01	6.50E-03	5.47E+07	0.00E+00	9.16E-03	7.04E+00	1.34E+02	1.60E+01	1.39E+02	1.34E-03	49.803	8.94E-01	2.48E+02
27	6202.2	3.02E+01	6.96E-03	3.38E+07	0.00E+00	1.56E-02	7.13E+00	1.25E+02	1.61E+01	1.28E+02	2.12E-03	53.068	1.45E+00	2.33E+02
28	5660.5	3.03E+01	1.25E-02	6.67E+07	0.00E+00	1.37E-02	7.13E+00	1.32E+02	1.61E+01	1.39E+02	2.08E-03	48.449	1.40E+00	2.47E+02
29	4202.4	3.02E+01	8.14E-03	5.84E+07	0.00E+00	5.95E-03	7.06E+00	1.29E+02	1.60E+01	1.34E+02	1.50E-03	34.007	7.74E-01	1.84E+02
30	3459.8	3.04E+01	1.32E-02	1.16E+08	0.00E+00	7.91E-03	7.01E+00	1.32E+02	1.62E+01	1.43E+02	1.33E-03	46.511	8.16E-01	2.36E+02
31	5335.5	3.02E+01	7.83E-03	4.42E+07	0.00E+00	1.31E-02	7.10E+00	1.37E+02	1.61E+01	1.41E+02	1.99E-03	47.779	1.35E+00	2.53E+02
32	5656.5	3.03E+01	8.53E-03	4.56E+07	0.00E+00	1.26E-02	7.07E+00	1.32E+02	1.61E+01	1.37E+02	2.06E-03	45.77	1.35E+00	2.39E+02
